year,test_rows,kept_rows,real_yield_rank250_le_q20,events,pf_x4,pf_x6,total_x4,total_x6,win_rate_x4,median_x4,avg_x4,scope_type,scope_value,macro_feature,macro_gate,overlay_name,london_range_ge_q40,prior_day_range_ge_q30,us10y_rank250_le_q30,london_range_ge_q60,prior_day_range_ge_q25,us10y_rank250_le_q20,real_yield_z60_le_q20,oil_rank250_le_q30,real_yield_ret_1_le_q30,dxy_ret_5_le_q30,dxy_chg_5_le_q30,real_yield_chg_5_le_q30,us10y_ret_5_le_q30,us10y_chg_5_le_q30,spx_chg_5_ge_q70
2023,50,0,,,,,,,,,,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,8.876000000000024,9.868999999999906,0.4313725490196078,,,,,,,,,,,,
2024,50,26,,26.0,1.4673439941926212,0.6167412363001573,9.347880000000004,-8.852119999999992,0.8461538461538461,1.1495700000000002,0.3595338461538463,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,9.139999999999967,11.819999999999936,0.5897312087558346,,,,,,,,,,,,
2025,38,18,,18.0,inf,inf,100.25746,87.65745999999999,1.0,4.459860000000001,5.569858888888889,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,10.64799999999991,15.211999999999808,0.524,,,,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,london_q40_prior_q30,11.519999999999982,15.55599999999995,0.4718453373252134,,,,,,,,,,,,
2023,50,0,,,,,,,,,,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.352112676056338,,,,,,,,,
2024,50,18,,18.0,2.5498081977250298,1.2075495018012228,14.8838,2.2838000000000065,0.8888888888888888,1.18857,0.8268777777777778,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.4747899159663865,,,,,,,,,
2025,38,16,,16.0,inf,inf,94.56318,83.36318,1.0,4.79136,5.91019875,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.414,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.352112676056338,,,,,,,,,
2023,50,0,,,,,,,,,,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,8.876000000000024,9.868999999999906,,,,0.352112676056338,,,,,,,,,
2024,50,18,,18.0,2.5498081977250298,1.2075495018012228,14.8838,2.2838000000000065,0.8888888888888888,1.18857,0.8268777777777778,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,9.139999999999967,11.819999999999936,,,,0.4747899159663865,,,,,,,,,
2025,38,16,,16.0,inf,inf,94.56318,83.36318,1.0,4.79136,5.91019875,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,10.64799999999991,15.211999999999808,,,,0.414,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,11.519999999999982,15.55599999999995,,,,0.352112676056338,,,,,,,,,
2023,50,0,,,,,,,,,,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,8.876000000000024,9.868999999999906,,,,0.352112676056338,,,,,,,,,
2024,50,18,,18.0,2.5498081977250298,1.2075495018012228,14.8838,2.2838000000000065,0.8888888888888888,1.18857,0.8268777777777778,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,9.139999999999967,11.819999999999936,,,,0.4747899159663865,,,,,,,,,
2025,38,16,,16.0,inf,inf,94.56318,83.36318,1.0,4.79136,5.91019875,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,10.64799999999991,15.211999999999808,,,,0.414,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,london_q40_prior_q30,11.519999999999982,15.55599999999995,,,,0.352112676056338,,,,,,,,,
2023,50,0,,,,,,,,,,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.352112676056338,,,,,,,,,
2024,50,18,,18.0,2.5498081977250298,1.2075495018012228,14.8838,2.2838000000000065,0.8888888888888888,1.18857,0.8268777777777778,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.4747899159663865,,,,,,,,,
2025,38,16,,16.0,inf,inf,94.56318,83.36318,1.0,4.79136,5.91019875,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.414,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q20,macro_only,,,,,,0.352112676056338,,,,,,,,,
2023,50,0,,,,,,,,,,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.4313725490196078,,,,,,,,,,,,
2024,50,26,,26.0,1.4673439941926212,0.6167412363001573,9.347880000000004,-8.852119999999992,0.8461538461538461,1.1495700000000002,0.3595338461538463,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.5897312087558346,,,,,,,,,,,,
2025,38,20,,20.0,10.231772980740184,7.827509411857154,90.45882,76.45882,0.9,3.9481450000000002,4.522941,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.524,,,,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,family,london_oneway_continuation,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.4718453373252134,,,,,,,,,,,,
2023,50,0,,,,,,,,,,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.4313725490196078,,,,,,,,,,,,
2024,50,26,,26.0,1.4673439941926212,0.6167412363001573,9.347880000000004,-8.852119999999992,0.8461538461538461,1.1495700000000002,0.3595338461538463,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.5897312087558346,,,,,,,,,,,,
2025,38,20,,20.0,10.231772980740184,7.827509411857154,90.45882,76.45882,0.9,3.9481450000000002,4.522941,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.524,,,,,,,,,,,,
2026,8,4,,4.0,inf,inf,79.198,76.398,1.0,19.7995,19.7995,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_rank250,us10y_rank250_le_q30,macro_only,,,0.4718453373252134,,,,,,,,,,,,
2023,50,24,,24.0,1.7729845160847326,0.68276106802507,11.257360000000002,-5.54263999999999,0.8333333333333334,0.9817850000000001,0.46905666666666673,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-0.0396735903123169,,,,,,,,
2024,50,26,,26.0,inf,20.432597742031163,32.62404,14.424040000000009,1.0,1.1495700000000002,1.2547707692307692,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-0.4609027343048336,,,,,,,,
2025,38,14,,14.0,inf,inf,64.38973999999999,54.589740000000006,1.0,2.84714,4.599267142857142,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-1.069561475397509,,,,,,,,
2026,8,2,,2.0,inf,inf,54.46742,53.06742,1.0,27.23371,27.23371,family,london_oneway_continuation,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-1.235345933944265,,,,,,,,
2023,50,24,,24.0,1.7729845160847326,0.68276106802507,11.257360000000002,-5.54263999999999,0.8333333333333334,0.9817850000000001,0.46905666666666673,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-0.0396735903123169,,,,,,,,
2024,50,26,,26.0,inf,20.432597742031163,32.62404,14.424040000000009,1.0,1.1495700000000002,1.2547707692307692,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-0.4609027343048336,,,,,,,,
2025,38,14,,14.0,inf,inf,64.38973999999999,54.589740000000006,1.0,2.84714,4.599267142857142,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-1.069561475397509,,,,,,,,
2026,8,2,,2.0,inf,inf,54.46742,53.06742,1.0,27.23371,27.23371,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,macro_only,,,,,,,-1.235345933944265,,,,,,,,
2023,50,18,,18.0,3.115335495471274,1.2897163628964017,15.105780000000005,2.5057800000000086,0.8888888888888888,1.0471400000000002,0.8392100000000002,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,8.876000000000024,9.868999999999906,,,,,-0.0396735903123169,,,,,,,,
2024,50,24,,24.0,inf,18.944089672082622,30.11918,13.31918000000001,1.0,1.1182850000000002,1.2549658333333333,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_z60,real_yield_z60_le_q20,london_q40_prior_q30,9.139999999999967,11.819999999999936,,,,,-0.4609027343048336,,,,,,,,
