signal_i,entry_i,exit_i,signal_dt,entry_dt,exit_target_dt,session,hour,signal_open,signal_high,signal_low,signal_close,pdh,pdl,prev_range,break_above_pdh,close_above_pdh,variant,side,status,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,minutes_observed
1603,1604,1636,2022-05-24 16:00:00+00:00,2022-05-24 16:15:00+00:00,2022-05-25 00:15:00+00:00,new_york,16,1854.97,1860.52,1854.83,1860.14,1849.15,1843.27,5.880000000000109,11.37,10.99,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1860.15,m15_exact_open,1866.29,6.14,5.79,5.44,4.74,9.34,1.62,480
1958,1959,1991,2022-05-30 08:45:00+00:00,2022-05-30 09:00:00+00:00,2022-05-30 17:00:00+00:00,london,8,1862.05,1863.16,1861.23,1862.79,1861.77,1847.78,13.990000000000009,1.39,1.02,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1862.75,m15_exact_open,1857.44,-5.31,-5.66,-6.01,-6.71,1.08,8.85,480
2051,2052,2084,2022-05-31 09:30:00+00:00,2022-05-31 09:45:00+00:00,2022-05-31 17:45:00+00:00,london,9,1853.55,1855.09,1852.66,1854.81,1853.74,1850.6,3.1400000000001,1.35,1.07,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1854.84,m15_exact_open,1844.77,-10.07,-10.42,-10.77,-11.47,2.09,15.22,480
2270,2271,2303,2022-06-02 16:15:00+00:00,2022-06-02 16:30:00+00:00,2022-06-03 00:30:00+00:00,new_york,16,1857.63,1860.93,1856.67,1860.6,1856.93,1834.92,22.00999999999999,4.0,3.67,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1860.57,m15_exact_open,1869.2,8.63,8.28,7.93,7.23,9.83,-0.01,480
2329,2330,2362,2022-06-03 07:00:00+00:00,2022-06-03 07:15:00+00:00,2022-06-03 15:15:00+00:00,london,7,1868.06,1869.02,1867.98,1868.4,1849.77,1828.28,21.49000000000001,19.25,18.63,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1868.42,m15_exact_open,1865.93,-2.49,-2.84,-3.19,-3.89,0.57,5.26,480
2365,2366,2398,2022-06-03 16:00:00+00:00,2022-06-03 16:15:00+00:00,2022-06-06 00:15:00+00:00,new_york,16,1857.93,1861.0,1857.29,1858.14,1849.77,1828.28,21.49000000000001,11.23,8.37,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1858.27,m15_exact_open,1852.42,-5.85,-6.2,-6.55,-7.25,6.72,11.12,3360
3193,3194,3226,2022-06-16 07:00:00+00:00,2022-06-16 07:15:00+00:00,2022-06-16 15:15:00+00:00,london,7,1831.11,1832.79,1830.84,1832.31,1831.41,1804.91,26.5,1.38,0.9,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1832.34,m15_exact_open,1823.82,-8.52,-8.87,-9.22,-9.92,3.55,17.33,480
3290,3291,3323,2022-06-17 07:15:00+00:00,2022-06-17 07:30:00+00:00,2022-06-17 15:30:00+00:00,london,7,1842.31,1844.37,1842.21,1843.07,1841.62,1807.24,34.37999999999988,2.75,1.45,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1843.08,m15_exact_open,1849.43,6.35,6.0,5.65,4.95,9.29,1.31,480
3326,3327,3359,2022-06-17 16:15:00+00:00,2022-06-17 16:30:00+00:00,2022-06-20 00:30:00+00:00,new_york,16,1851.11,1851.14,1847.2,1849.45,1841.62,1807.24,34.37999999999988,9.52,7.83,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1849.48,m15_exact_open,1838.32,-11.16,-11.51,-11.86,-12.56,-2.22,15.78,3360
3859,3860,3892,2022-06-27 07:00:00+00:00,2022-06-27 07:15:00+00:00,2022-06-27 15:15:00+00:00,london,7,1835.07,1835.09,1834.17,1834.99,1831.59,1816.66,14.929999999999836,3.5,3.4,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1835.01,m15_exact_open,1832.93,-2.08,-2.43,-2.78,-3.48,5.82,3.99,480
4339,4340,4372,2022-07-04 07:00:00+00:00,2022-07-04 07:15:00+00:00,2022-07-04 15:15:00+00:00,london,7,1811.64,1811.91,1811.22,1811.56,1809.1,1784.29,24.809999999999945,2.81,2.46,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1811.53,m15_exact_open,1807.35,-4.18,-4.53,-4.88,-5.58,1.68,7.79,480
5300,5301,5333,2022-07-18 08:45:00+00:00,2022-07-18 09:00:00+00:00,2022-07-18 17:00:00+00:00,london,8,1715.62,1717.65,1715.37,1717.5,1716.43,1698.91,17.519999999999982,1.22,1.07,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1717.5,m15_exact_open,1719.05,1.55,1.2,0.85,0.15,6.22,6.15,480
5394,5395,5427,2022-07-19 08:15:00+00:00,2022-07-19 08:30:00+00:00,2022-07-19 16:30:00+00:00,london,8,1708.22,1710.05,1707.8,1709.93,1708.87,1705.73,3.1399999999998727,1.18,1.06,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1709.66,m15_exact_open,1711.61,1.95,1.6,1.25,0.55,8.64,2.43,480
5685,5686,5718,2022-07-22 09:00:00+00:00,2022-07-22 09:15:00+00:00,2022-07-22 17:15:00+00:00,london,9,1714.93,1716.71,1714.3,1715.73,1714.22,1692.24,21.980000000000018,2.49,1.51,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1715.83,m15_exact_open,1735.6,19.77,19.42,19.07,18.37,23.29,0.95,480
6061,6062,6094,2022-07-28 07:00:00+00:00,2022-07-28 07:15:00+00:00,2022-07-28 15:15:00+00:00,london,7,1736.53,1737.01,1736.14,1737.01,1728.07,1713.49,14.579999999999927,8.94,8.94,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1736.99,m15_exact_open,1738.58,1.59,1.24,0.89,0.19,11.33,1.76,480
6097,6098,6130,2022-07-28 16:00:00+00:00,2022-07-28 16:15:00+00:00,2022-07-29 00:15:00+00:00,new_york,16,1747.58,1749.67,1742.14,1742.4,1728.07,1713.49,14.579999999999927,21.6,14.33,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1742.34,m15_exact_open,1755.03,12.69,12.34,11.99,11.29,14.57,-2.2,480
6157,6158,6190,2022-07-29 07:00:00+00:00,2022-07-29 07:15:00+00:00,2022-07-29 15:15:00+00:00,london,7,1759.78,1763.79,1759.35,1762.67,1739.98,1711.32,28.660000000000082,23.81,22.69,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1762.69,m15_exact_open,1757.42,-5.27,-5.62,-5.97,-6.67,5.05,6.58,480
6193,6194,6226,2022-07-29 16:00:00+00:00,2022-07-29 16:15:00+00:00,2022-08-01 00:15:00+00:00,new_york,16,1757.35,1758.67,1755.6,1756.8,1739.98,1711.32,28.660000000000082,18.69,16.82,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1756.87,m15_exact_open,1763.25,6.38,6.03,5.68,4.98,10.04,5.05,3360
6276,6277,6309,2022-08-01 12:45:00+00:00,2022-08-01 13:00:00+00:00,2022-08-01 21:00:00+00:00,new_york,12,1766.09,1770.92,1765.79,1770.46,1767.74,1751.82,15.920000000000073,3.18,2.72,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1770.54,m15_exact_open,1769.42,-1.12,-1.47,-1.82,-2.52,4.31,6.42,480
6349,6350,6382,2022-08-02 07:00:00+00:00,2022-08-02 07:15:00+00:00,2022-08-02 15:15:00+00:00,london,7,1774.4,1774.81,1774.18,1774.3,1765.16,1762.83,2.3300000000001546,9.65,9.14,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1774.31,m15_exact_open,1779.87,5.56,5.21,4.86,4.16,5.58,5.53,480
6385,6386,6418,2022-08-02 16:00:00+00:00,2022-08-02 16:15:00+00:00,2022-08-03 00:15:00+00:00,new_york,16,1786.26,1786.36,1783.74,1783.98,1765.16,1762.83,2.3300000000001546,21.2,18.82,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1783.98,m15_exact_open,1757.05,-26.93,-27.28,-27.63,-28.33,1.99,26.93,480
6637,6638,6670,2022-08-05 07:00:00+00:00,2022-08-05 07:15:00+00:00,2022-08-05 15:15:00+00:00,london,7,1792.31,1792.76,1791.84,1791.96,1772.58,1754.12,18.460000000000036,20.18,19.38,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1791.99,m15_exact_open,1787.94,-4.05,-4.4,-4.75,-5.45,0.76,8.3,480
6829,6830,6862,2022-08-09 07:00:00+00:00,2022-08-09 07:15:00+00:00,2022-08-09 15:15:00+00:00,london,7,1785.81,1786.21,1785.51,1785.67,1774.88,1770.42,4.460000000000036,11.33,10.79,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1785.64,m15_exact_open,1789.56,3.92,3.57,3.22,2.52,8.9,2.26,480
6865,6866,6898,2022-08-09 16:00:00+00:00,2022-08-09 16:15:00+00:00,2022-08-10 00:15:00+00:00,new_york,16,1792.89,1793.92,1792.17,1792.86,1774.88,1770.42,4.460000000000036,19.04,17.98,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1792.86,m15_exact_open,1793.27,0.41,0.06,-0.29,-0.99,7.37,2.88,480
6925,6926,6958,2022-08-10 07:00:00+00:00,2022-08-10 07:15:00+00:00,2022-08-10 15:15:00+00:00,london,7,1791.33,1791.34,1790.82,1791.03,1789.87,1770.42,19.449999999999818,1.47,1.16,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1791.0,m15_exact_open,1792.47,1.47,1.12,0.77,0.07,4.13,3.57,480
6961,6962,6994,2022-08-10 16:00:00+00:00,2022-08-10 16:15:00+00:00,2022-08-11 00:15:00+00:00,new_york,16,1804.66,1805.35,1795.9,1796.11,1789.87,1770.42,19.449999999999818,15.48,6.24,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1796.1,m15_exact_open,1791.28,-4.82,-5.17,-5.52,-6.22,6.18,8.15,480
7904,7905,7937,2022-08-24 11:45:00+00:00,2022-08-24 12:00:00+00:00,2022-08-24 20:00:00+00:00,london,11,1749.39,1751.73,1749.14,1751.15,1748.95,1727.61,21.340000000000146,2.78,2.2,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1751.17,m15_exact_open,1749.45,-1.72,-2.07,-2.42,-3.12,4.62,8.87,480
7981,7982,8014,2022-08-25 07:00:00+00:00,2022-08-25 07:15:00+00:00,2022-08-25 15:15:00+00:00,london,7,1756.25,1756.37,1755.77,1756.09,1753.97,1730.66,23.309999999999945,2.4,2.12,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1756.1,m15_exact_open,1759.88,3.78,3.43,3.08,2.38,9.21,0.75,480
8017,8018,8050,2022-08-25 16:00:00+00:00,2022-08-25 16:15:00+00:00,2022-08-26 00:15:00+00:00,new_york,16,1759.25,1760.63,1757.9,1760.53,1753.97,1730.66,23.309999999999945,6.66,6.56,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1760.54,m15_exact_open,1756.24,-4.3,-4.65,-5.0,-5.7,0.45,8.48,480
8077,8078,8110,2022-08-26 07:00:00+00:00,2022-08-26 07:15:00+00:00,2022-08-26 15:15:00+00:00,london,7,1756.08,1757.36,1755.83,1756.79,1755.79,1742.3,13.490000000000009,1.57,1.0,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1756.78,m15_exact_open,1746.21,-10.57,-10.92,-11.27,-11.97,1.83,13.23,480
8744,8745,8777,2022-09-06 07:00:00+00:00,2022-09-06 07:15:00+00:00,2022-09-06 15:15:00+00:00,london,7,1717.77,1717.94,1716.98,1717.61,1711.46,1709.52,1.9400000000000546,6.48,6.15,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1717.65,m15_exact_open,1713.09,-4.56,-4.91,-5.26,-5.96,2.94,7.16,480
9033,9034,9066,2022-09-09 07:15:00+00:00,2022-09-09 07:30:00+00:00,2022-09-09 15:30:00+00:00,london,7,1719.01,1721.64,1719.0,1720.99,1719.28,1691.18,28.09999999999991,2.36,1.71,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1721.01,m15_exact_open,1719.57,-1.44,-1.79,-2.14,-2.84,8.27,3.0,480
9161,9162,9194,2022-09-12 15:15:00+00:00,2022-09-12 15:30:00+00:00,2022-09-12 23:30:00+00:00,new_york,15,1729.91,1733.32,1729.91,1732.49,1729.28,1708.29,20.99000000000001,4.04,3.21,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1732.47,m15_exact_open,1724.83,-7.64,-7.99,-8.34,-9.04,2.45,8.91,480
9224,9225,9257,2022-09-13 07:00:00+00:00,2022-09-13 07:15:00+00:00,2022-09-13 15:15:00+00:00,london,7,1721.61,1721.75,1720.84,1720.92,1720.02,1716.54,3.480000000000018,1.73,0.9,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1720.94,m15_exact_open,1729.38,8.44,8.09,7.74,7.04,10.32,1.14,480
9931,9932,9964,2022-09-22 15:45:00+00:00,2022-09-22 16:00:00+00:00,2022-09-23 00:00:00+00:00,new_york,15,1674.33,1684.14,1672.34,1683.44,1679.28,1659.79,19.49000000000001,4.86,4.16,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1683.41,m15_exact_open,1671.23,-12.18,-12.53,-12.88,-13.58,-1.81,15.63,480
10376,10377,10409,2022-09-29 07:00:00+00:00,2022-09-29 07:15:00+00:00,2022-09-29 15:15:00+00:00,london,7,1653.77,1655.07,1653.43,1654.01,1642.25,1622.64,19.6099999999999,12.82,11.76,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1654.03,m15_exact_open,1649.5,-4.53,-4.88,-5.23,-5.93,-0.05,12.72,480
10412,10413,10445,2022-09-29 16:00:00+00:00,2022-09-29 16:15:00+00:00,2022-09-30 00:15:00+00:00,new_york,16,1649.92,1651.64,1647.73,1650.87,1642.25,1622.64,19.6099999999999,9.39,8.62,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1650.83,m15_exact_open,1662.49,11.66,11.31,10.96,10.26,13.88,6.41,480
10477,10478,10510,2022-09-30 08:15:00+00:00,2022-09-30 08:30:00+00:00,2022-09-30 16:30:00+00:00,london,8,1662.98,1664.31,1662.88,1664.08,1662.59,1614.61,47.98000000000002,1.72,1.49,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1664.1,m15_exact_open,1666.24,2.14,1.79,1.44,0.74,9.94,2.27,480
10664,10665,10697,2022-10-04 07:00:00+00:00,2022-10-04 07:15:00+00:00,2022-10-04 15:15:00+00:00,london,7,1699.68,1700.2,1698.29,1699.33,1665.14,1660.6,4.540000000000191,35.06,34.19,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1699.33,m15_exact_open,1706.3,6.97,6.62,6.27,5.57,12.91,2.04,480
10700,10701,10733,2022-10-04 16:00:00+00:00,2022-10-04 16:15:00+00:00,2022-10-05 00:15:00+00:00,new_york,16,1708.2,1713.01,1708.01,1711.12,1665.14,1660.6,4.540000000000191,47.87,45.98,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1711.11,m15_exact_open,1725.12,14.01,13.66,13.31,12.61,18.12,4.98,480
10760,10761,10793,2022-10-05 07:00:00+00:00,2022-10-05 07:15:00+00:00,2022-10-05 15:15:00+00:00,london,7,1719.34,1719.77,1718.78,1719.43,1701.26,1659.44,41.819999999999936,18.51,18.17,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1719.45,m15_exact_open,1704.86,-14.59,-14.94,-15.29,-15.99,8.16,16.52,480
10796,10797,10829,2022-10-05 16:00:00+00:00,2022-10-05 16:15:00+00:00,2022-10-06 00:15:00+00:00,new_york,16,1709.4,1713.97,1709.03,1713.31,1701.26,1659.44,41.819999999999936,12.71,12.05,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1713.33,m15_exact_open,1716.93,3.6,3.25,2.9,2.2,5.16,13.03,480
11625,11626,11658,2022-10-18 07:00:00+00:00,2022-10-18 07:15:00+00:00,2022-10-18 15:15:00+00:00,london,7,1652.09,1653.1,1651.8,1653.04,1647.01,1642.97,4.039999999999964,6.09,6.03,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1653.03,m15_exact_open,1653.97,0.94,0.59,0.24,-0.46,7.68,4.55,480
11661,11662,11694,2022-10-18 16:00:00+00:00,2022-10-18 16:15:00+00:00,2022-10-19 00:15:00+00:00,new_york,16,1656.09,1657.06,1655.09,1655.64,1647.01,1642.97,4.039999999999964,10.05,8.63,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1655.62,m15_exact_open,1654.01,-1.61,-1.96,-2.31,-3.01,0.79,9.96,480
12013,12014,12046,2022-10-24 07:45:00+00:00,2022-10-24 08:00:00+00:00,2022-10-24 16:00:00+00:00,london,7,1656.59,1658.4,1656.2,1658.03,1656.94,1617.02,39.92000000000007,1.46,1.09,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1658.03,m15_exact_open,1648.01,-10.02,-10.37,-10.72,-11.42,0.46,13.83,480
12218,12219,12251,2022-10-26 11:00:00+00:00,2022-10-26 11:15:00+00:00,2022-10-26 19:15:00+00:00,london,11,1670.52,1671.38,1668.69,1671.27,1670.3,1643.76,26.539999999999964,1.08,0.97,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1671.27,m15_exact_open,1666.36,-4.91,-5.26,-5.61,-6.31,3.5,10.81,480
12298,12299,12331,2022-10-27 07:00:00+00:00,2022-10-27 07:15:00+00:00,2022-10-27 15:15:00+00:00,london,7,1663.96,1665.08,1663.88,1664.37,1662.16,1638.1,24.060000000000173,2.92,2.21,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1664.38,m15_exact_open,1661.11,-3.27,-3.62,-3.97,-4.67,5.12,5.47,480
12599,12600,12632,2022-11-01 09:00:00+00:00,2022-11-01 09:15:00+00:00,2022-11-01 17:15:00+00:00,london,9,1644.64,1647.8,1643.89,1647.25,1645.23,1641.31,3.9200000000000728,2.57,2.02,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1647.25,m15_exact_open,1644.59,-2.66,-3.01,-3.36,-4.06,9.6,5.32,480
12687,12688,12720,2022-11-02 07:00:00+00:00,2022-11-02 07:15:00+00:00,2022-11-02 15:15:00+00:00,london,7,1650.33,1650.4,1649.18,1650.14,1645.43,1631.65,13.779999999999973,4.97,4.71,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1650.15,m15_exact_open,1656.54,6.39,6.04,5.69,4.99,8.54,0.72,480
12723,12724,12756,2022-11-02 16:00:00+00:00,2022-11-02 16:15:00+00:00,2022-11-03 00:15:00+00:00,new_york,16,1655.63,1655.72,1652.41,1652.96,1645.43,1631.65,13.779999999999973,10.29,7.53,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1652.99,m15_exact_open,1636.19,-16.8,-17.15,-17.5,-18.2,16.33,21.28,480
12916,12917,12949,2022-11-04 16:15:00+00:00,2022-11-04 16:30:00+00:00,2022-11-07 00:15:00+00:00,new_york,16,1667.01,1672.14,1666.03,1671.57,1669.32,1631.71,37.6099999999999,2.82,2.25,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1671.57,m15_exact_open,1673.05,1.48,1.13,0.78,0.08,9.95,3.96,3345
13168,13169,13201,2022-11-09 07:00:00+00:00,2022-11-09 07:15:00+00:00,2022-11-09 15:15:00+00:00,london,7,1708.28,1708.41,1707.54,1708.35,1681.68,1666.75,14.930000000000064,26.73,26.67,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1708.39,m15_exact_open,1703.13,-5.26,-5.61,-5.96,-6.66,7.27,5.47,480
13204,13205,13237,2022-11-09 16:00:00+00:00,2022-11-09 16:15:00+00:00,2022-11-10 00:15:00+00:00,new_york,16,1709.84,1710.57,1708.12,1710.22,1681.68,1666.75,14.930000000000064,28.89,28.54,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1710.22,m15_exact_open,1705.12,-5.1,-5.45,-5.8,-6.5,11.92,8.26,480
13298,13299,13331,2022-11-10 15:30:00+00:00,2022-11-10 15:45:00+00:00,2022-11-10 23:45:00+00:00,new_york,15,1709.96,1733.72,1709.27,1733.31,1716.74,1664.49,52.25,16.98,16.57,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1733.39,m15_exact_open,1753.91,20.52,20.17,19.82,19.12,23.67,4.86,480
13360,13361,13393,2022-11-11 07:00:00+00:00,2022-11-11 07:15:00+00:00,2022-11-11 15:15:00+00:00,london,7,1751.34,1753.12,1751.22,1752.58,1722.14,1701.96,20.180000000000064,30.98,30.44,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1752.59,m15_exact_open,1759.79,7.2,6.85,6.5,5.8,13.82,-0.89,480
13396,13397,13429,2022-11-11 16:00:00+00:00,2022-11-11 16:15:00+00:00,2022-11-14 00:00:00+00:00,new_york,16,1764.9,1765.88,1763.85,1764.68,1722.14,1701.96,20.180000000000064,43.74,42.54,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1764.69,m15_exact_open,1762.11,-2.58,-2.93,-3.28,-3.98,3.27,9.31,3345
13553,13554,13586,2022-11-15 07:00:00+00:00,2022-11-15 07:15:00+00:00,2022-11-15 15:15:00+00:00,london,7,1771.33,1771.44,1770.5,1770.5,1766.59,1761.14,5.449999999999818,4.85,3.91,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1770.55,m15_exact_open,1777.56,7.01,6.66,6.31,5.61,13.67,2.01,480
13589,13590,13622,2022-11-15 16:00:00+00:00,2022-11-15 16:15:00+00:00,2022-11-16 00:15:00+00:00,new_york,16,1776.47,1778.82,1773.07,1776.64,1766.59,1761.14,5.449999999999818,12.23,10.05,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1776.57,m15_exact_open,1778.52,1.95,1.6,1.25,0.55,9.0,8.71,480
13661,13662,13694,2022-11-16 10:00:00+00:00,2022-11-16 10:15:00+00:00,2022-11-16 18:15:00+00:00,london,10,1774.98,1777.55,1774.59,1777.42,1774.89,1753.12,21.77000000000021,2.66,2.53,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1777.42,m15_exact_open,1778.47,1.05,0.7,0.35,-0.35,7.44,4.64,480
14226,14227,14259,2022-11-24 07:00:00+00:00,2022-11-24 07:15:00+00:00,2022-11-24 15:15:00+00:00,london,7,1755.33,1755.89,1755.2,1755.57,1749.6,1736.86,12.740000000000009,6.29,5.97,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1755.56,m15_exact_open,1756.67,1.11,0.76,0.41,-0.29,2.9,3.3,480
14262,14263,14295,2022-11-24 16:00:00+00:00,2022-11-24 16:15:00+00:00,2022-11-25 02:30:00+00:00,new_york,16,1756.62,1757.24,1756.21,1757.05,1749.6,1736.86,12.740000000000009,7.64,7.45,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1757.04,m15_exact_open,1752.76,-4.28,-4.63,-4.98,-5.68,1.3,4.81,615
14313,14314,14346,2022-11-25 07:00:00+00:00,2022-11-25 07:15:00+00:00,2022-11-25 15:15:00+00:00,london,7,1758.91,1759.59,1758.13,1758.55,1753.25,1726.02,27.230000000000018,6.34,5.3,pdh_breakout_continuation_long_h32_cool4,LONG,closed_time_exit,1758.58,m15_exact_open,1749.44,-9.14,-9.49,-9.84,-10.54,-0.04,9.74,480
