trades,total_x4,median_x4,pf_x4,wr,dd_x4,train_total_x4,test_total_x4,pos_years,years,pos_quarters,quarters,definition,direction,guard_variant,geometry,variant,h4_sma,h4_slope_lookback,h1_break_lookback,compression_lookback,compression_max_atr,cooldown_h,session_filter,robust_candidate
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp12_1.8_cool1_no_asia,10,2,12,12,1.8,1,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp12_1.8_cool1_london_ny,10,2,12,12,1.8,1,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp12_1.8_cool1_ny_only,10,2,12,12,1.8,1,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp12_1.8_cool4_all,10,2,12,12,1.8,4,all,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp12_1.8_cool4_no_asia,10,2,12,12,1.8,4,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp12_1.8_cool4_london_ny,10,2,12,12,1.8,4,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break12_comp12_1.8_cool4_ny_only,10,2,12,12,1.8,4,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp6_1.4_cool1_no_asia,10,2,18,6,1.4,1,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp6_1.4_cool1_london_ny,10,2,18,6,1.4,1,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp6_1.4_cool1_ny_only,10,2,18,6,1.4,1,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp6_1.4_cool4_no_asia,10,2,18,6,1.4,4,no_asia,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp6_1.4_cool4_london_ny,10,2,18,6,1.4,4,london_ny,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp6_1.4_cool4_ny_only,10,2,18,6,1.4,4,ny_only,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp12_1.4_cool1_all,10,2,18,12,1.4,1,all,False
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,h4_down_compression_liquidity_short_v1,SHORT,nonoverlap,time_exit_12h_stop30.0,h4sma10_slope2_break18_comp12_1.4_cool1_no_asia,10,2,18,12,1.4,1,no_asia,False
