stage,family,candidate,side,horizon_bars,horizon_minutes,entry_i,entry_ts_utc,exit_ts_utc,entry_close,exit_close,cost_return_bps,slip16_return_bps,mae_bps,mfe_bps,touch_stop_50bps,touch_stop_75bps,year,quarter,hour_utc,weekday,trend_fast_bps,trend_slow_bps,atr_24h_bps,atr_ratio_4h_24h
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,26136,2023-05-22 14:30:00+00:00,2023-05-22 16:30:00+00:00,1971.08,1973.96,-22.61127909572424,-38.61127909572424,-37.54286989873678,1.0654057673964434,False,False,2023,2023Q2,14,0,12.293915856620306,-99.16134703648086,11.804608207194683,0.9656931454348261
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,26145,2023-05-22 16:45:00+00:00,2023-05-22 18:45:00+00:00,1971.48,1972.4,-12.666544930711503,-28.666544930711503,-36.16572321301747,13.492401647493546,False,False,2023,2023Q2,16,0,-7.578908569533486,-102.95184328524635,12.101759629180739,1.2026082324104963
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,26215,2023-05-23 10:15:00+00:00,2023-05-23 12:15:00+00:00,1956.27,1959.08,-22.364070399279782,-38.36407039927978,-25.45660875032496,10.785832221522629,False,False,2023,2023Q2,10,1,-45.42871553176859,-134.50815625314084,10.557250970080906,1.037521185492256
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,26225,2023-05-23 12:45:00+00:00,2023-05-23 14:45:00+00:00,1956.97,1958.87,-17.70888669729053,-33.70888669729053,-15.789715734015886,13.132546743178652,False,False,2023,2023Q2,12,1,-47.166878729193584,-139.0664149595211,10.646239764943642,1.1956919356372682
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,27074,2023-06-05 10:30:00+00:00,2023-06-05 12:30:00+00:00,1939.82,1944.17,-30.424761060304554,-46.424761060304554,-30.982256085616555,6.856306255219602,False,False,2023,2023Q2,10,0,-65.75943042825338,-120.1731722101355,10.582892072222704,0.8446999717944792
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,27089,2023-06-05 14:15:00+00:00,2023-06-05 16:15:00+00:00,1940.05,1946.46,-41.04038555707267,-57.04038555707267,-35.35991340429368,10.257467591041625,False,False,2023,2023Q2,14,0,-45.48261213198993,-117.40827126448619,11.16658893263245,1.0979915491283858
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,28043,2023-06-19 12:45:00+00:00,2023-06-19 14:45:00+00:00,1950.25,1948.41,1.4346878605300333,-14.565312139469967,-3.435456992693098,10.46019741058779,False,False,2023,2023Q2,12,0,-15.289706447891016,-23.96826795709896,9.425048617151143,0.9355991572307477
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,28051,2023-06-19 14:45:00+00:00,2023-06-19 16:45:00+00:00,1948.41,1951.9,-25.912041100178744,-41.91204110017874,-24.78944370024827,3.6439969000368055,False,False,2023,2023Q2,14,0,-20.517263649161002,-24.60526574660025,9.290285149545864,0.8293301395345175
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,29481,2023-07-10 15:15:00+00:00,2023-07-10 17:15:00+00:00,1918.54,1922.46,-28.4322036548632,-44.4322036548632,-33.46294578168818,30.752551419307437,False,False,2023,2023Q3,15,0,-5.705836208784759,-47.06774639395871,10.029167351052047,0.9302605691367678
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,29845,2023-07-14 10:15:00+00:00,2023-07-14 12:15:00+00:00,1955.25,1956.48,-14.290755657845093,-30.290755657845093,-14.883007288071237,5.1144354941823345,False,False,2023,2023Q3,10,4,-2.93067808890527,52.639235178792305,8.756498304499273,0.8774422607279667
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,29966,2023-07-17 16:30:00+00:00,2023-07-17 18:30:00+00:00,1946.99,1953.66,-42.25800851570848,-58.25800851570848,-37.95602442745016,5.752469196041998,False,False,2023,2023Q3,16,0,0.8822378817215913,95.66636620287387,9.379283179525919,1.4047008649974067
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,31374,2023-08-07 08:30:00+00:00,2023-08-07 10:30:00+00:00,1936.78,1936.87,-8.46468881339079,-24.46468881339079,-6.55727547785423,7.693181466145171,False,False,2023,2023Q3,8,0,0.8755941993066905,-50.71664265774422,9.64629687910645,0.7382031594635233
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,31382,2023-08-07 10:30:00+00:00,2023-08-07 12:30:00+00:00,1936.87,1934.78,2.790605461388214,-13.209394538611786,-2.994522089763141,13.165571256718023,False,False,2023,2023Q3,10,0,-10.611514970028448,-52.59559667573703,9.62222373788927,0.8471157903173525
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,31390,2023-08-07 12:30:00+00:00,2023-08-07 14:30:00+00:00,1934.78,1936.0,-14.30562647949695,-30.30562647949695,-7.132593886645111,8.06293221968346,False,False,2023,2023Q3,12,0,-17.349087062438983,-54.53769291599039,9.694043947120855,0.8363394263133812
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,31398,2023-08-07 14:30:00+00:00,2023-08-07 16:30:00+00:00,1936.0,1939.38,-25.458677685950885,-41.45867768595089,-28.35743801652857,13.17148760330511,False,False,2023,2023Q3,14,0,-24.113292011020256,-56.771156163912835,9.80830216675517,0.7599712170530114
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,35209,2023-10-02 08:45:00+00:00,2023-10-02 10:45:00+00:00,1839.41,1839.65,-9.304766202205876,-25.304766202205876,-36.42472314492107,0.9785746516544069,False,False,2023,2023Q4,8,0,-70.78696429833538,-153.77244492346236,10.21407837385853,0.5637659154892377
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,35217,2023-10-02 10:45:00+00:00,2023-10-02 12:45:00+00:00,1839.65,1834.08,22.2774984372034,6.277498437203398,-18.536134590818598,47.45467887913524,False,False,2023,2023Q4,10,0,-60.93154041982562,-158.75845948957627,10.574720937505852,0.9332414709272413
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,35225,2023-10-02 12:45:00+00:00,2023-10-02 14:45:00+00:00,1834.08,1837.14,-24.6841141062557,-40.6841141062557,-21.536683241734078,7.633254819854329,False,False,2023,2023Q4,12,0,-56.31399666317629,-164.47838175906674,11.250539719805024,1.261616939113607
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,35233,2023-10-02 14:45:00+00:00,2023-10-02 16:45:00+00:00,1837.14,1833.66,10.94248669127019,-5.05751330872981,-17.908270463873333,27.05291921138331,False,False,2023,2023Q4,14,0,-60.17505470459305,-169.83902855344002,11.47953493270736,1.1062118877341918
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43E_ASIA_RANGE_REGIME_ACCEPT_REJECT,ASIA_REGIME_ACCEPT_SHORT_TOL15,SHORT,8,120,35241,2023-10-02 16:45:00+00:00,2023-10-02 18:45:00+00:00,1833.66,1832.42,-1.2375685786900554,-17.237568578690055,-16.524328392395482,36.42987249544704,False,False,2023,2023Q4,16,0,-49.67694392635459,-175.8340388894337,11.371185834738178,1.250928585517798
