spec_id,spec_label,stage39e_classification,stage,decision_scope,promotion,candidate,family,side,horizon_hours,horizon_bars,lookback_hours,trigger_type,threshold,event_source,bar_index,entry_ts,exit_ts,entry_close,exit_close,final_bps,cost_stressed_final_bps,mfe_bps,mae_bps,touch_target_50bps,touch_target_100bps,touch_target_150bps,touch_stop_50bps,touch_stop_100bps,touch_stop_150bps,trigger_severity,hour_utc,session_utc,weekday,year,month,spread,spread_roll_median_24,spread_roll_median_120,spread_z240,atr24_bps,atr72_bps,ret1_bps,ret24_bps,ret72_bps,ret120_bps,source_stage39b_residual_bps,source_stage39b_event_clock_n,source_stage39b_median_mae_bps,source_stage39b_median_mfe_bps,spread_regime,prior_ret24_regime,prior_ret72_regime,atr24_bucket,trigger_severity_bucket,_event_time
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3129,2022-10-31 10:00:00+00:00,2022-11-03 10:00:00+00:00,1636.98,1627.04,-60.72157265207934,-68.72157265207935,197.55891947366376,-76.42121467580587,True,True,True,True,False,False,0.952776005105296,10,LONDON_07_12,Monday,2022,10,,,,,25.9900069628216,25.893898725613592,-24.558046568881053,-81.13332161878817,-214.24899271888177,-64.45739257101124,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,DOWN_EXTREME_LE_-200BPS,ATR24_MID,SEVERITY_LOW,2022-10-31 10:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3203,2022-11-03 12:00:00+00:00,2022-11-08 12:00:00+00:00,1621.27,1670.3,302.4172408050485,294.4172408050485,372.6091274124621,-29.729779740573782,True,True,True,False,False,False,0.9675795408779722,12,LONDON_07_12,Thursday,2022,11,,,,,32.18351895251852,25.97891807835968,-16.502971150590405,-204.75361898547595,-111.67494114346366,-237.8414831674469,8.96,145,-76.42,123.1,,DOWN_EXTREME_LE_-200BPS,DOWN_MODERATE_-200_-75BPS,ATR24_HIGH,SEVERITY_MID,2022-11-03 12:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3436,2022-11-17 05:00:00+00:00,2022-11-22 05:00:00+00:00,1763.81,1744.14,-111.51994829375012,-119.51994829375012,39.63011889035695,-178.25049183302076,False,False,False,True,True,True,0.9619495510902148,5,ASIA_00_06,Thursday,2022,11,,,,,23.28505726509157,27.08850301122697,-20.142924232050557,-44.58969018631742,2.949032773962301,319.20432938423284,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_LOW,2022-11-17 05:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3615,2022-11-28 19:00:00+00:00,2022-12-01 19:00:00+00:00,1742.45,1801.39,338.2593474705153,330.2593474705153,352.4921805503744,-17.618869981921303,True,True,True,False,False,False,0.968275862068963,19,NY_13_19,Monday,2022,11,,,,,26.64675369158424,21.012319286189204,-14.555957340729451,-44.28065363958456,0.401749331373491,7.236430257466786,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_MID,2022-11-28 19:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3734,2022-12-05 18:00:00+00:00,2022-12-08 18:00:00+00:00,1773.21,1789.68,92.88239971577016,84.88239971577016,121.13624443805372,-42.40896453324705,True,True,False,False,False,False,0.96392838335966,18,NY_13_19,Monday,2022,12,,,,,26.14733678492455,28.78617741487928,-25.706217867227377,-123.48360792701295,120.83057464441494,161.7201244706279,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,UP_MODERATE_75_200BPS,ATR24_MID,SEVERITY_MID,2022-12-05 18:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3856,2022-12-12 20:00:00+00:00,2022-12-15 20:00:00+00:00,1780.29,1778.31,-11.121783529649544,-19.12178352964954,247.4315982227604,-37.184953013272846,True,True,True,False,False,False,0.951708766716198,20,LATE_20_23,Monday,2022,12,,,,,20.378766775884586,21.34171717139795,-14.134989146347143,-100.37034153719482,-42.84236136357311,77.49349032039055,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,NEUTRAL_-75_75BPS,ATR24_LOW,SEVERITY_LOW,2022-12-12 20:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,4045,2022-12-22 17:00:00+00:00,2022-12-28 17:00:00+00:00,1795.4,1798.01,14.53715049571036,6.53715049571036,210.03676061044808,-59.70814303219329,True,True,True,True,False,False,0.9631776338220202,17,NY_13_19,Thursday,2022,12,,,,,22.43089419465642,22.43190654589939,-38.28441435942853,-122.73685021263026,52.91301548195682,93.20785689389766,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_LOW,2022-12-22 17:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,4238,2023-01-05 17:00:00+00:00,2023-01-10 17:00:00+00:00,1826.72,1875.55,267.30971358500443,259.30971358500443,298.786896732941,-6.67863712008443,True,True,True,False,False,False,0.9547839120659518,17,NY_13_19,Thursday,2023,1,,,,,29.02908019522401,29.91871737768847,-41.10649526239407,-166.3948148985539,58.69850115084452,135.26859527059233,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_LOW,2023-01-05 17:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,4441,2023-01-18 05:00:00+00:00,2023-01-23 05:00:00+00:00,1899.95,1930.5,160.7937050975017,152.7937050975017,196.7946524908548,-18.52680333693013,True,True,True,False,False,False,0.9697071693032618,5,ASIA_00_06,Wednesday,2023,1,,,,,23.979429807326053,23.882177982957323,-20.95654274819614,-53.08650377730872,10.168491375222022,133.9854813503094,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_MID,2023-01-18 05:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,4659,2023-01-31 07:00:00+00:00,2023-02-03 07:00:00+00:00,1917.17,1914.8,-12.361971030216967,-20.361971030216967,221.26363337627853,-86.16867570429343,True,True,True,True,False,False,0.964013086150486,7,LONDON_07_12,Tuesday,2023,1,,,,,20.654407991921783,24.63532921247782,-14.42753419377718,-72.95755102886159,-155.28317098094436,-86.66290920560704,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_MID,2023-01-31 07:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,4734,2023-02-03 10:00:00+00:00,2023-02-08 10:00:00+00:00,1911.97,1883.86,-147.02113526885995,-155.02113526885995,25.47111094839405,-273.1737422658309,False,False,False,True,True,True,0.9604679306171836,10,LONDON_07_12,Friday,2023,2,,,,,30.612770769049565,27.569774847144867,-7.995819179513752,-230.196932070188,27.4290149679568,-71.04094721262943,8.96,145,-76.42,123.1,,DOWN_EXTREME_LE_-200BPS,NEUTRAL_-75_75BPS,ATR24_HIGH,SEVERITY_LOW,2023-02-03 10:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,4848,2023-02-10 04:00:00+00:00,2023-02-15 04:00:00+00:00,1859.87,1852.16,-41.4545102614694,-49.4545102614694,65.48844811734122,-89.62992037077733,True,False,False,True,False,False,0.9667412855772316,4,ASIA_00_06,Friday,2023,2,,,,,29.028455362770316,28.47918779719364,-12.136639224974433,-101.0719265937854,-77.46520201238893,-294.0178790424852,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_MID,SEVERITY_MID,2023-02-10 04:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,4925,2023-02-15 09:00:00+00:00,2023-02-20 09:00:00+00:00,1835.53,1845.9,56.49594395079394,48.49594395079394,58.2393096271927,-91.1998169466044,True,False,False,True,False,False,0.9855728429985858,9,LONDON_07_12,Wednesday,2023,2,,,,,36.04483398335139,27.388200050911674,-42.74686586272281,-124.23195704339696,-163.97571444647596,-267.65499652706023,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_HIGH,SEVERITY_HIGH,2023-02-15 09:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,5056,2023-02-22 21:00:00+00:00,2023-02-27 21:00:00+00:00,1824.8,1817.32,-40.99079351161827,-48.99079351161827,48.71766768961061,-100.1753616834722,False,False,False,True,True,False,0.9901408450704208,21,LATE_20_23,Wednesday,2023,2,,,,,22.39801347996131,19.64298145212558,-31.574692174064506,-50.48907887419185,-93.48432698884967,-60.13595956074536,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_MID,SEVERITY_HIGH,2023-02-22 21:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,5265,2023-03-07 14:00:00+00:00,2023-03-10 14:00:00+00:00,1839.56,1836.59,-16.14516514818809,-24.14516514818809,2.935484572397229,-164.27841440344483,False,False,False,True,True,True,0.960824742268042,14,NY_13_19,Tuesday,2023,3,,,,,15.779183658942683,17.98564333436146,-12.487376890751856,-68.08230346026622,39.01965171549948,167.52798120768242,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_LOW,SEVERITY_LOW,2023-03-07 14:00:00+00:00
3,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: spread_regime=NA,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,5508,2023-03-21 15:00:00+00:00,2023-03-24 15:00:00+00:00,1952.79,1989.47,187.8338172563354,179.8338172563354,258.29710311912726,-95.2995457780914,True,True,True,True,False,False,0.9852839335180072,15,NY_13_19,Tuesday,2023,3,,,,,30.55548367929322,37.24804161145556,-54.545454545454895,-126.75315745300452,157.6081019927278,237.48486230596112,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,UP_MODERATE_75_200BPS,ATR24_HIGH,SEVERITY_HIGH,2023-03-21 15:00:00+00:00
