variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,decision,score,reasons,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,pos_quarters,quarters,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1
pdl_sweep_reclaim_long_sweep2.5_reclaim1.55_new_york_only_h4_cool4,pdl_sweep_reclaim_refined,LONG,4,60,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.5}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,53,1.766667,24.83,-0.45,0.471698,1.154984,-52.97,6.28,1.036939,-30.82,0.837943,11,63.11,6.9,3.467162,16,68.92,2.875885,4,29.14,5.75,19.679487,3,5,7,16,-75.167,0.587386,0.625,0.625
pdl_sweep_reclaim_long_sweep2_reclaim2_new_york_only_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,75,2.027027,36.29,-0.63,0.466667,1.131025,-87.58,10.04,1.034469,-42.46,0.867304,15,79.48,2.03,2.799819,23,9.46,1.074653,4,15.77,9.3,1.61698,4,5,6,17,-106.988,0.685947,0.65,0.65
pdl_sweep_reclaim_long_sweep3_reclaim2_new_york_only_h4_cool4,pdl_sweep_reclaim_refined,LONG,4,60,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,48,1.548387,18.99,-0.845,0.458333,1.115821,-66.14,2.19,1.012655,-31.41,0.836261,10,51.62,3.38,2.986913,15,58.09,2.355976,4,29.14,5.75,19.679487,2,5,8,16,-85.911,0.585245,0.6,0.6
pdl_sweep_reclaim_long_sweep3_reclaim2_new_york_only_h3_cool4,pdl_sweep_reclaim_refined,LONG,3,45,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,49,1.580645,12.72,0.39,0.510204,1.084891,-48.07,-4.43,0.972005,-38.73,0.781199,10,31.1,-0.895,2.089699,15,39.05,1.971151,4,13.42,3.185,2.796519,3,5,8,16,-82.6335,0.554438,0.525,0.525
pdl_sweep_reclaim_long_sweep3_reclaim1.55_new_york_only_h3_cool4,pdl_sweep_reclaim_refined,LONG,3,45,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,45,1.551724,11.32,0.39,0.511111,1.084731,-53.18,-4.43,0.968648,-35.93,0.773555,9,37.53,1.27,2.697422,14,45.48,2.346359,4,13.42,3.185,2.796519,3,5,8,16,-83.9155,0.506089,0.56,0.56
pdl_sweep_reclaim_long_sweep2_reclaim2_new_york_only_h8_cool0,pdl_sweep_reclaim_refined,LONG,8,120,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,78,2.108108,21.78,-0.83,0.461538,1.074094,-98.14,-5.52,0.982134,-60.12,0.822686,16,74.81,2.25,2.458285,24,4.79,1.035784,4,15.77,9.3,1.61698,4,5,6,17,-128.491,0.674498,0.61,0.61
pdl_sweep_reclaim_long_sweep3_reclaim1.55_new_york_only_h4_cool4,pdl_sweep_reclaim_refined,LONG,4,60,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 3.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,44,1.517241,9.69,-0.845,0.454545,1.066438,-66.35,-5.71,0.962982,-36.51,0.787263,9,58.43,6.9,4.047992,14,64.9,2.801277,4,29.14,5.75,19.679487,3,5,8,16,-92.7665,0.490374,0.53,0.53
pdl_sweep_reclaim_long_sweep2_reclaim2_new_york_only_h4_cool4,pdl_sweep_reclaim_refined,LONG,4,60,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,78,2.108108,14.35,-0.63,0.461538,1.059839,-70.52,-12.95,0.949226,-67.55,0.764158,16,75.56,5.28,3.179406,24,32.49,1.361281,4,29.14,5.75,19.679487,4,5,8,17,-89.015,0.690068,0.58,0.58
pdl_sweep_reclaim_long_sweep2_reclaim1.55_new_york_only_h3_cool0,pdl_sweep_reclaim_refined,LONG,3,45,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 2.0}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,73,2.085714,11.74,-1.02,0.438356,1.057439,-79.02,-13.81,0.936866,-64.91,0.739746,15,69.58,2.67,3.194953,22,65.8,2.030218,5,35.99,9.43,5.817938,4,5,7,17,-107.887,0.603326,0.515,0.515
pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_new_york_only_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""new_york_only"", ""sweep_min"": 1.62}",REJECT_TOO_FEW_EVENTS,-999.0,events < 80,76,2.054054,14.88,-0.375,0.473684,1.055302,-81.14,-11.72,0.958642,-64.92,0.79203,16,43.83,2.025,1.573841,23,3.43,1.028536,4,15.77,9.3,1.61698,4,5,5,17,-117.559,0.643353,0.58,0.58
