spec_id,stage40b_classification,stage,decision_scope,promotion,ea,paper_live,live,family,candidate,side,trigger,horizon_hours,params_json,year,month,hour_utc,weekday,session_utc,atr24_bps,ret24_bps,ret72_bps,spread,entry_idx,exit_idx,entry_ts,exit_ts,entry_close,exit_close,final_bps,mfe_bps,mae_bps,touch_target_50bps,touch_target_100bps,touch_target_150bps,touch_stop_50bps,touch_stop_100bps,touch_stop_150bps,cost_stressed_final_bps,candidate_classification,_event_time
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,2,15,Tuesday,NY_13_17,21.53848799036084,30.5360778104502,-142.79136477424848,,4907,4979,2023-02-14T15:00:00+00:00,2023-02-17T15:00:00+00:00,1862.49,1827.6,-187.32986485833547,19.3826544035125,-234.63213225305975,False,False,False,True,True,True,-195.32986485833547,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-02-14 15:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,3,15,Tuesday,NY_13_17,23.59773895572061,100.429162490685,-94.70861601427404,,5628,5700,2023-03-28T15:00:00+00:00,2023-03-31T15:00:00+00:00,1965.19,1979.53,72.97004360901526,113.78034693846352,-50.37680834932057,True,True,False,True,False,False,64.97004360901526,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-03-28 15:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,3,16,Friday,NY_13_17,22.299442885115138,66.5124202283196,83.43308289825657,,5701,5773,2023-03-31T16:00:00+00:00,2023-04-05T16:00:00+00:00,1979.63,2022.64,217.26282184044487,264.4433555765469,-151.24038330395106,True,True,True,True,True,True,209.26282184044487,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-03-31 16:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,4,17,Friday,NY_13_17,29.5391782738792,-123.9300242070318,-151.31002628016142,,6039,6111,2023-04-21T17:00:00+00:00,2023-04-26T17:00:00+00:00,1978.72,1998.48,99.86253739791452,154.29166329748557,-24.1570308077943,True,True,True,False,False,False,91.86253739791452,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-04-21 17:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,4,15,Friday,NY_13_17,23.831824312384555,-8.006727665509361,-43.454262632345305,,6157,6229,2023-04-28T15:00:00+00:00,2023-05-03T15:00:00+00:00,1984.24,2013.62,148.06676611700098,177.09551263960012,-36.689110188283806,True,True,True,False,False,False,140.06676611700098,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-04-28 15:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,6,16,Thursday,NY_13_17,24.725779375108495,-13.861949203318735,104.24373201808557,,6853,6925,2023-06-08T16:00:00+00:00,2023-06-13T16:00:00+00:00,1966.69,1954.1,-64.01618963842837,32.03351824639267,-89.33792310938715,False,False,False,True,False,False,-72.01618963842837,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-06-08 16:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,6,15,Wednesday,NY_13_17,23.59115093671152,-21.46546405682015,-29.548418650147124,,6948,7020,2023-06-14T15:00:00+00:00,2023-06-19T15:00:00+00:00,1957.08,1952.11,-25.394976189015985,54.92877143499442,-166.0126310626031,True,False,False,True,True,True,-33.394976189015985,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-06-14 15:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,6,16,Wednesday,NY_13_17,18.458788534309388,-70.4979568070041,-115.41248317979536,,7188,7260,2023-06-28T16:00:00+00:00,2023-07-03T16:00:00+00:00,1909.9,1925.95,84.03581339337052,88.95753704382336,-89.00989580606367,True,False,False,True,False,False,76.03581339337052,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-06-28 16:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,7,15,Friday,NY_13_17,20.088755829795137,65.72907869129452,-49.83276724830898,,7354,7426,2023-07-07T15:00:00+00:00,2023-07-12T15:00:00+00:00,1918.84,1943.11,126.48266661107854,162.49400679577252,-32.311188009421784,True,True,True,False,False,False,118.48266661107854,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-07-07 15:00:00
1,FAIL_STAGE40B_SURVIVOR_AUDIT_NO_PROMOTION,Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",2023,7,4,Tuesday,ASIA_00_06,16.555762543734303,6.016172286857913,-112.4501229293462,,7631,7703,2023-07-25T04:00:00+00:00,2023-07-28T04:00:00+00:00,1962.56,1950.92,-59.31028860264087,99.61478884721986,-101.95866623186056,True,False,False,True,True,False,-67.31028860264087,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION,2023-07-25 04:00:00
