candidate_id,session,session_hour_utc,range_bars,breakout_window_bars,buffer_bps,m15_sma_window,horizon_m5_bars,trade_count,mean_bps,median_bps,win_rate,t_stat,total_bps,max_drawdown_bps,is_count,is_mean_bps,is_win_rate,oos_count,oos_mean_bps,oos_win_rate,positive_year_count,negative_year_count,max_year_share,max_month_share,worst_fold_mean_bps,cost_x1_5_mean_bps,cost_x2_mean_bps,decision,failure_reasons
S50_ORB_LONDON_R6_W12_B0_M1540_H12,london,7,6,12,0.0,40,12,731,-1.5582632767618885,-2.196220367583837,0.42954856361149113,-2.218532070777749,-1139.0904553129403,-1289.4935226656858,584,-2.0452633325161105,0.4246575342465753,147,0.37648524405760564,0.4489795918367347,1,4,0.253077975376197,0.024623803009575923,-3.888447747875752,-3.0492651433387494,-4.540267009915611,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W24_B5_M1540_H24,london,7,12,24,5.0,40,24,634,-2.134337342696911,-4.138349146032758,0.41009463722397477,-1.867547791328404,-1353.169875269842,-1808.985786698148,507,-2.760188396106654,0.41420118343195267,127,0.3641389098915894,0.3937007874015748,1,4,0.2539432176656151,0.02996845425867508,-5.982406883199797,-3.6253392092737724,-5.116341075850634,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W12_B5_M1520_H48,london,7,12,12,5.0,20,48,449,-2.384622087321943,-5.820181030277304,0.43429844097995546,-1.1836487384258396,-1070.6953172075523,-1549.2253240071093,359,-3.043634770358426,0.42896935933147634,90,0.24410628167913878,0.45555555555555555,2,3,0.2561247216035635,0.0334075723830735,-5.767795963461488,-3.8756239538988044,-5.366625820475665,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_NEW_YORK_R6_W24_B0_M1520_H24,new_york,13,6,24,0.0,20,24,1014,-0.20809279726818602,-0.8571165829656928,0.490138067061144,-0.14276468728347824,-211.0060964299406,-993.168913311204,811,-0.31813844063115326,0.48581997533908755,203,0.2315476794183481,0.5073891625615764,3,2,0.2485207100591716,0.022682445759368838,-2.7583464793773924,-1.6990946638450473,-3.190096530421908,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,7,6,12,0.0,20,12,798,-1.7611551547300535,-2.387412014384259,0.42857142857142855,-2.6517517061866487,-1405.4018134745827,-1572.9335034185503,638,-2.2583213277879923,0.42476489028213166,160,0.22129496033847787,0.44375,0,5,0.2543859649122807,0.02506265664160401,-3.889438835008336,-3.2521570213069144,-4.743158887883776,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W24_B0_M1540_H48,london,7,12,24,0.0,40,48,793,-1.7064036870650323,-4.0019221396816365,0.44136191677175285,-1.1446458851281949,-1353.1781238425706,-1626.6502142270665,634,-2.162771003198814,0.43690851735015773,159,0.11332510808476426,0.4591194968553459,1,4,0.2509457755359395,0.027742749054224466,-3.6571160899315758,-3.1974055536418935,-4.688407420218755,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_NEW_YORK_R12_W12_B0_M1540_H12,new_york,13,12,12,0.0,40,12,686,-0.17758450653703556,-1.8628051726220352,0.4737609329446064,-0.13376219886506976,-121.8229714844064,-971.3844274896649,548,-0.23393468158792882,0.4744525547445255,138,0.046182855259265194,0.47101449275362317,2,3,0.2536443148688047,0.027696793002915453,-2.462417625827392,-1.6685863731138968,-3.1595882396907573,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W24_B0_M1540_H24,london,7,12,24,0.0,40,24,793,-1.6115047650681245,-2.6336788854010242,0.43883984867591425,-1.7570799549946012,-1277.9232786990226,-1650.719645578149,634,-1.993639097556802,0.43690851735015773,159,-0.08777415627679395,0.44654088050314467,0,5,0.2509457755359395,0.027742749054224466,-4.053816210612401,-3.1025066316449856,-4.593508498221847,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_mean_not_positive;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_LONDON_R12_W24_B5_M1520_H48,london,7,12,24,5.0,20,48,673,-2.992464440313703,-6.229443913829888,0.43684992570579495,-1.6151945424314684,-2013.928568331122,-2384.709819215812,538,-3.710554769559511,0.43866171003717475,135,-0.13074149857855585,0.42962962962962964,1,4,0.24814264487369986,0.02823179791976226,-8.47415586806254,-4.483466306890564,-5.974468173467425,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_mean_not_positive;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
S50_ORB_NEW_YORK_R12_W12_B5_M1540_H12,new_york,13,12,12,5.0,40,12,553,0.5621238625075292,-1.8880769130859603,0.4701627486437613,0.37284223434177377,310.85449596666365,-554.61242959849,442,0.7471378808601953,0.47737556561085975,111,-0.17459862498687093,0.44144144144144143,3,2,0.2549728752260398,0.0325497287522604,-0.7779973917648857,-0.9288780040693321,-2.419879870646193,HARD_AUDIT_NO_PASS,win_rate_lt_52pct;oos_mean_not_positive;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive
