source,family,name,events,pf_x1,pf_x4,pf_x6,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,median_x1,total_x1,rank_score
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h180_e13_tp0.6_sl0.65,290,0.7404,0.4983,0.3734,0.6852,0.6266,0.5614,-1.75,-242.682,14.8973
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.1_h180_e15_tp0.6_sl0.65,284,0.743,0.4973,0.3703,0.7377,0.5587,0.6023,-2.2619,-231.8673,14.8858
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h180_e15_tp0.6_sl0.65,284,0.743,0.4973,0.3703,0.7377,0.5587,0.6023,-2.2619,-231.8673,14.8858
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.1_h90_e13_tp0.6_sl0.65,290,0.6775,0.4142,0.2955,0.6528,0.6289,0.5011,-0.485,-243.5815,14.8516
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h90_e13_tp0.6_sl0.65,290,0.6775,0.4142,0.2955,0.6528,0.6289,0.5011,-0.485,-243.5815,14.8516
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.1_h90_e15_tp0.6_sl0.65,284,0.7155,0.4706,0.3455,0.6798,0.52,0.5764,-2.1307,-252.3581,14.7676
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h90_e15_tp0.6_sl0.65,284,0.7155,0.4706,0.3455,0.6798,0.52,0.5764,-2.1307,-252.3581,14.7676
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h90_e13_tp0.6_sl0.65,246,0.6881,0.4303,0.3123,0.6683,0.6879,0.5128,-0.385,-209.1321,14.734
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.1_h90_e13_tp0.6_sl0.65,246,0.6881,0.4303,0.3123,0.6683,0.6879,0.5128,-0.385,-209.1321,14.734
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.1_h90_e13_tp0.8_sl0.8,290,0.5625,0.3541,0.2595,0.4463,0.3061,0.428,-0.735,-378.5622,14.3509
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h90_e13_tp0.8_sl0.8,290,0.5625,0.3541,0.2595,0.4463,0.3061,0.428,-0.735,-378.5622,14.3509
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.1_h180_e13_tp0.8_sl0.8,290,0.6317,0.4541,0.3586,0.4522,0.2813,0.5021,-3.016,-442.4027,14.2244
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h180_e13_tp0.8_sl0.8,290,0.6317,0.4541,0.3586,0.4522,0.2813,0.5021,-3.016,-442.4027,14.2244
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h180_e13_tp0.8_sl0.8,246,0.6501,0.4736,0.3777,0.4152,0.3059,0.5003,-2.2011,-368.434,14.2087
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.1_h180_e13_tp0.8_sl0.8,246,0.6501,0.4736,0.3777,0.4152,0.3059,0.5003,-2.2011,-368.434,14.2087
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h90_e13_tp0.8_sl0.8,246,0.5511,0.3504,0.2587,0.4325,0.3318,0.3954,-0.6,-345.0619,14.1084
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.1_h90_e13_tp0.8_sl0.8,246,0.5511,0.3504,0.2587,0.4325,0.3318,0.3954,-0.6,-345.0619,14.1084
