thesis,variant,signal_utc,entry_utc,direction,session,entry_price,tp_price,sl_price,exit_utc,exit_price,exit_reason,net_usd_x1,macro_labels,year
baseline_sma_distance_v1_control,unguarded,2022-11-04T04:00:00+00:00,2022-11-04T05:00:00+00:00,long,asia,1646.66,1670.66,1631.66,2022-11-04T14:15:00+00:00,1670.66,take_profit,23.65,,2022
baseline_sma_distance_v1_control,unguarded,2022-11-04T14:00:00+00:00,2022-11-04T15:00:00+00:00,long,london_ny_overlap,1673.01,1697.01,1658.01,2022-11-04T20:58:00+00:00,1681.04,time_exit,7.68,,2022
baseline_sma_distance_v1_control,unguarded,2022-11-08T15:00:00+00:00,2022-11-08T16:00:00+00:00,long,london_ny_overlap,1712.89,1736.89,1697.89,2022-11-09T03:59:00+00:00,1709.13,time_exit,-4.11,,2022
baseline_sma_distance_v1_control,unguarded,2022-11-10T13:00:00+00:00,2022-11-10T14:00:00+00:00,long,london_ny_overlap,1733.03,1757.03,1718.03,2022-11-10T21:12:00+00:00,1757.03,take_profit,23.65,,2022
baseline_sma_distance_v1_control,unguarded,2022-11-10T21:00:00+00:00,2022-11-10T22:00:00+00:00,long,other,1753.45,1777.45,1738.45,2022-11-11T09:59:00+00:00,1763.81,time_exit,10.01,,2022
baseline_sma_distance_v1_control,unguarded,2022-11-15T07:00:00+00:00,2022-11-15T08:00:00+00:00,long,london,1782.85,1806.85,1767.85,2022-11-15T19:59:00+00:00,1778.34,time_exit,-4.86,,2022
baseline_sma_distance_v1_control,unguarded,2022-11-23T19:00:00+00:00,2022-11-23T20:00:00+00:00,long,new_york,1751.72,1775.72,1736.72,2022-11-24T07:59:00+00:00,1753.63,time_exit,1.56,,2022
baseline_sma_distance_v1_control,unguarded,2022-11-30T20:00:00+00:00,2022-11-30T21:00:00+00:00,long,new_york,1769.43,1793.43,1754.43,2022-12-01T08:59:00+00:00,1778.03,time_exit,8.25,,2022
baseline_sma_distance_v1_control,unguarded,2022-12-01T14:00:00+00:00,2022-12-01T15:00:00+00:00,long,london_ny_overlap,1801.48,1825.48,1786.48,2022-12-02T02:59:00+00:00,1797.93,time_exit,-3.9,,2022
baseline_sma_distance_v1_control,unguarded,2022-12-05T01:00:00+00:00,2022-12-05T02:00:00+00:00,long,asia,1806.3,1830.3,1791.3,2022-12-05T13:50:00+00:00,1791.3,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-12-13T13:00:00+00:00,2022-12-13T14:00:00+00:00,long,london_ny_overlap,1810.83,1834.83,1795.83,2022-12-14T01:59:00+00:00,1810.55,time_exit,-0.63,,2022
baseline_sma_distance_v1_control,unguarded,2022-12-20T08:00:00+00:00,2022-12-20T09:00:00+00:00,long,london,1803.02,1827.02,1788.02,2022-12-20T20:59:00+00:00,1817.35,time_exit,13.98,,2022
baseline_sma_distance_v1_control,unguarded,2022-12-27T15:00:00+00:00,2022-12-27T16:00:00+00:00,long,london_ny_overlap,1824.44,1848.44,1809.44,2022-12-28T00:25:00+00:00,1809.44,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2023-01-03T02:00:00+00:00,2023-01-03T03:00:00+00:00,long,asia,1838.27,1862.27,1823.27,2023-01-03T14:59:00+00:00,1844.76,time_exit,6.14,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-04T07:00:00+00:00,2023-01-04T08:00:00+00:00,long,london,1858.02,1882.02,1843.02,2023-01-04T19:59:00+00:00,1852.3,time_exit,-6.07,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-06T13:00:00+00:00,2023-01-06T14:00:00+00:00,long,london_ny_overlap,1851.64,1875.64,1836.64,2023-01-06T20:58:00+00:00,1866.84,time_exit,14.85,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-08T23:00:00+00:00,2023-01-09T00:00:00+00:00,long,asia,1869.42,1893.42,1854.42,2023-01-09T11:59:00+00:00,1872.91,time_exit,3.14,,2023
baseline_sma_distance_v1_control,unguarded,2023-01-12T13:00:00+00:00,2023-01-12T14:00:00+00:00,long,london_ny_overlap,1899.46,1923.46,1884.46,2023-01-12T14:44:00+00:00,1884.46,stop_loss,-15.35,,2023
