family,design,guard_variant,direction,session,entry_utc,entry_price,realized_exit_reason,realized_net_x1,horizon_hours,mfe_usd,mae_usd,close_move_usd,hit_plus_10,hit_plus_15,hit_plus_24,hit_minus_10,hit_minus_15,hit_minus_20,first_hit_15_15,first_hit_24_15,bars_checked
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-06T14:00:00+00:00,1851.64,stop_loss,-9.35,6,18.03,-11.14,17.07,True,True,False,True,False,False,tp_first,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-06T14:00:00+00:00,1851.64,stop_loss,-9.35,12,18.03,-11.14,15.2,True,True,False,True,False,False,tp_first,none,419
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-10T15:00:00+00:00,1877.93,time_exit,-1.54,3,2.61,-6.88,-3.81,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-10T15:00:00+00:00,1877.93,time_exit,-1.54,6,2.61,-6.88,0.0,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-10T15:00:00+00:00,1877.93,time_exit,-1.54,12,2.61,-6.88,-3.1,False,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-01-11T06:00:00+00:00,1882.22,time_exit,-5.17,3,3.74,-2.01,1.53,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-01-11T06:00:00+00:00,1882.22,time_exit,-5.17,6,4.21,-2.01,0.63,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-01-11T06:00:00+00:00,1882.22,time_exit,-5.17,12,4.21,-15.27,-8.54,False,False,False,True,True,False,sl_first,sl_first,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-12T13:00:00+00:00,1887.29,stop_loss,-9.35,3,14.12,-18.59,1.42,True,False,False,True,True,False,sl_first,sl_first,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-12T13:00:00+00:00,1887.29,stop_loss,-9.35,6,14.12,-18.59,11.47,True,False,False,True,True,False,sl_first,sl_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-01-12T13:00:00+00:00,1887.29,stop_loss,-9.35,12,14.12,-18.59,10.65,True,False,False,True,True,False,sl_first,sl_first,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-01-17T07:00:00+00:00,1907.03,stop_loss,-9.35,3,1.33,-4.67,0.59,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-01-17T07:00:00+00:00,1907.03,stop_loss,-9.35,6,2.97,-6.73,-2.22,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-01-17T07:00:00+00:00,1907.03,stop_loss,-9.35,12,2.97,-9.52,1.62,False,False,False,False,False,False,none,none,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-01-24T15:00:00+00:00,1921.11,stop_loss,-9.35,3,4.15,-15.35,-12.61,False,False,False,True,True,False,sl_first,sl_first,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-01-24T15:00:00+00:00,1921.11,stop_loss,-9.35,6,4.15,-16.98,-16.62,False,False,False,True,True,False,sl_first,sl_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-01-24T15:00:00+00:00,1921.11,stop_loss,-9.35,12,4.15,-18.37,-13.96,False,False,False,True,True,False,sl_first,sl_first,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-01-31T06:00:00+00:00,1917.18,time_exit,-2.64,3,12.26,0.0,10.44,True,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-01-31T06:00:00+00:00,1917.18,time_exit,-2.64,6,16.21,0.0,13.11,True,True,False,False,False,False,tp_first,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-01-31T06:00:00+00:00,1917.18,time_exit,-2.64,12,16.53,-13.18,-12.23,True,True,False,True,False,False,tp_first,none,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,new_york,2023-02-01T20:00:00+00:00,1942.76,time_exit,9.1,3,11.13,-3.82,7.13,True,False,False,False,False,False,none,none,119
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,new_york,2023-02-01T20:00:00+00:00,1942.76,time_exit,9.1,6,14.39,-3.82,9.87,True,False,False,False,False,False,none,none,299
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,new_york,2023-02-01T20:00:00+00:00,1942.76,time_exit,9.1,12,16.83,-3.82,12.55,True,True,False,False,False,False,tp_first,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-02-03T14:00:00+00:00,1886.51,take_profit,16.75,3,21.02,0.0,18.3,True,True,False,False,False,False,tp_first,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-02-03T14:00:00+00:00,1886.51,take_profit,16.75,6,25.28,0.0,20.91,True,True,True,False,False,False,tp_first,tp_first,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-02-03T14:00:00+00:00,1886.51,take_profit,16.75,12,25.28,0.0,21.51,True,True,True,False,False,False,tp_first,tp_first,419
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-02-07T16:00:00+00:00,1879.39,stop_loss,-9.35,3,4.88,-14.48,-10.22,False,False,False,True,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-02-07T16:00:00+00:00,1879.39,stop_loss,-9.35,6,4.88,-14.48,-5.92,False,False,False,True,False,False,none,none,359
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-02-07T16:00:00+00:00,1879.39,stop_loss,-9.35,12,4.88,-14.48,-3.05,False,False,False,True,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-02-09T09:00:00+00:00,1883.8,stop_loss,-9.35,3,2.28,-3.98,-1.71,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-02-09T09:00:00+00:00,1883.8,stop_loss,-9.35,6,6.3,-4.99,-4.52,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london,2023-02-09T09:00:00+00:00,1883.8,stop_loss,-9.35,12,6.3,-24.97,-23.11,False,False,False,True,True,True,sl_first,sl_first,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-02-16T02:00:00+00:00,1841.25,time_exit,-6.16,3,1.31,-1.97,-1.95,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-02-16T02:00:00+00:00,1841.25,time_exit,-6.16,6,1.31,-7.06,-0.05,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,asia,2023-02-16T02:00:00+00:00,1841.25,time_exit,-6.16,12,3.49,-13.7,-10.52,False,False,False,True,False,False,none,none,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-02-16T14:00:00+00:00,1830.7,stop_loss,-9.35,3,3.18,-12.42,-10.15,False,False,False,True,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-02-16T14:00:00+00:00,1830.7,stop_loss,-9.35,6,3.18,-14.49,-11.99,False,False,False,True,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london_ny_overlap,2023-02-16T14:00:00+00:00,1830.7,stop_loss,-9.35,12,3.18,-14.49,1.83,False,False,False,True,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-02-21T04:00:00+00:00,1838.36,time_exit,4.26,3,1.39,-1.31,-0.3,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-02-21T04:00:00+00:00,1838.36,time_exit,4.26,6,7.37,-1.31,2.98,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,asia,2023-02-21T04:00:00+00:00,1838.36,time_exit,4.26,12,8.2,-5.4,-0.27,False,False,False,False,False,False,none,none,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-02-27T14:00:00+00:00,1815.15,time_exit,1.65,3,4.81,-2.61,1.74,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-02-27T14:00:00+00:00,1815.15,time_exit,1.65,6,4.92,-2.61,2.17,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-02-27T14:00:00+00:00,1815.15,time_exit,1.65,12,4.92,-2.61,2.08,False,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-02-28T08:00:00+00:00,1810.37,stop_loss,-9.35,3,5.86,-2.58,1.43,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-02-28T08:00:00+00:00,1810.37,stop_loss,-9.35,6,5.86,-3.74,-3.59,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,short,london,2023-02-28T08:00:00+00:00,1810.37,stop_loss,-9.35,12,5.86,-20.7,-18.54,False,False,False,True,True,True,sl_first,sl_first,720
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-08T15:00:00+00:00,1820.42,time_exit,-7.12,3,3.78,-5.28,-4.91,False,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-08T15:00:00+00:00,1820.42,time_exit,-7.12,6,3.78,-7.59,-7.09,False,False,False,False,False,False,none,none,360
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-08T15:00:00+00:00,1820.42,time_exit,-7.12,12,3.78,-8.51,-7.39,False,False,False,False,False,False,none,none,659
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-09T14:00:00+00:00,1825.06,time_exit,5.29,3,10.53,-1.17,0.84,True,False,False,False,False,False,none,none,180
compression_expansion_confirmed,range16_pct18_expansion,unguarded,long,london_ny_overlap,2023-03-09T14:00:00+00:00,1825.06,time_exit,5.29,6,10.53,-1.17,5.41,True,False,False,False,False,False,none,none,360
