variant_id,setup,direction,horizon_hours,signal_count,pf_x4,avg_net_x4,win_rate_x4,tail_pf_x4,recent_pf_x4,cost1_pf_x4,max_drawdown_x4,fatal_failed_gates,stage36e_decision,next_action
stage36e_roll12_low_sweep_reclaim_long_h4,roll12_low_sweep_reclaim,long,4,1760,0.9872926033565029,-0.056767045454545244,0.5278409090909091,0.27323248578478554,0.27323248578478554,0.787607799967112,-884.710000000005,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_low_sweep_reclaim_long_h12,prevday_low_sweep_reclaim,long,12,1340,0.9864175907113977,-0.10636567164178491,0.5305970149253731,1.0685274007551748,1.0685274007551748,0.8669984237501476,-1912.3100000000004,pf;avg_net;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_low_sweep_reclaim_long_h12,roll24_low_sweep_reclaim,long,12,1081,0.9788090738319407,-0.17166512488436816,0.5356151711378353,0.09660839201133822,0.09660839201133822,0.86347982706604,-1686.5300000000043,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_low_sweep_reclaim_long_h8,roll24_low_sweep_reclaim,long,8,1081,0.9689091675009709,-0.21028677150786387,0.5393154486586494,0.19983951376083925,0.19983951376083925,0.8330289537126018,-964.1700000000037,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_low_break_continuation_short_h4,roll12_low_break_continuation,short,4,1532,0.9663885334413266,-0.16956919060051936,0.4660574412532637,1.659992396400972,1.659992396400972,0.7913273767375996,-1438.2499999999998,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_low_break_continuation_short_h4,prevday_low_break_continuation,short,4,3926,0.9610795037279773,-0.19371115639327247,0.46153846153846156,6.001111852345987,6.001111852345987,0.784841171207114,-2239.1599999999976,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_low_break_continuation_short_h8,roll12_low_break_continuation,short,8,1532,0.9591407470125546,-0.29987597911226954,0.46866840731070497,3.8320754716981473,3.8320754716981473,0.8351856986199335,-1617.389999999999,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_low_sweep_reclaim_long_h4,prevday_low_sweep_reclaim,long,4,1340,0.9586764907129808,-0.1983059701492473,0.5194029850746269,0.8669120376097924,0.8669120376097924,0.7740543795933713,-1434.63,pf;avg_net;win_rate;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_low_break_continuation_short_h8,roll48_low_break_continuation,short,8,644,0.954063647217893,-0.351878881987569,0.4704968944099379,3.0464311369425014,3.0464311369425014,0.8352524642776727,-1003.369999999996,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_low_break_continuation_short_h4,roll48_low_break_continuation,short,4,644,0.952651615135998,-0.2506832298136615,0.46273291925465837,1.3988202720597087,1.3988202720597087,0.7866180615899797,-823.0699999999993,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_low_break_continuation_short_h8,prevday_low_break_continuation,short,8,3926,0.944705293265802,-0.39097554763117315,0.45593479368313805,7.0038111534572804,7.0038111534572804,0.8178235651066667,-3446.309999999995,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_low_break_continuation_short_h12,roll24_low_break_continuation,short,12,940,0.9413220132821726,-0.5111489361702053,0.4648936170212766,7.5130736392743245,7.5130736392743245,0.836872688853672,-1669.4999999999936,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_low_break_continuation_short_h12,prevday_low_break_continuation,short,12,3926,0.9289136483633313,-0.6097401935812483,0.45924605196128376,11.068094723395959,11.068094723395959,0.8238301903044503,-5011.099999999993,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_low_sweep_reclaim_long_h4,roll48_low_sweep_reclaim,long,4,734,0.9284747530142128,-0.3607084468664844,0.5313351498637602,0.20408769028537538,0.20408769028537538,0.7547634949320347,-587.6800000000017,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_low_break_continuation_short_h12,roll48_low_break_continuation,short,12,644,0.913505139385712,-0.7715838509316658,0.4580745341614907,1.6956307540721163,1.6956307540721163,0.8130548628020317,-1170.9399999999932,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_high_sweep_reversal_short_h12,prevday_high_sweep_reversal,short,12,1431,0.9130784961962677,-0.6840321453529088,0.4807826694619147,1.0035273368606652,1.0035273368606652,0.7996471575145713,-2062.3000000000093,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_prevday_high_sweep_reversal_short_h8,prevday_high_sweep_reversal,short,8,1431,0.9004581330872532,-0.6814395527603097,0.46261355695317957,0.8044864524259557,0.8044864524259557,0.7729092539285544,-1903.4400000000014,pf;avg_net;win_rate;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_high_sweep_reversal_short_h4,roll12_high_sweep_reversal,short,4,2135,0.882098531407136,-0.5535128805620583,0.49695550351288054,2.245523001961673,2.245523001961673,0.7028401200555485,-2111.829999999995,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_low_break_continuation_short_h8,roll24_low_break_continuation,short,8,940,0.8777060611215213,-0.9713404255319144,0.45851063829787236,4.424863589441126,4.424863589441126,0.7681138745502895,-1881.5000000000005,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_low_break_continuation_short_h4,roll24_low_break_continuation,short,4,940,0.8728363206315565,-0.7046382978723387,0.4595744680851064,1.5281639501438202,1.5281639501438202,0.720968137959137,-1502.0500000000002,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_low_sweep_reclaim_long_h4,roll24_low_sweep_reclaim,long,4,1081,0.872224278312362,-0.664310823311745,0.5226641998149861,0.2785884617908931,0.2785884617908931,0.7084859129826115,-979.3400000000033,pf;avg_net;tail_pf;recent_pf;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_high_sweep_reversal_short_h8,roll12_high_sweep_reversal,short,8,2134,0.8419595199060337,-1.137436738519211,0.4845360824742268,1.7870970012670742,1.7870970012670742,0.7235147820172985,-3856.6000000000013,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll12_high_sweep_reversal_short_h12,roll12_high_sweep_reversal,short,12,2134,0.8362114051266286,-1.4381958762886622,0.4845360824742268,2.2396983135338138,2.2396983135338138,0.7381599520515233,-5082.540000000006,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_high_sweep_reversal_short_h4,roll24_high_sweep_reversal,short,4,1359,0.8291244588229021,-0.8709786607799797,0.48491537895511405,1.9202212840297306,1.9202212840297306,0.668583569035858,-1811.879999999997,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_high_sweep_reversal_short_h8,roll24_high_sweep_reversal,short,8,1358,0.7638473570965497,-1.7998674521354963,0.46023564064801176,4.176552965889772,4.176552965889772,0.6576864834498016,-3357.560000000004,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll24_high_sweep_reversal_short_h12,roll24_high_sweep_reversal,short,12,1358,0.7345388520398708,-2.532194403534614,0.4639175257731959,5.100220534182801,5.100220534182801,0.6500108716748361,-4714.379999999999,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_high_sweep_reversal_short_h4,roll48_high_sweep_reversal,short,4,979,0.7039828424616011,-1.6452808988763943,0.4811031664964249,1.061415512617008,1.061415512617008,0.5671280548651368,-1876.5699999999906,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_high_sweep_reversal_short_h12,roll48_high_sweep_reversal,short,12,978,0.6258365979685069,-3.9619734151329267,0.4570552147239264,1.97478159580664,1.97478159580664,0.5549224133266196,-4597.24,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
stage36e_roll48_high_sweep_reversal_short_h8,roll48_high_sweep_reversal,short,8,978,0.6244448027325434,-3.215316973415137,0.450920245398773,2.4286779155654754,2.4286779155654754,0.5382564858444333,-3555.0200000000054,pf;avg_net;win_rate;cost1_pf;drawdown,KILL_OR_REPAIR_RESEARCH_ONLY,MOVE_TO_NEXT_STAGE36_THESIS_BRANCH_DO_NOT_WAIT_FOR_N40
