signal_id,signal_dt,entry_dt,exit_target_dt,variant,side,session,hour,signal_open,signal_high,signal_low,signal_close,pdh,pdl,prev_range,break_above_pdh,close_above_pdh
20260507T070000_pdh_breakout_long_h32_cool4,2026-05-07 07:00:00+00:00,2026-05-07 07:15:00+00:00,2026-05-07 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4702.83,4704.69,4697.12,4698.89,4586.36,4513.4,72.96000000000004,118.33,112.53
20260507T160000_pdh_breakout_long_h32_cool4,2026-05-07 16:00:00+00:00,2026-05-07 16:15:00+00:00,2026-05-08 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4750.46,4752.38,4741.37,4742.39,4586.36,4513.4,72.96000000000004,166.02,156.03
20260508T083000_pdh_breakout_long_h32_cool4,2026-05-08 08:30:00+00:00,2026-05-08 08:45:00+00:00,2026-05-08 16:45:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,8,4711.11,4725.77,4710.78,4724.99,4722.92,4546.32,176.60000000000036,2.85,2.07
20260512T070000_pdh_breakout_long_h32_cool4,2026-05-12 07:00:00+00:00,2026-05-12 07:15:00+00:00,2026-05-12 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4720.62,4722.55,4718.25,4720.19,4701.72,4678.79,22.93000000000029,20.83,18.47
20260512T160000_pdh_breakout_long_h32_cool4,2026-05-12 16:00:00+00:00,2026-05-12 16:15:00+00:00,2026-05-13 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4707.27,4711.33,4700.48,4706.71,4701.72,4678.79,22.93000000000029,9.61,4.99
20260525T070000_pdh_breakout_long_h32_cool4,2026-05-25 07:00:00+00:00,2026-05-25 07:15:00+00:00,2026-05-25 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4558.99,4561.23,4556.83,4559.6,4545.78,4490.96,54.81999999999971,15.45,13.82
20260525T160000_pdh_breakout_long_h32_cool4,2026-05-25 16:00:00+00:00,2026-05-25 16:15:00+00:00,2026-05-26 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4566.68,4568.44,4564.11,4564.42,4545.78,4490.96,54.81999999999971,22.66,18.64
20260529T123000_pdh_breakout_long_h32_cool4,2026-05-29 12:30:00+00:00,2026-05-29 12:45:00+00:00,2026-05-29 20:45:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,12,4527.53,4531.73,4522.02,4529.19,4527.61,4401.29,126.31999999999971,4.12,1.58
20260609T070000_pdh_breakout_long_h32_cool4,2026-06-09 07:00:00+00:00,2026-06-09 07:15:00+00:00,2026-06-09 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4338.58,4341.64,4333.06,4334.17,4330.36,4310.05,20.30999999999949,11.28,3.81
20260609T160000_pdh_breakout_long_h32_cool4,2026-06-09 16:00:00+00:00,2026-06-09 16:15:00+00:00,2026-06-10 00:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,new_york,16,4340.41,4345.22,4336.47,4342.23,4330.36,4310.05,20.30999999999949,14.86,11.87
20260616T070000_pdh_breakout_long_h32_cool4,2026-06-16 07:00:00+00:00,2026-06-16 07:15:00+00:00,2026-06-16 15:15:00+00:00,pdh_breakout_continuation_long_h32_cool4,LONG,london,7,4331.43,4332.91,4328.83,4331.55,4246.42,4170.1,76.31999999999971,86.49,85.13
