definition,guard_variant,geometry,macro_regime_numeric,trades,total_net_x4,median_net_x4,pf_x4,win_rate_x4,max_dd_x4
confirmed_h1,macro_blocked_overlap,tp15_sl12_h12,mixed,612,-3.71,-0.575,0.998782,0.480392,-515.95
confirmed_h1,macro_blocked_overlap,tp15_sl12_h12,hostile,55,-64.91,-4.42,0.803654,0.454545,-255.75
confirmed_h1,macro_blocked_overlap,tp18_sl12_h12,neutral,1022,1149.55,0.165,1.230857,0.504892,-545.73
confirmed_h1,macro_blocked_overlap,tp18_sl12_h12,supportive,238,164.07,-0.345,1.180441,0.478992,-444.37
confirmed_h1,macro_blocked_overlap,tp18_sl12_h12,mixed,612,136.7,-1.085,1.043559,0.465686,-501.58
confirmed_h1,macro_blocked_overlap,tp18_sl12_h12,hostile,55,-83.36,-4.49,0.760101,0.418182,-299.64
confirmed_h1,macro_blocked_overlap,tp24_sl15_h12_control,neutral,1022,1830.54,0.515,1.344004,0.515656,-617.65
confirmed_h1,macro_blocked_overlap,tp24_sl15_h12_control,supportive,238,554.33,0.035,1.670923,0.504202,-327.44
confirmed_h1,macro_blocked_overlap,tp24_sl15_h12_control,mixed,612,309.72,-0.62,1.089283,0.47549,-669.7
confirmed_h1,macro_blocked_overlap,tp24_sl15_h12_control,hostile,55,-77.44,-4.42,0.79591,0.436364,-327.7
confirmed_h1,unguarded_nonoverlap,time_exit_12h,neutral,230,752.97,1.865,1.52398,0.556522,-408.12
confirmed_h1,unguarded_nonoverlap,time_exit_12h,mixed,119,403.79,-0.05,1.452147,0.495798,-159.4
confirmed_h1,unguarded_nonoverlap,time_exit_12h,supportive,46,171.49,0.24,2.439641,0.521739,-23.58
confirmed_h1,unguarded_nonoverlap,time_exit_12h,hostile,12,-55.81,-2.525,0.51478,0.416667,-102.01
confirmed_h1,unguarded_nonoverlap,tp15_sl12_h12,supportive,54,133.63,1.815,1.887494,0.592593,-35.72
confirmed_h1,unguarded_nonoverlap,tp15_sl12_h12,mixed,175,94.65,-0.12,1.104283,0.497143,-153.93
confirmed_h1,unguarded_nonoverlap,tp15_sl12_h12,hostile,15,-59.09,-5.52,0.407203,0.333333,-75.96
confirmed_h1,unguarded_nonoverlap,tp15_sl12_h12,neutral,340,-130.18,-1.665,0.933495,0.467647,-261.54
confirmed_h1,unguarded_nonoverlap,tp18_sl12_h12,mixed,170,130.79,-0.91,1.142524,0.476471,-161.73
confirmed_h1,unguarded_nonoverlap,tp18_sl12_h12,supportive,51,99.73,0.3,1.654611,0.54902,-41.01
confirmed_h1,unguarded_nonoverlap,tp18_sl12_h12,neutral,317,30.3,-2.18,1.016157,0.457413,-196.99
confirmed_h1,unguarded_nonoverlap,tp18_sl12_h12,hostile,15,-56.09,-5.52,0.437299,0.333333,-75.96
confirmed_h1,unguarded_nonoverlap,tp24_sl15_h12_control,neutral,278,364.18,0.105,1.217863,0.507194,-158.87
confirmed_h1,unguarded_nonoverlap,tp24_sl15_h12_control,mixed,151,150.41,-0.51,1.164505,0.470199,-98.4
confirmed_h1,unguarded_nonoverlap,tp24_sl15_h12_control,supportive,48,128.19,0.28,1.896935,0.541667,-43.39
confirmed_h1,unguarded_nonoverlap,tp24_sl15_h12_control,hostile,14,-51.69,-4.965,0.489633,0.357143,-77.56
confirmed_h1,unguarded_overlap,time_exit_12h,neutral,1022,4138.18,1.46,1.731595,0.554795,-813.21
confirmed_h1,unguarded_overlap,time_exit_12h,mixed,612,1972.66,-0.245,1.47111,0.493464,-710.52
confirmed_h1,unguarded_overlap,time_exit_12h,supportive,238,1002.95,0.09,2.361557,0.508403,-251.74
confirmed_h1,unguarded_overlap,time_exit_12h,hostile,55,-366.39,-3.49,0.472365,0.472727,-642.25
confirmed_h1,unguarded_overlap,tp15_sl12_h12,neutral,1022,652.02,0.515,1.133625,0.514677,-535.39
confirmed_h1,unguarded_overlap,tp15_sl12_h12,supportive,238,111.7,-0.175,1.123315,0.491597,-430.36
confirmed_h1,unguarded_overlap,tp15_sl12_h12,mixed,612,-3.71,-0.575,0.998782,0.480392,-515.95
confirmed_h1,unguarded_overlap,tp15_sl12_h12,hostile,55,-64.91,-4.42,0.803654,0.454545,-255.75
confirmed_h1,unguarded_overlap,tp18_sl12_h12,neutral,1022,1149.55,0.165,1.230857,0.504892,-545.73
confirmed_h1,unguarded_overlap,tp18_sl12_h12,supportive,238,164.07,-0.345,1.180441,0.478992,-444.37
confirmed_h1,unguarded_overlap,tp18_sl12_h12,mixed,612,136.7,-1.085,1.043559,0.465686,-501.58
confirmed_h1,unguarded_overlap,tp18_sl12_h12,hostile,55,-83.36,-4.49,0.760101,0.418182,-299.64
confirmed_h1,unguarded_overlap,tp24_sl15_h12_control,neutral,1022,1830.54,0.515,1.344004,0.515656,-617.65
confirmed_h1,unguarded_overlap,tp24_sl15_h12_control,supportive,238,554.33,0.035,1.670923,0.504202,-327.44
confirmed_h1,unguarded_overlap,tp24_sl15_h12_control,mixed,612,309.72,-0.62,1.089283,0.47549,-669.7
confirmed_h1,unguarded_overlap,tp24_sl15_h12_control,hostile,55,-77.44,-4.42,0.79591,0.436364,-327.7
confirmed_session,macro_blocked_nonoverlap,time_exit_12h,neutral,120,422.28,1.495,1.657368,0.558333,-189.12
confirmed_session,macro_blocked_nonoverlap,time_exit_12h,mixed,67,171.9,-1.17,1.333262,0.477612,-130.5
confirmed_session,macro_blocked_nonoverlap,time_exit_12h,supportive,28,43.56,0.035,1.5625,0.5,-30.73
confirmed_session,macro_blocked_nonoverlap,time_exit_12h,hostile,6,35.92,1.955,3.664688,0.666667,-7.96
confirmed_session,macro_blocked_nonoverlap,tp15_sl12_h12,supportive,31,56.86,0.26,1.713157,0.548387,-26.66
confirmed_session,macro_blocked_nonoverlap,tp15_sl12_h12,mixed,99,21.44,-1.16,1.043564,0.474747,-141.93
confirmed_session,macro_blocked_nonoverlap,tp15_sl12_h12,hostile,7,3.48,0.55,1.12595,0.571429,-22.11
confirmed_session,macro_blocked_nonoverlap,tp15_sl12_h12,neutral,163,1.77,-0.33,1.002149,0.490798,-170.38
confirmed_session,macro_blocked_nonoverlap,tp18_sl12_h12,neutral,159,127.62,-0.27,1.158373,0.496855,-125.58
confirmed_session,macro_blocked_nonoverlap,tp18_sl12_h12,mixed,96,58.25,-1.295,1.118358,0.458333,-137.53
confirmed_session,macro_blocked_nonoverlap,tp18_sl12_h12,supportive,30,54.9,0.24,1.688574,0.533333,-33.02
confirmed_session,macro_blocked_nonoverlap,tp18_sl12_h12,hostile,7,6.15,0.55,1.222584,0.571429,-22.11
confirmed_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,neutral,142,328.87,1.305,1.474327,0.542254,-131.2
confirmed_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,mixed,86,106.24,-0.8,1.22161,0.476744,-138.73
confirmed_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,supportive,29,18.02,-0.15,1.186504,0.482759,-33.51
confirmed_session,macro_blocked_nonoverlap,tp24_sl15_h12_control,hostile,7,9.15,0.55,1.298727,0.571429,-25.11
confirmed_session,macro_blocked_overlap,time_exit_12h,neutral,371,1821.91,1.7,2.169751,0.579515,-250.34
confirmed_session,macro_blocked_overlap,time_exit_12h,mixed,252,1245.46,-0.65,1.792883,0.460317,-396.97
confirmed_session,macro_blocked_overlap,time_exit_12h,supportive,88,38.53,-0.605,1.122895,0.443182,-163.67
confirmed_session,macro_blocked_overlap,time_exit_12h,hostile,14,35.65,-1.93,1.710584,0.5,-29.09
confirmed_session,macro_blocked_overlap,tp15_sl12_h12,neutral,371,475.45,1.09,1.347803,0.544474,-131.99
confirmed_session,macro_blocked_overlap,tp15_sl12_h12,supportive,88,17.08,-0.465,1.058755,0.465909,-142.05
confirmed_session,macro_blocked_overlap,tp15_sl12_h12,hostile,14,-3.26,-1.93,0.944454,0.5,-34.37
