mechanism,side,event_utc,ref_level,context
prev_day_low_sweep_rejection,LONG,2023-08-17 08:00:00+00:00,1896.22,pdh=1911.45;pdl=1896.22
prev_day_low_sweep_rejection,LONG,2023-08-18 06:00:00+00:00,1891.62,pdh=1907.04;pdl=1891.62
prev_day_low_sweep_rejection,LONG,2023-08-21 03:15:00+00:00,1886.61,pdh=1896.69;pdl=1886.61
prev_day_high_sweep_rejection,SHORT,2023-08-21 13:45:00+00:00,1896.69,pdh=1896.69;pdl=1886.61
prev_day_high_sweep_rejection,SHORT,2023-08-23 02:00:00+00:00,1898.77,pdh=1898.77;pdl=1884.61
prev_day_high_sweep_rejection,SHORT,2023-08-25 15:15:00+00:00,1920.34,pdh=1920.34;pdl=1897.53
prev_day_high_sweep_rejection,SHORT,2023-08-28 18:00:00+00:00,1922.27,pdh=1922.27;pdl=1903.60
prev_day_high_sweep_rejection,SHORT,2023-08-29 13:15:00+00:00,1915.84,pdh=1915.84;pdl=1914.35
prev_day_high_sweep_rejection,SHORT,2023-09-01 14:30:00+00:00,1948.95,pdh=1948.95;pdl=1934.94
prev_day_low_sweep_rejection,LONG,2023-09-01 15:45:00+00:00,1934.94,pdh=1948.95;pdl=1934.94
prev_day_high_sweep_rejection,SHORT,2023-09-08 15:15:00+00:00,1929.09,pdh=1929.09;pdl=1915.20
prev_day_high_sweep_rejection,SHORT,2023-09-11 08:30:00+00:00,1929.6,pdh=1929.60;pdl=1917.26
prev_day_high_sweep_rejection,SHORT,2023-09-12 07:00:00+00:00,1920.36,pdh=1920.36;pdl=1917.80
prev_day_low_sweep_rejection,LONG,2023-09-14 11:45:00+00:00,1907.49,pdh=1924.40;pdl=1907.49
prev_day_high_sweep_rejection,SHORT,2023-09-15 04:00:00+00:00,1915.63,pdh=1915.63;pdl=1905.44
prev_day_high_sweep_rejection,SHORT,2023-09-20 21:00:00+00:00,1934.09,pdh=1934.09;pdl=1922.36
prev_day_low_sweep_rejection,LONG,2023-09-22 14:45:00+00:00,1927.84,pdh=1947.36;pdl=1927.84
prev_day_low_sweep_rejection,LONG,2023-09-29 08:45:00+00:00,1872.37,pdh=1903.84;pdl=1872.37
prev_day_low_sweep_rejection,LONG,2023-10-04 13:15:00+00:00,1826.98,pdh=1848.70;pdl=1826.98
prev_day_low_sweep_rejection,LONG,2023-10-05 14:00:00+00:00,1815.03,pdh=1833.20;pdl=1815.03
prev_day_low_sweep_rejection,LONG,2023-10-06 14:15:00+00:00,1816.47,pdh=1830.40;pdl=1816.47
prev_day_high_sweep_rejection,SHORT,2023-10-06 15:45:00+00:00,1830.4,pdh=1830.40;pdl=1816.47
prev_day_high_sweep_rejection,SHORT,2023-10-10 07:45:00+00:00,1855.09,pdh=1855.09;pdl=1845.24
prev_day_high_sweep_rejection,SHORT,2023-10-11 08:00:00+00:00,1863.28,pdh=1863.28;pdl=1844.02
prev_day_high_sweep_rejection,SHORT,2023-10-13 07:00:00+00:00,1877.01,pdh=1877.01;pdl=1858.37
prev_day_low_sweep_rejection,LONG,2023-10-17 10:30:00+00:00,1920.95,pdh=1930.11;pdl=1920.95
prev_day_high_sweep_rejection,SHORT,2023-10-17 15:00:00+00:00,1930.11,pdh=1930.11;pdl=1920.95
prev_day_low_sweep_rejection,LONG,2023-10-23 03:45:00+00:00,1971.92,pdh=1997.14;pdl=1971.92
prev_day_high_sweep_rejection,SHORT,2023-10-24 03:45:00+00:00,1978.48,pdh=1978.48;pdl=1961.75
prev_day_low_sweep_rejection,LONG,2023-10-24 12:45:00+00:00,1961.75,pdh=1978.48;pdl=1961.75
prev_day_high_sweep_rejection,SHORT,2023-10-25 15:15:00+00:00,1982.82,pdh=1982.82;pdl=1964.27
prev_day_low_sweep_rejection,LONG,2023-10-25 16:15:00+00:00,1964.27,pdh=1982.82;pdl=1964.27
prev_day_high_sweep_rejection,SHORT,2023-10-26 14:00:00+00:00,1980.81,pdh=1980.81;pdl=1953.58
prev_day_high_sweep_rejection,SHORT,2023-10-27 04:00:00+00:00,1987.23,pdh=1987.23;pdl=1963.10
prev_day_low_sweep_rejection,LONG,2023-10-31 08:45:00+00:00,1996.89,pdh=2006.55;pdl=1996.89
prev_day_high_sweep_rejection,SHORT,2023-10-31 14:30:00+00:00,2006.55,pdh=2006.55;pdl=1996.89
prev_day_low_sweep_rejection,LONG,2023-11-01 14:45:00+00:00,1990.95,pdh=2006.70;pdl=1990.95
prev_day_high_sweep_rejection,SHORT,2023-11-03 13:30:00+00:00,1991.99,pdh=1991.99;pdl=1969.79
prev_day_low_sweep_rejection,LONG,2023-11-06 03:45:00+00:00,1983.18,pdh=2004.06;pdl=1983.18
prev_day_low_sweep_rejection,LONG,2023-11-09 14:45:00+00:00,1956.65,pdh=1976.98;pdl=1956.65
prev_day_low_sweep_rejection,LONG,2023-11-10 12:00:00+00:00,1947.42,pdh=1970.95;pdl=1947.42
prev_day_low_sweep_rejection,LONG,2023-11-13 15:15:00+00:00,1932.96,pdh=1960.70;pdl=1932.96
