variant_id,session_family,direction_mode,horizon_hours,entry_ts,exit_ts,direction,net_x4
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-30 13:00:00+00:00,2022-05-30 17:00:00+00:00,1,4.926372155287887
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-30 18:00:00+00:00,2022-05-31 03:00:00+00:00,1,-13.734024179620045
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-30 18:00:00+00:00,2022-05-31 03:00:00+00:00,-1,13.734024179620045
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-05-31 08:00:00+00:00,2022-05-31 12:00:00+00:00,1,-4.844070111540926
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-05-31 08:00:00+00:00,2022-05-31 12:00:00+00:00,-1,4.844070111540926
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-05-31 13:00:00+00:00,2022-05-31 17:00:00+00:00,-1,5.677013752455984
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-05-31 13:00:00+00:00,2022-05-31 17:00:00+00:00,1,-5.677013752455984
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-05-31 18:00:00+00:00,2022-06-01 02:00:00+00:00,1,-7.961029923451717
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-05-31 18:00:00+00:00,2022-06-01 02:00:00+00:00,-1,7.961029923451717
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-01 08:00:00+00:00,2022-06-01 12:00:00+00:00,-1,1.4314676068754664
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-01 08:00:00+00:00,2022-06-01 12:00:00+00:00,1,-1.4314676068754664
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-01 13:00:00+00:00,2022-06-01 17:00:00+00:00,1,17.400871459694937
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-01 13:00:00+00:00,2022-06-01 17:00:00+00:00,-1,-17.400871459694937
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-01 18:00:00+00:00,2022-06-02 02:00:00+00:00,-1,-0.38857752868949
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-01 18:00:00+00:00,2022-06-02 02:00:00+00:00,1,0.38857752868949
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-02 08:00:00+00:00,2022-06-02 12:00:00+00:00,1,11.157966564312886
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-02 08:00:00+00:00,2022-06-02 12:00:00+00:00,-1,-11.157966564312886
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-02 13:00:00+00:00,2022-06-02 17:00:00+00:00,1,20.04956242959914
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-02 13:00:00+00:00,2022-06-02 17:00:00+00:00,-1,-20.04956242959914
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-02 18:00:00+00:00,2022-06-03 02:00:00+00:00,-1,-2.493577667408905
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-02 18:00:00+00:00,2022-06-03 02:00:00+00:00,1,2.493577667408905
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-03 08:00:00+00:00,2022-06-03 12:00:00+00:00,1,-7.839999999999754
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-03 08:00:00+00:00,2022-06-03 12:00:00+00:00,-1,7.839999999999754
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-03 13:00:00+00:00,2022-06-03 17:00:00+00:00,1,-18.06659012629168
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-03 13:00:00+00:00,2022-06-03 17:00:00+00:00,-1,18.06659012629168
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-03 18:00:00+00:00,2022-06-06 02:00:00+00:00,1,-0.47846668975883927
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-03 18:00:00+00:00,2022-06-06 02:00:00+00:00,-1,0.47846668975883927
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-06 08:00:00+00:00,2022-06-06 12:00:00+00:00,-1,2.5209003215433947
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-06 08:00:00+00:00,2022-06-06 12:00:00+00:00,1,-2.5209003215433947
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-06 13:00:00+00:00,2022-06-06 17:00:00+00:00,-1,9.70046168051722
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-06 13:00:00+00:00,2022-06-06 17:00:00+00:00,1,-9.70046168051722
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-06 18:00:00+00:00,2022-06-07 02:00:00+00:00,1,-6.155908572960543
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-06 18:00:00+00:00,2022-06-07 02:00:00+00:00,-1,6.155908572960543
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-07 08:00:00+00:00,2022-06-07 12:00:00+00:00,-1,-15.876216620913818
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-07 08:00:00+00:00,2022-06-07 12:00:00+00:00,1,15.876216620913818
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-07 13:00:00+00:00,2022-06-07 17:00:00+00:00,1,0.7803447011370017
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-07 13:00:00+00:00,2022-06-07 17:00:00+00:00,-1,-0.7803447011370017
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-07 18:00:00+00:00,2022-06-08 02:00:00+00:00,-1,-2.3897738446411827
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-07 18:00:00+00:00,2022-06-08 02:00:00+00:00,1,2.3897738446411827
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-08 08:00:00+00:00,2022-06-08 12:00:00+00:00,1,-0.03816338700056083
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-08 08:00:00+00:00,2022-06-08 12:00:00+00:00,-1,0.03816338700056083
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-08 13:00:00+00:00,2022-06-08 17:00:00+00:00,-1,-15.895116355293204
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-08 13:00:00+00:00,2022-06-08 17:00:00+00:00,1,15.895116355293204
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-08 18:00:00+00:00,2022-06-09 02:00:00+00:00,-1,7.788171244741482
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-08 18:00:00+00:00,2022-06-09 02:00:00+00:00,1,-7.788171244741482
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-09 08:00:00+00:00,2022-06-09 12:00:00+00:00,-1,4.173421633553911
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-09 08:00:00+00:00,2022-06-09 12:00:00+00:00,1,-4.173421633553911
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-09 13:00:00+00:00,2022-06-09 17:00:00+00:00,1,-13.964616680707401
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-09 13:00:00+00:00,2022-06-09 17:00:00+00:00,-1,13.964616680707401
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-09 18:00:00+00:00,2022-06-10 02:00:00+00:00,-1,-1.6824762250893583
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-09 18:00:00+00:00,2022-06-10 02:00:00+00:00,1,1.6824762250893583
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-10 08:00:00+00:00,2022-06-10 12:00:00+00:00,1,-4.361423790690263
stage36b_london_open_reversal_h4_atr075,london_open,reversal,4,2022-06-10 08:00:00+00:00,2022-06-10 12:00:00+00:00,-1,4.361423790690263
stage36b_ny_open_continuation_h4_atr075,ny_open,continuation,4,2022-06-10 13:00:00+00:00,2022-06-10 17:00:00+00:00,-1,-30.811457349701737
stage36b_ny_open_reversal_h4_atr075,ny_open,reversal,4,2022-06-10 13:00:00+00:00,2022-06-10 17:00:00+00:00,1,30.811457349701737
stage36b_ny_late_reversal_h8_atr075,ny_late,reversal,8,2022-06-10 18:00:00+00:00,2022-06-13 02:00:00+00:00,-1,-6.5374486337323106
stage36b_ny_late_continuation_h8_atr075,ny_late,continuation,8,2022-06-10 18:00:00+00:00,2022-06-13 02:00:00+00:00,1,6.5374486337323106
stage36b_london_open_continuation_h4_atr075,london_open,continuation,4,2022-06-13 08:00:00+00:00,2022-06-13 12:00:00+00:00,1,-12.010422930446955
