candidate_identity,best_priority_score_review_only,source_row_count,source_csv_count,families,stages,density_buckets,commercial_blockers,latest_signal_ts,max_recent_signal_rows,max_event_count,commercial_readiness
high_range_london_breakout_follow_v1,4.2,3,3,high_range_london_breakout_follow_v1,stage29a;stage30a;stage32b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,,,105.0,BLOCKED_LOW_FORWARD_CADENCE
london_oneway_continuation,4.0,5,2,london_oneway_continuation,stage30a;stage32b,HISTORICAL_DENSITY_PRESENT_FORWARD_UNKNOWN;UNKNOWN_DENSITY,FORWARD_DENSITY_UNKNOWN;REVIEW_READY_NOT_PROMOTED,,,100.0,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_1_le_q20,3.990274,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_5_ge_q80,3.983168,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
data/reports/stage27b_db_first_lineage_gate_discovery/stage27b_gate_candidates.csv,3.96,29,1,stage27b,stage27b,LOW_HISTORICAL_DENSITY;MODERATE_HISTORICAL_DENSITY,REJECTED_OR_ERROR_SOURCE;REVIEW_READY_NOT_PROMOTED,,,99.0,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_1_ge_q80,3.877588,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_ret_5_ge_q80,3.836195,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
oil_chg_5_le_q20,3.596984,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_5_le_q30,3.566921,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_z60_ge_q80,3.501741,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_1_le_q30,3.37142,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_chg_1_ge_q70,3.335256,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_ret_1_ge_q70,3.335256,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_5_le_q20,3.165706,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_ret_5_le_q20,3.165706,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_chg_5_le_q20,3.152026,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
vix_value_le_q30,3.126538,33,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
real_yield_ret_5_le_q20,3.06647,32,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
spx_ret_1_ge_q80,2.858618,31,1,stage31b,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
us10y_chg_1_le_q20,2.846126,33,1,exogenous_macro,stage31b,UNKNOWN_DENSITY,REJECTED_OR_ERROR_SOURCE,,,,BLOCKED_LOW_FORWARD_CADENCE
