stage,candidate,spec_type,dimension,bucket,dimension_a,bucket_a,dimension_b,bucket_b,segment,n,mean_bps,cost_mean_bps,hit_rate_pct
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,second_half,26,73.4452283555141,65.4452283555141,65.38461538461539
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q1,13,36.00330807088863,28.00330807088863,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q2,13,19.121504100108126,11.121504100108126,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q3,13,67.19762706558804,59.19762706558804,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q4,13,79.69282964544013,71.69282964544013,69.23076923076923
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,recent_third,18,86.45227373038351,78.45227373038351,72.22222222222221
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,first_half,26,4.0737312652954065,-3.9262687347045935,46.15384615384615
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,second_half,26,92.81402509806354,84.81402509806354,80.76923076923077
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,q1,13,-19.718068458244314,-27.718068458244314,30.76923076923077
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,q2,13,27.865530988835125,19.865530988835125,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,q3,13,60.033225245174144,52.033225245174144,84.61538461538461
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,q4,13,125.59482495095293,117.59482495095293,76.92307692307693
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,recent_third,18,114.26993452158607,106.26993452158607,83.33333333333334
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,weekday,Monday,,,,,first_half,19,46.65358926832672,38.65358926832672,63.1578947368421
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,weekday,Monday,,,,,second_half,19,121.17628095362285,113.17628095362285,73.68421052631578
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,weekday,Monday,,,,,q1,9,2.692655220684562,-5.307344779315438,44.44444444444444
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,weekday,Monday,,,,,q2,10,86.21842991120465,78.21842991120465,80.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,weekday,Monday,,,,,q3,9,45.913376161698594,37.913376161698594,66.66666666666666
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,weekday,Monday,,,,,q4,10,188.9128952663547,180.9128952663547,80.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,weekday,Monday,,,,,recent_third,13,187.40910066209133,179.40910066209133,84.61538461538461
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,cross_condition,,,session_utc,LONDON_07_12,spread_regime,NA,first_half,15,39.074981757809766,31.074981757809766,60.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,cross_condition,,,session_utc,LONDON_07_12,spread_regime,NA,second_half,16,96.90419687330808,88.90419687330808,62.5
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,cross_condition,,,session_utc,LONDON_07_12,spread_regime,NA,q1,7,19.935883848454715,11.935883848454715,42.857142857142854
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,cross_condition,,,session_utc,LONDON_07_12,spread_regime,NA,q2,8,55.82169242849544,47.82169242849544,75.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,cross_condition,,,session_utc,LONDON_07_12,spread_regime,NA,q3,8,4.165910658253658,-3.834089341746342,62.5
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,cross_condition,,,session_utc,LONDON_07_12,spread_regime,NA,q4,8,189.6424830883625,181.6424830883625,62.5
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,cross_condition,,,session_utc,LONDON_07_12,spread_regime,NA,recent_third,11,106.27264292749669,98.27264292749669,54.54545454545454
