group_name,group_value,direction,horizon_hours,diagnosis,edge_score,samples,avg_close_move,median_close_move,median_mfe,median_mae,hit_plus_10_rate,hit_plus_15_rate,hit_plus_24_rate,hit_minus_10_rate,hit_minus_15_rate,tp15_first_rate,sl15_first_rate,tp24_first_rate,sl24_first_rate
session,new_york,long,3,WATCHLIST_REGIME,0.456225,1692,0.508824,0.17,2.815,-2.66,0.140071,0.076832,0.037234,0.135343,0.083924,0.070331,0.078014,0.031324,0.082742
h4_trend,neutral,short,6,WATCHLIST_REGIME,0.389528,2672,0.251426,-0.27,5.83,-5.775,0.336078,0.21744,0.117889,0.304266,0.197979,0.19012,0.170284,0.09506,0.184506
session,asia,long,6,WATCHLIST_REGIME,0.350313,2436,0.35688,0.45,5.745,-5.265,0.295977,0.178982,0.089491,0.287767,0.180213,0.156814,0.157635,0.073481,0.170361
h4_trend,down,short,6,WATCHLIST_REGIME,0.346864,2032,0.288794,0.365,5.83,-5.23,0.30561,0.193406,0.113189,0.291831,0.186516,0.165354,0.156496,0.090551,0.172244
impulse_bucket,shock_impulse,long,3,WATCHLIST_REGIME,0.341019,773,0.419935,0.25,5.23,-5.12,0.276843,0.164295,0.069858,0.294955,0.181113,0.151358,0.160414,0.056921,0.175938
vol_bucket,mid_high,long,3,WATCHLIST_REGIME,0.329375,2347,0.323413,0.3,4.36,-4.05,0.234768,0.131657,0.060929,0.228803,0.132936,0.118875,0.117171,0.050277,0.126971
h1_trend,down,long,12,WATCHLIST_REGIME,0.320109,2205,0.227138,0.9,8.88,-7.81,0.455329,0.30839,0.162358,0.411338,0.292517,0.253968,0.241723,0.11746,0.271655
year,2026,short,12,WATCHLIST_REGIME,0.311984,847,-0.057556,-1.35,32.15,-29.81,0.839433,0.729634,0.606848,0.794569,0.701299,0.5183,0.455726,0.400236,0.55608
session,asia,long,12,NO_CLEAR_FORWARD_EDGE,0.286217,2436,0.150747,1.38,10.51,-9.145,0.522578,0.350985,0.198276,0.469212,0.326355,0.29803,0.280788,0.157225,0.307061
session,london,short,6,NO_CLEAR_FORWARD_EDGE,0.274319,2094,0.366012,-0.21,8.24,-8.155,0.414995,0.266953,0.143744,0.429799,0.281757,0.235912,0.248329,0.117479,0.267431
vol_bucket,mid_low,long,3,NO_CLEAR_FORWARD_EDGE,0.268414,2296,0.30848,0.22,3.64,-3.72,0.189895,0.105836,0.048345,0.186847,0.108449,0.094948,0.101916,0.043118,0.106707
impulse_bucket,normal,long,3,NO_CLEAR_FORWARD_EDGE,0.265589,5603,0.283082,0.33,3.69,-3.44,0.200071,0.116723,0.055149,0.194717,0.117437,0.103694,0.106907,0.047653,0.112975
h1_trend,down,short,6,NO_CLEAR_FORWARD_EDGE,0.2641,2205,0.24868,-0.63,5.21,-5.82,0.302494,0.2,0.117007,0.310658,0.196825,0.168707,0.166893,0.089796,0.182313
year,2023,long,6,NO_CLEAR_FORWARD_EDGE,0.264068,1928,0.191452,-0.085,3.845,-3.685,0.142635,0.072095,0.020747,0.147822,0.061722,0.071577,0.061203,0.020747,0.061722
year,2026,short,6,NO_CLEAR_FORWARD_EDGE,0.253401,847,-0.087804,-1.46,22.78,-19.98,0.775679,0.637544,0.479339,0.714286,0.599764,0.492326,0.439197,0.35183,0.5183
session,london,short,3,NO_CLEAR_FORWARD_EDGE,0.245984,2094,0.135191,-0.32,4.705,-4.68,0.248329,0.142311,0.061127,0.241165,0.127507,0.13085,0.114613,0.053009,0.121777
compression_bucket,high,short,3,NO_CLEAR_FORWARD_EDGE,0.241664,1654,0.266451,-0.46,3.87,-4.215,0.230351,0.146917,0.081016,0.241838,0.151753,0.125151,0.128174,0.062273,0.136638
session,london_ny_overlap,long,3,NO_CLEAR_FORWARD_EDGE,0.209441,1397,0.118533,0.32,6.49,-6.41,0.355762,0.221188,0.094488,0.338583,0.213314,0.198282,0.18325,0.080172,0.204009
vol_bucket,high,long,12,NO_CLEAR_FORWARD_EDGE,0.203758,1629,-0.062664,1.44,9.56,-8.45,0.483732,0.345611,0.19337,0.439533,0.31062,0.294659,0.255371,0.145488,0.286679
h1_trend,down,short,3,NO_CLEAR_FORWARD_EDGE,0.201918,2200,0.177827,-0.325,3.465,-3.9,0.214545,0.132727,0.072727,0.210909,0.126364,0.114091,0.111818,0.06,0.120455
