probe_utc,session,year,h1_trend,h4_trend,vol_bucket,compression_bucket,impulse_bucket,macro_bucket,direction,horizon_hours,entry_price,mfe_usd,mae_usd,close_move_usd,hit_plus_10,hit_plus_15,hit_plus_24,hit_minus_10,hit_minus_15,first_hit_15_15,first_hit_24_15
2024-09-19T08:00:00+00:00,london,2024,neutral,up,high,high,normal,normal,short,12,2584.34,14.61,-10.59,-4.07,True,False,False,True,False,none,none
2024-09-19T11:00:00+00:00,london,2024,up,up,mid_high,high,normal,normal,long,3,2588.66,2.55,-18.93,-14.7,False,False,False,True,True,sl_first,sl_first
2024-09-19T11:00:00+00:00,london,2024,up,up,mid_high,high,normal,normal,short,3,2588.66,18.93,-2.55,14.7,True,True,False,False,False,tp_first,none
2024-09-19T11:00:00+00:00,london,2024,up,up,mid_high,high,normal,normal,long,6,2588.66,3.81,-18.93,3.07,False,False,False,True,True,sl_first,sl_first
2024-09-19T11:00:00+00:00,london,2024,up,up,mid_high,high,normal,normal,short,6,2588.66,18.93,-3.81,-3.07,True,True,False,False,False,tp_first,none
2024-09-19T11:00:00+00:00,london,2024,up,up,mid_high,high,normal,normal,long,12,2588.66,3.94,-18.93,-0.88,False,False,False,True,True,sl_first,sl_first
2024-09-19T11:00:00+00:00,london,2024,up,up,mid_high,high,normal,normal,short,12,2588.66,18.93,-3.94,0.88,True,True,False,False,False,tp_first,none
2024-09-19T14:00:00+00:00,london_ny_overlap,2024,neutral,up,high,high,expanded,normal,long,3,2573.98,18.49,-2.24,17.75,True,True,False,False,False,tp_first,none
2024-09-19T14:00:00+00:00,london_ny_overlap,2024,neutral,up,high,high,expanded,normal,short,3,2573.98,2.24,-18.49,-17.75,False,False,False,True,True,sl_first,sl_first
2024-09-19T14:00:00+00:00,london_ny_overlap,2024,neutral,up,high,high,expanded,normal,long,6,2573.98,18.62,-2.24,14.43,True,True,False,False,False,tp_first,none
2024-09-19T14:00:00+00:00,london_ny_overlap,2024,neutral,up,high,high,expanded,normal,short,6,2573.98,2.24,-18.62,-14.43,False,False,False,True,True,sl_first,sl_first
2024-09-19T14:00:00+00:00,london_ny_overlap,2024,neutral,up,high,high,expanded,normal,long,12,2573.98,18.62,-2.24,14.37,True,True,False,False,False,tp_first,none
2024-09-19T14:00:00+00:00,london_ny_overlap,2024,neutral,up,high,high,expanded,normal,short,12,2573.98,2.24,-18.62,-14.37,False,False,False,True,True,sl_first,sl_first
2024-09-19T17:00:00+00:00,new_york,2024,up,up,mid_high,high,normal,normal,long,3,2591.75,0.85,-5.83,-3.34,False,False,False,False,False,none,none
2024-09-19T17:00:00+00:00,new_york,2024,up,up,mid_high,high,normal,normal,short,3,2591.75,5.83,-0.85,3.34,False,False,False,False,False,none,none
2024-09-19T17:00:00+00:00,new_york,2024,up,up,mid_high,high,normal,normal,long,6,2591.75,0.85,-5.99,-3.97,False,False,False,False,False,none,none
2024-09-19T17:00:00+00:00,new_york,2024,up,up,mid_high,high,normal,normal,short,6,2591.75,5.99,-0.85,3.97,False,False,False,False,False,none,none
2024-09-19T17:00:00+00:00,new_york,2024,up,up,mid_high,high,normal,normal,long,12,2591.75,2.62,-6.84,2.05,False,False,False,False,False,none,none
2024-09-19T17:00:00+00:00,new_york,2024,up,up,mid_high,high,normal,normal,short,12,2591.75,6.84,-2.62,-2.05,False,False,False,False,False,none,none
2024-09-19T20:00:00+00:00,new_york,2024,up,up,low,mid_high,normal,normal,long,3,2588.36,1.37,-2.6,-0.58,False,False,False,False,False,none,none
2024-09-19T20:00:00+00:00,new_york,2024,up,up,low,mid_high,normal,normal,short,3,2588.36,2.6,-1.37,0.58,False,False,False,False,False,none,none
2024-09-19T20:00:00+00:00,new_york,2024,up,up,low,mid_high,normal,normal,long,6,2588.36,1.37,-3.45,-0.01,False,False,False,False,False,none,none
2024-09-19T20:00:00+00:00,new_york,2024,up,up,low,mid_high,normal,normal,short,6,2588.36,3.45,-1.37,0.01,False,False,False,False,False,none,none
2024-09-19T20:00:00+00:00,new_york,2024,up,up,low,mid_high,normal,normal,long,12,2588.36,21.37,-3.45,18.77,True,True,False,False,False,tp_first,none
2024-09-19T20:00:00+00:00,new_york,2024,up,up,low,mid_high,normal,normal,short,12,2588.36,3.45,-21.37,-18.77,False,False,False,True,True,sl_first,sl_first
2024-09-20T00:00:00+00:00,asia,2024,up,up,low,mid_high,normal,normal,long,3,2587.29,5.25,-2.38,4.24,False,False,False,False,False,none,none
