stage,decision_scope,promotion,candidate,family,side,horizon_hours,horizon_bars,lookback_hours,trigger_type,threshold,event_source,bar_index,entry_ts,exit_ts,entry_close,exit_close,final_bps,cost_stressed_final_bps,mfe_bps,mae_bps,touch_target_50bps,touch_target_100bps,touch_target_150bps,touch_stop_50bps,touch_stop_100bps,touch_stop_150bps,trigger_severity,hour_utc,session_utc,weekday,year,month,spread,spread_roll_median_24,spread_roll_median_120,spread_z240,atr24_bps,atr72_bps,ret1_bps,ret24_bps,ret72_bps,ret120_bps,source_stage39b_residual_bps,source_stage39b_event_clock_n,source_stage39b_median_mae_bps,source_stage39b_median_mfe_bps,spread_regime,prior_ret24_regime,prior_ret72_regime,atr24_bucket,trigger_severity_bucket
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,9439,2023-11-07 10:00:00+00:00,2023-11-10 10:00:00+00:00,1966.69,1954.9,-59.94844128967891,-67.94844128967891,21.66075995708505,-113.03255724084637,False,False,False,True,True,False,2.808525007903906,10,LONDON_07_12,Tuesday,2023,11,,,,,14.65683414793291,18.82692516633545,-13.304152215750653,-96.83169513374112,-101.06856858116409,-151.53108490447931,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_MID
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,10024,2023-12-11 16:00:00+00:00,2023-12-14 16:00:00+00:00,1986.76,2043.14,283.7786144275101,275.7786144275101,307.7372203990425,-69.40949082928971,True,True,True,True,False,False,2.7355687292341315,16,NY_13_19,Monday,2023,12,,,,,22.49348060433039,22.583307351668537,-35.159521910751444,-110.50493787830517,-214.30647155304516,-177.29479585883556,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_EXTREME_LE_-200BPS,ATR24_LOW,SEVERITY_MID
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,10384,2024-01-03 13:00:00+00:00,2024-01-08 12:00:00+00:00,2047.24,2027.38,-97.00865555577253,-105.00865555577253,81.47554756648078,-110.97868349582818,True,False,False,True,True,False,2.762040244310041,13,NY_13_19,Wednesday,2024,1,,,,,22.069243819585,20.419851658448817,-37.32523565508905,-106.6060986807138,-140.9101854081385,-70.61790668348111,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_MID
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,10535,2024-01-11 19:00:00+00:00,2024-01-16 19:00:00+00:00,2014.13,2025.08,54.36590488200777,46.36590488200777,238.61419074240553,-2.5817598665434094,True,True,True,False,False,False,2.6569644189216337,19,NY_13_19,Thursday,2024,1,,,,,22.146489973098607,20.774261999104155,-11.604437457536365,-48.912318493302685,-66.53120407176804,-141.89083362700083,12.93,80,-87.0,153.37,NA,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_LOW,SEVERITY_MID
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,10630,2024-01-17 18:00:00+00:00,2024-01-22 17:00:00+00:00,2005.27,2024.11,93.95243533289799,85.95243533289799,169.6529644387046,-18.351643419589614,True,True,True,False,False,False,2.556234278546877,18,NY_13_19,Wednesday,2024,1,,,,,26.43144549883686,20.76258212994594,-16.9266230889098,-137.61219722119745,-209.8376663005008,-107.44678226980109,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_EXTREME_LE_-200BPS,ATR24_MID,SEVERITY_LOW
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,10942,2024-02-05 15:00:00+00:00,2024-02-08 15:00:00+00:00,2015.65,2020.89,25.996576786644354,17.996576786644354,143.17961947758695,-4.9611787760772685,True,True,False,False,False,False,2.523695500981796,15,NY_13_19,Monday,2024,2,,,,,21.840726246866407,24.462445513166795,-33.67186495653818,-95.37802325238486,-175.08542238383274,-44.747148974421115,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_LOW
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,11064,2024-02-12 16:00:00+00:00,2024-02-15 16:00:00+00:00,2014.75,2003.7,-54.84551433180273,-62.84551433180273,74.8479960292836,-152.5251271869965,True,False,False,True,True,True,2.759619863867343,16,NY_13_19,Monday,2024,2,,,,,13.694232158149157,16.170290614757878,-20.60517804161721,-37.08740264556809,-115.82841107557029,-14.17518747428792,12.93,80,-87.0,153.37,NA,NEUTRAL_-75_75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_MID
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,12247,2024-04-22 14:00:00+00:00,2024-04-25 14:00:00+00:00,2341.91,2328.51,-57.21825347686171,-65.21825347686172,34.8006541668977,-216.1483575372236,False,False,False,True,True,True,3.346086198506602,14,NY_13_19,Monday,2024,4,,,,,34.837752059888096,35.85350501547864,-66.04509900402178,-166.03329904050003,-173.04827644084585,-64.10637160482402,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_HIGH,SEVERITY_HIGH
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,12393,2024-04-30 15:00:00+00:00,2024-05-03 15:00:00+00:00,2305.92,2304.61,-5.681029697474083,-13.681029697474083,96.83770469053555,-106.2482653344432,True,False,False,True,True,False,2.5732586627726644,15,NY_13_19,Tuesday,2024,4,,,,,23.908193502086732,26.718945199752802,-28.58341297194089,-110.43586785437043,-55.717513929378626,-100.24599981968585,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_LOW
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,12808,2024-05-23 19:00:00+00:00,2024-05-28 19:00:00+00:00,2340.76,2356.69,68.0548198021147,60.05481980211469,99.83936841025942,-66.17508843281716,True,False,False,True,False,False,2.5023368575990417,19,NY_13_19,Thursday,2024,5,,,,,35.44713468086129,31.018133523265924,-21.782963250306373,-213.39576887699607,-352.55327041173734,-170.20186537548886,12.93,80,-87.0,153.37,NA,DOWN_EXTREME_LE_-200BPS,DOWN_EXTREME_LE_-200BPS,ATR24_HIGH,SEVERITY_LOW
