classification,candidate,dimension_1,bucket_1,dimension_2,bucket_2,n,mean_final_bps,median_final_bps,cost_stressed_mean_bps,hit_rate_pct,median_mae_bps,median_mfe_bps,ex2025_mean_bps,leave_one_year_out_min_mean_bps,touch_stop_100bps_pct,mean_mae_bps,mean_mfe_bps,touch_stop_50bps_pct,touch_stop_150bps_pct,touch_target_50bps_pct,touch_target_100bps_pct,touch_target_150bps_pct,years_count,ex2025_n,leave_one_year_out_json
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,prior_ret24_regime,DOWN_MODERATE_-200_-75BPS,6,78.98677128906294,109.77243903966594,70.98677128906294,83.33333333333334,-36.74426885933502,182.1752326849546,-8.715043889272195,-8.715043889272195,16.666666666666664,-85.25299063884903,204.5481721513994,16.666666666666664,16.666666666666664,100.0,83.33333333333334,66.66666666666666,4,4,"{""2022"": 78.66141867511645, ""2024"": 65.85794006283591, ""2025"": -8.715043889272195, ""2026"": 159.9766410266592}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,prior_ret24_regime,DOWN_MODERATE_-200_-75BPS,7,78.25132904258665,182.5591562463136,70.25132904258665,57.14285714285714,-66.54846335697351,205.79505813513643,-1.654189978601778,-1.654189978601778,42.857142857142854,-116.05436283115897,207.2523522813863,57.14285714285714,28.57142857142857,85.71428571428571,85.71428571428571,57.14285714285714,4,5,"{""2022"": 142.67067300425458, ""2024"": 38.15585219289912, ""2025"": -1.654189978601778, ""2026"": 141.9885091021526}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,prior_ret24_regime,NEUTRAL_-75_75BPS,12,77.31961899827694,43.49343715515208,69.31961899827694,66.66666666666666,-52.25178487321291,184.8105314717585,27.465982200056075,27.465982200056075,25.0,-61.9682207383109,155.91434059330925,50.0,16.666666666666664,75.0,58.333333333333336,58.333333333333336,4,9,"{""2022"": 99.56784979690636, ""2023"": 96.86877783331701, ""2024"": 85.07596927798505, ""2025"": 27.465982200056075}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,atr24_bucket,ATR24_MID,5,71.65209650268612,86.12440191387627,63.65209650268612,60.0,-44.795034268718666,178.86977886977905,43.92533156677925,9.859073093179688,40.0,-77.97991278945781,194.04077689345735,40.0,20.0,100.0,100.0,60.0,4,4,"{""2022"": 195.83591610030058, ""2023"": 68.03402014988858, ""2024"": 9.859073093179688, ""2025"": 43.92533156677925}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,prior_ret24_regime,DOWN_MODERATE_-200_-75BPS,8,49.3240793720659,41.962479459375366,41.3240793720659,62.5,-92.26827973384921,136.50610001189833,49.3240793720659,20.47106032050975,25.0,-91.23794205380786,146.92435897630085,62.5,12.5,75.0,50.0,50.0,3,8,"{""2022"": 20.47106032050975, ""2023"": 116.13471301048588, ""2026"": 33.63667599800872}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,atr24_bucket,ATR24_HIGH,6,48.711506502212934,84.66904104728057,40.711506502212934,66.66666666666666,-104.85536819606622,186.804156368352,140.27795440823516,8.154651576626645,50.0,-124.62032797049791,174.5993189487601,83.33333333333334,16.666666666666664,100.0,66.66666666666666,50.0,4,3,"{""2022"": 35.88538017390208, ""2023"": 47.154619012496724, ""2025"": 140.27795440823516, ""2026"": 8.154651576626645}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,atr24_bucket,ATR24_MID,4,48.4534911503015,-7.340270754677135,40.4534911503015,50.0,-102.63206842413663,85.54950000976613,48.4534911503015,-36.20109206794749,50.0,-124.51522713399888,143.9582933273742,75.0,25.0,75.0,25.0,25.0,4,4,"{""2022"": -36.20109206794749, ""2023"": 95.91223309856474, ""2024"": 49.92376798963027, ""2026"": 84.17905558095849}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,spread_regime,NA,13,47.114439400189454,44.04266063231521,39.114439400189454,61.53846153846154,-94.32219342790593,133.03088227992532,74.10525364138908,3.8304198343945806,46.15384615384615,-110.16485072626307,161.2930864090411,69.23076923076923,15.384615384615385,84.61538461538461,53.84615384615385,46.15384615384615,5,10,"{""2022"": 3.8304198343945806, ""2023"": 75.82599214087548, ""2024"": 47.370420964178976, ""2025"": 74.10525364138908, ""2026"": 38.15592120127164}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,atr24_bucket,ATR24_LOW,3,42.134902862659786,27.4290149679568,34.134902862659786,66.66666666666666,-41.388294836839364,174.545622236697,42.134902862659786,-16.259713160861054,33.33333333333333,-62.12006102747895,157.79367877182557,33.33333333333333,0.0,66.66666666666666,66.66666666666666,66.66666666666666,2,3,"{""2022"": -16.259713160861054, ""2023"": 158.92413490970148}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,spread_regime,NA,12,31.143739852405492,109.77243903966594,23.143739852405492,66.66666666666666,-39.92115941501395,178.53291593885268,-13.505592506260019,-21.904866046466154,33.33333333333333,-247.91347184347615,208.25785322027704,41.66666666666667,25.0,75.0,66.66666666666666,58.333333333333336,5,10,"{""2022"": 32.370287544796426, ""2023"": 34.16209501760944, ""2024"": -21.904866046466154, ""2025"": -13.505592506260019, ""2026"": 122.8564939675695}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,atr24_bucket,ATR24_MID,15,28.825720942529106,12.336984738121615,20.825720942529106,53.333333333333336,-66.51640585099705,97.08912529834413,8.653421970840368,8.653421970840368,33.33333333333333,-94.2554137762889,146.96016205839572,60.0,26.666666666666668,93.33333333333333,46.666666666666664,40.0,4,11,"{""2022"": 56.940775046150954, ""2023"": 18.727199828791154, ""2024"": 31.899534298310115, ""2025"": 8.653421970840368}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,atr24_bucket,ATR24_LOW,21,23.149738624219495,4.876403911497906,15.149738624219491,52.38095238095239,-69.40949082928971,109.13462337475366,6.823717240110765,-8.112565549098981,42.857142857142854,-91.54940581610958,122.50405962082624,61.904761904761905,19.047619047619047,66.66666666666666,52.38095238095239,38.095238095238095,4,19,"{""2022"": 50.434231558662624, ""2023"": -8.112565549098981, ""2024"": 35.03994939415924, ""2025"": 6.823717240110765}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,prior_ret24_regime,DOWN_MODERATE_-200_-75BPS,27,1.7483048680710058,-5.681029697474083,-6.251695131928989,44.44444444444444,-103.50308907672189,96.83770469053555,3.56381222826547,-32.38626175502425,51.85185185185185,-121.07364547633098,124.40302620623021,70.37037037037037,33.33333333333333,74.07407407407408,48.148148148148145,29.629629629629626,5,23,"{""2022"": 22.75401711223035, ""2023"": -32.38626175502425, ""2024"": 11.414620206563974, ""2025"": 3.56381222826547, ""2026"": -1.5631529803338986}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,atr24_bucket,ATR24_LOW,2,-16.324849271365792,-16.324849271365792,-24.324849271365792,0.0,-92.39704923129699,33.941785944116006,-16.324849271365792,-30.59153157789374,50.0,-92.39704923129699,33.941785944116006,100.0,0.0,0.0,0.0,0.0,2,2,"{""2022"": -2.0581669648378487, ""2023"": -30.59153157789374}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,prior_ret24_regime,NEUTRAL_-75_75BPS,2,-16.324849271365792,-16.324849271365792,-24.324849271365792,0.0,-92.39704923129699,33.941785944116006,-16.324849271365792,-30.59153157789374,50.0,-92.39704923129699,33.941785944116006,100.0,0.0,0.0,0.0,0.0,2,2,"{""2022"": -2.0581669648378487, ""2023"": -30.59153157789374}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,4,-16.886512740695025,169.23746955878062,-24.886512740695025,75.0,-359.6605374232897,216.862223310601,-16.886512740695025,-203.01049504017064,50.0,-569.6624049565064,300.9804084616741,50.0,50.0,75.0,75.0,75.0,2,4,"{""2024"": -203.01049504017064, ""2026"": 169.23746955878062}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,prior_ret24_regime,NEUTRAL_-75_75BPS,2,-30.381517325414055,-30.381517325414055,-38.38151732541405,50.0,-119.66896203396527,63.628119108100066,44.04266063231521,-104.80569528314332,100.0,-119.66896203396527,63.628119108100066,100.0,0.0,100.0,0.0,0.0,2,1,"{""2024"": -104.80569528314332, ""2025"": 44.04266063231521}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,atr24_bucket,ATR24_HIGH,6,-35.07223727841771,167.4998048123999,-43.07223727841771,66.66666666666666,-197.65710448278406,216.862223310601,-78.70172567233968,-137.22709069701688,50.0,-445.6606381319322,260.43643465998264,50.0,50.0,83.33333333333334,66.66666666666666,66.66666666666666,3,5,"{""2024"": -137.22709069701688, ""2025"": -78.70172567233968, ""2026"": 173.85004793625112}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,atr24_bucket,ATR24_HIGH,11,-55.78252494937062,-47.28107325915998,-63.78252494937062,36.36363636363637,-171.55807652376564,69.55171220446755,-75.18713057216756,-75.18713057216756,72.72727272727273,-193.9510444818714,116.30387308794407,100.0,54.54545454545454,54.54545454545454,36.36363636363637,27.27272727272727,5,8,"{""2022"": -52.73363662965735, ""2023"": -56.63267011839169, ""2024"": -60.789760708068606, ""2025"": -75.18713057216756, ""2026"": -34.11911250624094}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,8,-83.76463857672142,-32.871988305328,-91.76463857672142,37.5,-130.01358565189526,84.24150727844525,-117.6367160644337,-117.6367160644337,62.5,-182.15289267031903,103.30956152409323,100.0,37.5,62.5,25.0,25.0,5,6,"{""2022"": -89.97879645496329, ""2023"": -88.9765764792302, ""2024"": -94.79335761828911, ""2025"": -117.6367160644337, ""2026"": -34.739882610622494}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LATE_20_23,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,2,411.87561270488175,411.87561270488175,403.87561270488175,100.0,-71.52455345776853,425.245273999868,411.87561270488175,128.5569523183505,50.0,-71.52455345776853,425.245273999868,50.0,0.0,100.0,100.0,50.0,2,2,"{""2022"": 695.1942730914129, ""2026"": 128.5569523183505}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LONDON_07_12,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,4,214.26810391824927,120.79228265613528,206.26810391824927,50.0,-225.41041117883356,263.69373012683496,305.96836372192496,31.52114334780354,75.0,-200.20043451991768,436.4935787261071,75.0,75.0,75.0,75.0,75.0,4,3,"{""2022"": 184.88505828931616, ""2023"": 334.6978503139523, ""2025"": 305.96836372192496, ""2026"": 31.52114334780354}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LATE_20_23,atr24_bucket,ATR24_HIGH,9,115.95071630069553,130.8970747826521,107.95071630069553,77.77777777777779,-88.5397637315799,158.62866885884674,110.49051049235665,92.40842590254927,44.44444444444444,-131.3731684683455,230.98290929234813,66.66666666666666,33.33333333333333,88.88888888888889,88.88888888888889,55.55555555555556,3,6,"{""2022"": 144.9532125071806, ""2025"": 110.49051049235665, ""2026"": 92.40842590254927}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LONDON_07_12,atr24_bucket,ATR24_HIGH,14,113.67690941408159,61.56462765784965,105.67690941408159,71.42857142857143,-81.2286503474019,144.08961577099922,163.90671314209698,63.638406029739485,42.857142857142854,-134.36928302924835,244.07748250856645,64.28571428571429,35.714285714285715,78.57142857142857,64.28571428571429,50.0,5,8,"{""2022"": 99.13540335890251, ""2023"": 147.65268560092647, ""2024"": 113.62984367522299, ""2025"": 163.90671314209698, ""2026"": 63.638406029739485}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,NY_13_19,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,12,105.9442146525567,70.04208323479145,97.9442146525567,66.66666666666666,-191.05376434418343,159.79633479442091,119.67467759995988,65.30310328682184,58.333333333333336,-203.07722986197413,239.24410228886583,91.66666666666666,58.333333333333336,75.0,75.0,50.0,3,7,"{""2024"": 124.78166854538884, ""2025"": 119.67467759995988, ""2026"": 65.30310328682184}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LATE_20_23,atr24_bucket,ATR24_MID,7,99.53550262398367,98.7572869579556,91.53550262398367,71.42857142857143,-42.265644731482865,122.36008692906309,72.79968827909137,72.79968827909137,28.57142857142857,-69.8331938703881,168.77701163696528,42.857142857142854,14.285714285714285,71.42857142857143,71.42857142857143,42.857142857142854,4,6,"{""2022"": 93.06162581181498, ""2023"": 127.79640498430967, ""2024"": 114.02391140916761, ""2025"": 72.79968827909137}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LONDON_07_12,atr24_bucket,ATR24_LOW,7,92.59459770682925,49.98685861355767,84.59459770682925,71.42857142857143,-65.47322741591644,146.14627547395065,85.77195993446863,31.200122959687548,0.0,-50.84675658590292,152.86535355926802,71.42857142857143,0.0,71.42857142857143,71.42857142857143,42.857142857142854,3,6,"{""2023"": 164.22302911251185, ""2024"": 31.200122959687548, ""2025"": 85.77195993446863}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LATE_20_23,prior_ret24_regime,DOWN_MODERATE_-200_-75BPS,16,88.51813547716019,102.35298983579888,80.51813547716019,75.0,-55.28221983770343,147.50640622467003,64.6438662657588,64.6438662657588,25.0,-80.10574429878423,179.74746678881576,50.0,18.75,93.75,87.5,50.0,5,12,"{""2022"": 103.6460806935326, ""2023"": 94.41467421517657, ""2024"": 95.13950797047734, ""2025"": 64.6438662657588, ""2026"": 85.15608535593542}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,ASIA_00_06,atr24_bucket,ATR24_HIGH,4,83.39304008775083,81.52116895303818,75.39304008775083,75.0,-64.74808118726139,157.97596412832183,83.39304008775083,-49.194058108529276,25.0,-81.24671770727399,180.94417694301757,50.0,25.0,75.0,75.0,50.0,3,4,"{""2022"": 154.03263267141548, ""2023"": -49.194058108529276, ""2024"": 101.14484630160625}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LONDON_07_12,prior_ret24_regime,NEUTRAL_-75_75BPS,6,70.20639331811888,18.812443791670354,62.20639331811888,50.0,-67.74658159241109,166.28799535713944,70.20639331811888,-34.04111073344706,16.666666666666664,-55.230661999201196,163.7162749039415,66.66666666666666,0.0,83.33333333333334,66.66666666666666,50.0,2,6,"{""2023"": 174.45389736968482, ""2024"": -34.04111073344706}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,ASIA_00_06,atr24_bucket,ATR24_LOW,6,68.03952579859663,108.48043115387118,60.03952579859663,66.66666666666666,-69.97639522523636,130.1681941847366,68.03952579859663,-55.34813842615449,16.666666666666664,-93.75521063998599,158.044379082987,66.66666666666666,16.666666666666664,66.66666666666666,66.66666666666666,33.33333333333333,3,6,"{""2022"": 52.58326881430619, ""2023"": 179.90059519752302, ""2024"": -55.34813842615449}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,NY_13_19,atr24_bucket,ATR24_MID,27,63.15124970862326,67.36761928288759,55.15124970862326,77.77777777777779,-54.76645250911627,131.79684817033578,33.40947572306026,33.40947572306026,25.925925925925924,-81.0495773798492,152.00481087483107,59.25925925925925,7.4074074074074066,88.88888888888889,74.07407407407408,44.44444444444444,4,21,"{""2022"": 64.52103123360135, ""2023"": 62.31272021192452, ""2024"": 95.39243031947893, ""2025"": 33.40947572306026}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,NY_13_19,prior_ret24_regime,NEUTRAL_-75_75BPS,23,57.46192190952201,37.25357721153122,49.461921909522005,69.56521739130434,-54.86859506700692,104.12435642694895,32.85369427321943,32.85369427321943,17.391304347826086,-66.31157083661601,128.47210182464937,60.86956521739131,8.695652173913043,86.95652173913044,56.52173913043478,30.434782608695656,4,20,"{""2022"": 54.14828517749058, ""2023"": 84.23946126279739, ""2024"": 66.09917407843113, ""2025"": 32.85369427321943}"
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LATE_20_23,spread_regime,NA,29,49.73973247400641,27.16533239222052,41.73973247400641,62.06896551724138,-88.66245754412417,120.25091360799101,32.075538772029155,32.075538772029155,48.275862068965516,-111.72172928016171,149.81812860095104,68.96551724137932,27.586206896551722,75.86206896551724,58.620689655172406,34.48275862068966,5,25,"{""2022"": 54.52181494169738, ""2023"": 76.53239129090596, ""2024"": 54.8885137540923, ""2025"": 32.075538772029155, ""2026"": 36.66716732520085}"
