classification,candidate,dimension,bucket,n,bucket_share_pct,mean_final_bps,median_final_bps,cost_stressed_mean_bps,hit_rate_pct,median_mae_bps,median_mfe_bps,ex2025_mean_bps,leave_one_year_out_min_mean_bps,touch_stop_100bps_pct,touch_target_100bps_pct,mean_mae_bps,mean_mfe_bps,touch_stop_50bps_pct,touch_stop_150bps_pct,touch_target_50bps_pct,touch_target_150bps_pct,years_count,ex2025_n,leave_one_year_out_json,mean_after_cost_plus_slip_0bps,mean_after_cost_plus_slip_4bps,mean_after_cost_plus_slip_8bps,mean_after_cost_plus_slip_12bps,mean_after_cost_plus_slip_16bps
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,12,2,2.4390243902439024,104.24725305528014,104.24725305528014,96.24725305528014,50.0,-62.02598658423986,235.53785259978088,104.24725305528014,-93.9227346944882,0.0,50.0,-62.02598658423986,235.53785259978088,50.0,0.0,100.0,50.0,2,2,"{""2022"": -93.9227346944882, ""2023"": 302.4172408050485}",96.24725305528014,92.24725305528014,88.24725305528014,84.24725305528014,80.24725305528014
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,19,6,7.317073170731707,86.34320667212926,61.21036234206123,78.34320667212924,66.66666666666666,-43.326523021203215,167.6359435679775,8.286581389650994,8.286581389650994,16.666666666666664,66.66666666666666,-50.73828122691433,176.10089404651288,50.0,0.0,83.33333333333334,50.0,3,4,"{""2022"": 120.86612963585576, ""2024"": 132.88050210922276, ""2025"": 8.286581389650994}",78.34320667212924,74.34320667212924,70.34320667212924,66.34320667212924,62.34320667212924
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,15,7,8.536585365853659,61.28707160783223,26.218212606932134,53.28707160783223,71.42857142857143,-66.51640585099705,143.17961947758695,34.629577417864546,34.629577417864546,28.57142857142857,57.14285714285714,-69.27902433125783,139.88039341437505,71.42857142857143,0.0,85.71428571428571,42.857142857142854,4,6,"{""2022"": 67.13188144131557, ""2023"": 66.9414491109352, ""2024"": 81.73879083313106, ""2025"": 34.629577417864546}",53.28707160783223,49.28707160783223,45.28707160783223,41.28707160783223,37.28707160783223
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,4,3,3.6585365853658534,58.301201681388854,86.12440191387627,50.301201681388854,66.66666666666666,-66.54846335697351,178.86977886977905,58.301201681388854,44.389601565145156,33.33333333333333,100.0,-76.50879022736164,194.45736442818293,66.66666666666666,0.0,100.0,66.66666666666666,2,3,"{""2022"": 86.12440191387627, ""2023"": 44.389601565145156}",50.301201681388854,46.301201681388854,42.30120168138886,38.30120168138886,34.30120168138886
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,17,12,14.634146341463413,4.90400228141461,-17.748830116320335,-3.0959977185853886,41.66666666666667,-81.05908656235451,91.78893669657074,5.964740684012284,-16.970695066022742,41.66666666666667,41.66666666666667,-111.3039725358639,128.39192967888232,58.333333333333336,33.33333333333333,91.66666666666666,33.33333333333333,5,8,"{""2022"": 18.909235726096703, ""2023"": -16.970695066022742, ""2024"": 6.562849615587396, ""2025"": 5.964740684012284, ""2026"": 7.78996238301516}",-3.0959977185853886,-7.09599771858539,-11.095997718585389,-15.095997718585394,-19.095997718585394
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,21,4,4.878048780487805,-1.5035489880069264,68.43658837784928,-9.503548988006926,50.0,-44.75570141189212,102.52354502565231,-63.029800214406585,-63.029800214406585,25.0,50.0,-121.20640294733809,138.2035754906702,50.0,25.0,75.0,25.0,4,3,"{""2023"": -1.318676329063275, ""2024"": -48.315179890854694, ""2025"": -63.029800214406585, ""2026"": 106.64946048229687}",-9.503548988006926,-13.503548988006926,-17.503548988006926,-21.503548988006926,-25.50354898800692
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,14,4,4.878048780487805,-18.031141961392105,-23.763641898501554,-26.03114196139211,25.0,-138.85455056882546,72.86432979619728,-18.031141961392105,-34.91517909128827,75.0,50.0,-139.05603795716343,105.3465323968733,100.0,50.0,50.0,25.0,3,4,"{""2022"": -12.298642024282657, ""2023"": -34.91517909128827, ""2024"": -4.96877145623557}",-26.03114196139211,-30.03114196139211,-34.03114196139211,-38.03114196139211,-42.03114196139211
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,16,10,12.195121951219512,-22.51539107040712,-13.11071265416297,-30.515391070407123,50.0,-99.80792447240594,58.231732525141354,-19.704443673944883,-201.50318810947118,50.0,40.0,-167.2978066548646,99.1870250107265,70.0,40.0,50.0,30.0,5,9,"{""2022"": 5.695719936003286, ""2023"": -201.50318810947118, ""2024"": -18.923155152474276, ""2025"": -19.704443673944883, ""2026"": 22.420446626149186}",-30.515391070407123,-34.51539107040712,-38.51539107040712,-42.51539107040712,-46.51539107040712
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,10,5,6.097560975609756,-25.049968059150274,27.4290149679568,-33.04996805915028,60.0,-110.94194342036734,133.03088227992532,31.091343113590078,-59.522994609879646,60.0,60.0,-114.86585310053044,149.01522980958327,60.0,20.0,80.0,40.0,4,4,"{""2022"": -59.522994609879646, ""2023"": -30.91013799134309, ""2024"": -42.32312523201665, ""2025"": 31.091343113590078}",-33.04996805915028,-37.04996805915028,-41.04996805915028,-45.04996805915028,-49.04996805915028
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,13,6,7.317073170731707,-41.18690846366197,-68.61567277810786,-49.18690846366197,33.33333333333333,-143.02235298086163,84.30651625302765,-51.84832828666263,-72.04921311288558,83.33333333333334,33.33333333333333,-138.9173556954689,148.08975534606657,100.0,50.0,66.66666666666666,33.33333333333333,4,5,"{""2022"": -27.472526306439036, ""2024"": -2.996635030604594, ""2025"": -51.84832828666263, ""2026"": -72.04921311288558}",-49.18690846366197,-53.18690846366197,-57.18690846366197,-61.18690846366197,-65.18690846366196
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,18,2,2.4390243902439024,-78.29714426474789,-78.29714426474789,-86.29714426474786,50.0,-141.04666871122495,89.032050391612,-78.29714426474789,-250.54672386239375,50.0,50.0,-141.04666871122495,89.032050391612,50.0,50.0,50.0,50.0,2,2,"{""2023"": 93.95243533289799, ""2024"": -250.54672386239375}",-86.29714426474786,-90.29714426474786,-94.29714426474786,-98.29714426474786,-102.29714426474786
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,8,2,2.4390243902439024,-81.7644487124064,-81.7644487124064,-89.76444871240639,0.0,-195.73148629735581,43.37443093063497,-58.72320214166948,-104.80569528314332,100.0,0.0,-195.73148629735581,43.37443093063497,100.0,50.0,50.0,0.0,2,1,"{""2025"": -58.72320214166948, ""2026"": -104.80569528314332}",-89.76444871240639,-93.76444871240639,-97.76444871240639,-101.76444871240639,-105.7644487124064
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,20,3,3.6585365853658534,-241.05954462994532,-30.59153157789374,-249.05954462994532,33.33333333333333,-130.5429282099657,29.36503520713174,-241.05954462994532,-454.86458403689477,66.66666666666666,33.33333333333333,-563.9257898100935,83.84975970842682,66.66666666666666,33.33333333333333,33.33333333333333,33.33333333333333,3,3,"{""2022"": -346.29355115597116, ""2024"": -454.86458403689477, ""2026"": 77.97950130302989}",-249.05954462994532,-253.05954462994532,-257.0595446299453,-261.0595446299453,-265.0595446299453
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,prior_ret24_regime,NEUTRAL_-75_75BPS,17,20.73170731707317,54.149829217625864,32.6209694282964,46.149829217625864,58.82352941176471,-62.36669315377918,74.8479960292836,26.516246446458812,26.516246446458812,35.294117647058826,47.05882352941176,-71.32621797993966,132.05774565258366,58.82352941176471,11.76470588235294,70.58823529411765,47.05882352941176,4,13,"{""2022"": 72.78440701909099, ""2023"": 62.14505967616492, ""2024"": 54.95021012229745, ""2025"": 26.516246446458812}",46.149829217625864,42.149829217625864,38.14982921762587,34.14982921762587,30.14982921762587
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,prior_ret24_regime,DOWN_EXTREME_LE_-200BPS,17,20.73170731707317,27.715575195347217,23.58299712148959,19.715575195347213,58.82352941176471,-117.70690033871657,182.72198652069972,15.769250644361852,15.769250644361852,58.82352941176471,58.82352941176471,-258.3480538139766,229.63047744566035,82.35294117647058,35.294117647058826,76.47058823529412,52.94117647058824,5,12,"{""2022"": 21.356561957131863, ""2023"": 32.402865723753926, ""2024"": 18.00360016210603, ""2025"": 15.769250644361852, ""2026"": 49.534121881844754}",19.715575195347213,15.715575195347215,11.715575195347215,7.715575195347215,3.715575195347215
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,prior_ret72_regime,NEUTRAL_-75_75BPS,11,13.414634146341465,64.46001299312124,32.6209694282964,56.46001299312124,63.63636363636363,-62.36669315377918,138.7910783038704,54.82949330824759,27.57601880370708,45.45454545454545,54.54545454545454,-64.43002644634346,150.8180106077858,54.54545454545454,9.090909090909092,72.72727272727273,45.45454545454545,4,10,"{""2022"": 86.32257921267488, ""2023"": 73.78913208421285, ""2024"": 27.57601880370708, ""2025"": 54.82949330824759}",56.46001299312124,52.46001299312124,48.460012993121246,44.460012993121246,40.460012993121246
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,prior_ret72_regime,DOWN_EXTREME_LE_-200BPS,27,32.926829268292686,36.84251506439141,68.0548198021147,28.842515064391407,59.25925925925925,-93.81559334408207,169.6529644387046,-6.756880358205213,-6.756880358205213,48.148148148148145,66.66666666666666,-212.06365445160685,216.0158733559356,74.07407407407408,33.33333333333333,81.48148148148148,55.55555555555556,5,18,"{""2022"": 50.057141122133174, ""2023"": 29.68268486123527, ""2024"": 31.715963660044068, ""2025"": -6.756880358205213, ""2026"": 77.30826302326149}",28.842515064391407,24.842515064391403,20.842515064391403,16.842515064391403,12.842515064391401
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,ASIA_00_06,10,12.195121951219512,156.40535312326733,194.44151665743647,148.40535312326733,70.0,-61.139057001249334,242.14102788553515,105.4333666139348,105.4333666139348,40.0,90.0,-105.03181287928298,270.87972220853396,60.0,20.0,90.0,70.0,5,7,"{""2022"": 226.71098856451212, ""2023"": 164.21434770208853, ""2024"": 138.35881567688457, ""2025"": 105.4333666139348, ""2026"": 151.00564603385075}",148.40535312326733,144.40535312326733,140.40535312326733,136.40535312326733,132.40535312326728
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LONDON_07_12,13,15.853658536585366,47.114439400189454,44.04266063231521,39.114439400189454,61.53846153846154,-94.32219342790593,133.03088227992532,74.10525364138908,3.8304198343945806,46.15384615384615,53.84615384615385,-110.16485072626307,161.2930864090411,69.23076923076923,15.384615384615385,84.61538461538461,46.15384615384615,5,10,"{""2022"": 3.8304198343945806, ""2023"": 75.82599214087548, ""2024"": 47.370420964178976, ""2025"": 74.10525364138908, ""2026"": 38.15592120127164}",39.114439400189454,35.114439400189454,31.114439400189458,27.114439400189458,23.114439400189458
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,LATE_20_23,12,14.634146341463413,31.143739852405492,109.77243903966594,23.143739852405492,66.66666666666666,-39.92115941501395,178.53291593885268,-13.505592506260019,-21.904866046466154,33.33333333333333,66.66666666666666,-247.91347184347615,208.25785322027704,41.66666666666667,25.0,75.0,58.333333333333336,5,10,"{""2022"": 32.370287544796426, ""2023"": 34.16209501760944, ""2024"": -21.904866046466154, ""2025"": -13.505592506260019, ""2026"": 122.8564939675695}",23.143739852405492,19.143739852405513,15.143739852405512,11.143739852405512,7.1437398524055125
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,trigger_severity_bucket,SEVERITY_MID,27,32.926829268292686,105.44590387825585,138.9313437205364,97.44590387825585,70.37037037037037,-59.99269385717931,178.86977886977905,73.10715186824748,73.10715186824748,29.629629629629626,62.96296296296296,-75.7475101234283,173.50067363069508,51.85185185185185,11.11111111111111,81.48148148148148,59.25925925925925,5,21,"{""2022"": 107.52041116431599, ""2023"": 117.33685948273367, ""2024"": 126.24036074194184, ""2025"": 73.10715186824748, ""2026"": 106.17067302897732}",97.44590387825585,93.44590387825585,89.44590387825585,85.44590387825585,81.44590387825585
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,trigger_severity_bucket,SEVERITY_LOW,28,34.146341463414636,24.790961798401494,17.85159388641544,16.790961798401494,57.14285714285714,-79.99534088844962,131.67639039046497,-0.4149728949109935,-0.4149728949109935,42.857142857142854,57.14285714285714,-168.3586534082485,184.62207896393676,67.85714285714286,21.428571428571427,75.0,39.285714285714285,5,23,"{""2022"": 22.193982000409175, ""2023"": 33.860373353427214, ""2024"": 36.919976443270286, ""2025"": -0.4149728949109935, ""2026"": 31.91459931490938}",16.790961798401494,12.790961798401494,8.790961798401492,4.790961798401491,0.790961798401485
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,trigger_severity_bucket,SEVERITY_HIGH,27,32.926829268292686,-25.40732083706216,-26.84155883619144,-33.40732083706216,40.74074074074074,-137.41290406047324,97.08912529834413,-26.587352873209632,-46.259788049657544,59.25925925925925,48.148148148148145,-154.37140739539484,129.8924248854768,74.07407407407408,44.44444444444444,74.07407407407408,37.03703703703704,5,21,"{""2022"": -13.089779561297146, ""2023"": -37.406879919817314, ""2024"": -46.259788049657544, ""2025"": -26.587352873209632, ""2026"": -1.79004508229217}",-33.40732083706216,-37.40732083706216,-41.40732083706216,-45.40732083706216,-49.40732083706216
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,weekday,Sunday,1,1.2195121951219512,473.1166464155545,473.1166464155545,465.1166464155545,100.0,-711.3836573511534,740.8321520183625,473.1166464155545,,100.0,100.0,-711.3836573511534,740.8321520183625,100.0,100.0,100.0,100.0,1,1,{},465.1166464155545,461.1166464155545,457.1166464155545,453.1166464155545,449.1166464155545
