events,total,avg,median,wr,pf,dd,pos_years,years,months,year,variant,behavior,horizon_bars,cooldown_bars
52,46.72,0.898462,-0.24,0.480769,1.415806,-30.54,1,1,12,2023,pdh_sweep_reject_short_loose_h8_cool0,pdh_sweep_reject_short_loose,8,0
79,44.78,0.566835,-0.55,0.43038,1.216485,-82.96,1,1,12,2024,pdh_sweep_reject_short_loose_h8_cool0,pdh_sweep_reject_short_loose,8,0
66,-256.05,-3.879545,-2.48,0.333333,0.359667,-272.49,0,1,12,2025,pdh_sweep_reject_short_loose_h8_cool0,pdh_sweep_reject_short_loose,8,0
32,-0.69,-0.021563,0.765,0.53125,0.996093,-99.73,0,1,6,2026,pdh_sweep_reject_short_loose_h8_cool0,pdh_sweep_reject_short_loose,8,0
39,16.0,0.410256,0.77,0.538462,1.188746,-19.3,1,1,8,2022,pdh_sweep_reject_short_loose_h8_cool4,pdh_sweep_reject_short_loose,8,4
50,43.74,0.8748,-0.24,0.48,1.391935,-30.54,1,1,12,2023,pdh_sweep_reject_short_loose_h8_cool4,pdh_sweep_reject_short_loose,8,4
69,7.7,0.111594,-0.55,0.42029,1.041714,-68.81,1,1,12,2024,pdh_sweep_reject_short_loose_h8_cool4,pdh_sweep_reject_short_loose,8,4
60,-231.49,-3.858167,-2.37,0.333333,0.373928,-252.16,0,1,12,2025,pdh_sweep_reject_short_loose_h8_cool4,pdh_sweep_reject_short_loose,8,4
27,66.17,2.450741,1.05,0.555556,1.436391,-85.87,1,1,6,2026,pdh_sweep_reject_short_loose_h8_cool4,pdh_sweep_reject_short_loose,8,4
35,3.39,0.096857,0.42,0.514286,1.034595,-26.63,1,1,8,2022,pdh_sweep_reject_short_loose_h16_cool0,pdh_sweep_reject_short_loose,16,0
49,119.26,2.433878,1.98,0.571429,1.965277,-40.36,1,1,12,2023,pdh_sweep_reject_short_loose_h16_cool0,pdh_sweep_reject_short_loose,16,0
63,41.99,0.666508,0.03,0.52381,1.178105,-97.27,1,1,12,2024,pdh_sweep_reject_short_loose_h16_cool0,pdh_sweep_reject_short_loose,16,0
53,-199.33,-3.760943,-2.33,0.415094,0.520369,-209.35,0,1,12,2025,pdh_sweep_reject_short_loose_h16_cool0,pdh_sweep_reject_short_loose,16,0
25,93.93,3.7572,1.16,0.52,1.573163,-81.34,1,1,6,2026,pdh_sweep_reject_short_loose_h16_cool0,pdh_sweep_reject_short_loose,16,0
