behavior,side,horizon_bars,horizon_minutes,cooldown_bars,decision,score,reasons,events,freq_per_month,total_x1,avg_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,train80_events,train80_total,train80_pf,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,variant
asia_high_breakout_long,LONG,8,120,4,REJECT,5.693469,Failed strict promotion/watchlist checks.,1088,22.204082,-81.19,-0.074623,-0.485,0.457721,0.975137,-388.94,-461.99,0.867135,-1223.59,0.688572,870,-251.52,0.891824,218,170.33,-0.71,1.181129,327,248.96,1.205059,25,214.76,2.6,3.184518,2,5,asia_high_breakout_long_h8_cool4
pdl_breakdown_continuation_short,SHORT,16,240,0,REJECT,5.687024,Failed strict promotion/watchlist checks.,894,17.88,352.11,0.393859,-0.65,0.473154,1.069,-537.98,39.21,1.007439,-586.59,0.895646,715,-204.28,0.925005,179,556.39,-1.52,1.233862,269,529.75,1.178349,97,463.36,-0.36,1.281803,3,5,pdl_breakdown_continuation_short_h16_cool0
compressed_range_down_break_short,SHORT,32,480,0,REJECT,5.46023,Failed strict promotion/watchlist checks.,136,3.022222,59.89,0.440368,-2.58,0.455882,1.038638,-227.77,12.29,1.007799,-82.91,0.94912,108,-75.58,0.905785,28,135.47,-9.15,1.181158,41,190.27,1.207076,29,106.84,-9.83,1.137604,3,5,compressed_range_down_break_short_h32_cool0
compressed_range_down_break_short,SHORT,32,480,4,REJECT,5.46023,Failed strict promotion/watchlist checks.,136,3.022222,59.89,0.440368,-2.58,0.455882,1.038638,-227.77,12.29,1.007799,-82.91,0.94912,108,-75.58,0.905785,28,135.47,-9.15,1.181158,41,190.27,1.207076,29,106.84,-9.83,1.137604,3,5,compressed_range_down_break_short_h32_cool4
pdl_sweep_reclaim_long_loose,LONG,8,120,4,REJECT,5.134453,Failed strict promotion/watchlist checks.,236,4.816327,30.66,0.129915,-0.175,0.495763,1.037013,-105.46,-51.94,0.940413,-217.14,0.774224,188,-33.34,0.939096,48,64.0,0.18,1.227807,71,88.84,1.263714,20,31.12,4.415,1.19927,2,5,pdl_sweep_reclaim_long_loose_h8_cool4
asia_high_breakout_long,LONG,16,240,4,REJECT,5.063946,Failed strict promotion/watchlist checks.,790,16.122449,-1.92,-0.00243,-0.305,0.48481,0.999386,-341.06,-278.42,0.914972,-831.42,0.7679,632,-131.91,0.942218,158,129.99,-0.26,1.153594,237,228.86,1.207756,18,158.46,6.76,3.989247,2,5,asia_high_breakout_long_h16_cool4
pdh_sweep_reject_short_loose,SHORT,16,240,4,REJECT,4.95529,Failed strict promotion/watchlist checks.,219,4.38,49.86,0.227671,-0.04,0.497717,1.049928,-345.39,-26.79,0.974194,-180.09,0.839138,175,20.06,1.029684,44,29.8,-2.825,1.092303,66,-36.33,0.922149,24,153.74,3.75,2.42616,3,5,pdh_sweep_reject_short_loose_h16_cool4
pdh_sweep_reject_short_loose,SHORT,32,480,0,REJECT,4.87768,Failed strict promotion/watchlist checks.,193,3.86,143.2,0.741969,1.47,0.53886,1.111396,-390.36,75.65,1.057456,-59.45,0.95693,154,307.89,1.425262,39,-164.69,-0.48,0.706696,58,-158.81,0.786256,20,53.61,9.98,1.229829,4,5,pdh_sweep_reject_short_loose_h32_cool0
pdl_breakdown_continuation_short,SHORT,8,120,4,REJECT,4.771653,Failed strict promotion/watchlist checks.,1121,22.42,82.73,0.0738,-0.65,0.452275,1.016779,-569.3,-309.62,0.939883,-1094.32,0.805144,896,-415.26,0.835657,225,497.99,-0.35,1.207158,337,392.2,1.132182,122,328.43,-0.905,1.180429,2,5,pdl_breakdown_continuation_short_h8_cool4
pdl_sweep_reclaim_long_loose,LONG,8,120,0,REJECT,4.589296,Failed strict promotion/watchlist checks.,255,5.204082,-0.05,-0.000196,-0.25,0.482353,0.999944,-105.46,-89.3,0.905654,-267.8,0.744036,204,-41.47,0.930259,51,41.42,-0.19,1.136232,77,44.35,1.115387,21,18.58,4.03,1.11013,2,5,pdl_sweep_reclaim_long_loose_h8_cool0
pdl_sweep_reclaim_long_controlled,LONG,16,240,0,REJECT,4.506387,Failed strict promotion/watchlist checks.,135,2.934783,-59.51,-0.440815,0.28,0.511111,0.919123,-223.65,-106.76,0.859373,-201.26,0.750959,108,-152.42,0.713878,27,92.91,3.67,1.457459,41,78.31,1.270847,12,32.53,4.14,1.236582,2,5,pdl_sweep_reclaim_long_controlled_h16_cool0
pdl_sweep_reclaim_long_controlled,LONG,16,240,4,REJECT,4.479585,Failed strict promotion/watchlist checks.,134,2.913043,-61.61,-0.459776,0.32,0.514925,0.916507,-225.75,-108.51,0.857396,-202.31,0.749985,107,-150.4,0.716595,27,88.79,3.67,1.428482,41,74.19,1.252992,12,32.53,4.14,1.236582,2,5,pdl_sweep_reclaim_long_controlled_h16_cool4
pdh_sweep_reject_short_loose,SHORT,16,240,0,REJECT,3.782477,Failed strict promotion/watchlist checks.,225,4.5,59.24,0.263289,0.03,0.506667,1.057139,-318.56,-19.51,0.981878,-177.01,0.847235,180,83.04,1.125478,45,-23.8,-2.11,0.93653,68,-78.67,0.848359,25,93.93,1.16,1.573163,4,5,pdh_sweep_reject_short_loose_h16_cool0
