variant_a,variant_b,events_a,events_b,overlap_count,jaccard,overlap_min_share
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,103,148,86,0.521212,0.834951
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,141,143,117,0.700599,0.829787
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,103,143,84,0.518519,0.815534
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,105,143,85,0.521472,0.809524
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,110,148,89,0.526627,0.809091
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,110,143,85,0.505952,0.772727
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,436,133,4,0.00708,0.030075
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,436,133,4,0.00708,0.030075
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,436,103,3,0.005597,0.029126
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool4,436,103,3,0.005597,0.029126
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,436,105,3,0.005576,0.028571
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,436,105,3,0.005576,0.028571
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool0,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,436,141,4,0.006981,0.028369
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,436,141,4,0.006981,0.028369
