variant,family,side,trend_dist,pullback,slope_min,sma50_dist,horizon_bars,horizon_minutes,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,hour,ema20_m15,sma20_slope5,h1_close_minus_sma20,h1_close_minus_sma50
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-09-23 16:30:00+00:00,2022-09-23 16:45:00+00:00,2022-09-23 19:45:00+00:00,1652.34,m15_exact_open,1645.96,6.38,6.03,5.68,4.98,10.95,-3.46,16,1653.0279102123457,-5.552000000000135,-17.958499999999958,-19.097800000000007
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-09-28 12:00:00+00:00,2022-09-28 12:15:00+00:00,2022-09-28 15:15:00+00:00,1619.68,m15_exact_open,1629.86,-10.18,-10.53,-10.88,-11.58,3.96,11.74,12,1621.572199275862,-3.4149999999999636,-7.601999999999862,-12.119599999999764
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-10-10 12:15:00+00:00,2022-10-10 12:30:00+00:00,2022-10-10 15:30:00+00:00,1683.84,m15_exact_open,1676.85,6.99,6.64,6.29,5.59,9.9,-2.4,12,1685.0483769741,-5.903499999999667,-13.257000000000062,-24.206800000000158
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-10-10 16:15:00+00:00,2022-10-10 16:30:00+00:00,2022-10-10 19:30:00+00:00,1675.16,m15_exact_open,1667.43,7.73,7.38,7.03,6.33,9.67,3.22,16,1679.0568529267005,-5.3449999999998,-11.143000000000029,-23.394799999999805
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-10-14 15:00:00+00:00,2022-10-14 15:15:00+00:00,2022-10-14 18:15:00+00:00,1654.96,m15_exact_open,1646.12,8.84,8.49,8.14,7.44,9.91,8.82,15,1658.7736284153907,-0.158500000000231,-9.375499999999874,-12.415999999999713
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-10-19 12:00:00+00:00,2022-10-19 12:15:00+00:00,2022-10-19 15:15:00+00:00,1640.79,m15_exact_open,1634.41,6.38,6.03,5.68,4.98,9.14,1.22,12,1643.5242546681015,-2.223500000000058,-8.491500000000087,-11.727999999999838
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-10-19 16:00:00+00:00,2022-10-19 16:15:00+00:00,2022-10-19 19:15:00+00:00,1635.0,m15_exact_open,1628.93,6.07,5.72,5.37,4.67,6.36,2.52,16,1636.6317083760323,-3.752500000000282,-11.230499999999893,-15.865600000000313
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-10-28 14:30:00+00:00,2022-10-28 14:45:00+00:00,2022-10-28 17:45:00+00:00,1650.75,m15_exact_open,1642.29,8.46,8.11,7.76,7.06,10.8,2.03,14,1651.378019305786,-2.214499999999589,-10.6550000000002,-13.86200000000008
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-11-03 14:30:00+00:00,2022-11-03 14:45:00+00:00,2022-11-03 17:45:00+00:00,1620.48,m15_exact_open,1627.47,-6.99,-7.34,-7.69,-8.39,3.44,10.82,14,1623.4668399462955,-6.94849999999974,-15.150000000000091,-24.072400000000016
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-11-17 13:15:00+00:00,2022-11-17 13:30:00+00:00,2022-11-17 16:30:00+00:00,1761.69,m15_exact_open,1759.62,2.07,1.72,1.37,0.67,7.4,5.73,13,1765.0921673323678,-3.489999999999327,-7.603000000000293,-11.679599999999937
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-11-21 12:15:00+00:00,2022-11-21 12:30:00+00:00,2022-11-21 15:30:00+00:00,1741.17,m15_exact_open,1745.62,-4.45,-4.8,-5.15,-5.85,2.19,5.58,12,1742.2681187643166,-4.062999999999647,-9.477500000000191,-17.51740000000018
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2022-12-15 13:30:00+00:00,2022-12-15 13:45:00+00:00,2022-12-15 16:45:00+00:00,1779.07,m15_exact_open,1784.44,-5.37,-5.72,-6.07,-6.77,5.4,6.86,13,1781.8534185481176,-6.163000000000011,-19.894000000000005,-25.3134
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-02-15 12:15:00+00:00,2023-02-15 12:30:00+00:00,2023-02-15 15:30:00+00:00,1837.16,m15_exact_open,1834.68,2.48,2.13,1.78,1.08,5.42,-0.18,12,1839.2090370269839,-5.691000000000031,-14.525999999999613,-19.386999999999944
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-02-15 16:15:00+00:00,2023-02-15 16:30:00+00:00,2023-02-15 19:30:00+00:00,1835.13,m15_exact_open,1833.23,1.9,1.55,1.2,0.5,4.67,3.47,16,1836.1375593360074,-4.871499999999742,-10.326500000000124,-16.654999999999973
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-02-17 13:00:00+00:00,2023-02-17 13:15:00+00:00,2023-02-17 16:15:00+00:00,1822.94,m15_exact_open,1827.81,-4.87,-5.22,-5.57,-6.27,0.35,7.28,13,1823.838029534959,-2.9794999999999163,-8.554999999999836,-11.562799999999925
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-02-24 16:00:00+00:00,2023-02-24 16:15:00+00:00,2023-02-24 19:15:00+00:00,1814.61,m15_exact_open,1811.35,3.26,2.91,2.56,1.86,5.72,1.04,16,1818.4563564154987,-1.16150000000016,-7.858999999999924,-11.264399999999569
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,2023-03-21 15:30:00+00:00,2023-03-21 15:45:00+00:00,2023-03-21 18:45:00+00:00,1965.28,m15_exact_open,1943.0,22.28,21.93,21.58,20.88,25.23,-8.63,15,1966.8755072154647,-1.7525000000000546,-11.679499999999962,-12.326799999999821
