timestamp,open,high,low,close
2022-05-02T20:00:00Z,1865.9,1866.42,1863.77,1864.62
2022-05-02T20:15:00Z,1864.61,1865.92,1863.29,1863.29
2022-05-02T20:30:00Z,1863.3,1865.73,1861.47,1865.26
2022-05-02T20:45:00Z,1865.24,1866.72,1864.95,1865.99
2022-05-02T21:00:00Z,1866.01,1866.5,1863.33,1863.55
2022-05-02T21:15:00Z,1863.54,1864.93,1863.38,1864.06
2022-05-02T21:30:00Z,1864.15,1864.37,1861.64,1861.97
2022-05-02T21:45:00Z,1861.96,1862.42,1859.77,1859.82
2022-05-02T22:00:00Z,1859.82,1862.08,1859.82,1861.69
2022-05-02T22:15:00Z,1861.75,1863.89,1861.54,1862.22
2022-05-02T22:30:00Z,1862.18,1862.62,1861.24,1862.6
2022-05-02T22:45:00Z,1862.61,1863.0,1860.68,1861.66
2022-05-02T23:00:00Z,1861.68,1862.32,1861.14,1861.46
2022-05-02T23:15:00Z,1861.43,1862.04,1861.16,1861.64
2022-05-02T23:30:00Z,1861.57,1864.07,1861.56,1862.15
2022-05-02T23:45:00Z,1862.17,1863.51,1862.17,1863.51
2022-05-03T00:00:00Z,1863.52,1863.52,1862.11,1862.32
2022-05-03T00:15:00Z,1862.33,1862.53,1862.23,1862.38
2022-05-03T00:30:00Z,1862.43,1862.98,1862.37,1862.85
2022-05-03T00:45:00Z,1862.84,1863.24,1862.46,1862.93
2022-05-03T01:00:00Z,1862.93,1863.94,1862.93,1863.22
2022-05-03T01:15:00Z,1863.29,1863.84,1863.2,1863.78
2022-05-03T01:30:00Z,1863.76,1864.07,1863.23,1863.26
2022-05-03T01:45:00Z,1863.24,1863.61,1863.24,1863.51
2022-05-03T02:00:00Z,1863.52,1863.52,1862.11,1862.32
2022-05-03T02:15:00Z,1862.33,1862.53,1862.23,1862.38
2022-05-03T02:30:00Z,1862.43,1862.98,1862.37,1862.85
2022-05-03T02:45:00Z,1862.84,1863.24,1862.46,1862.93
2022-05-03T03:00:00Z,1862.93,1865.82,1862.93,1865.15
2022-05-03T03:15:00Z,1865.16,1865.28,1863.91,1864.59
2022-05-03T03:30:00Z,1864.53,1865.62,1864.15,1864.73
2022-05-03T03:45:00Z,1864.74,1866.95,1864.64,1866.61
2022-05-03T04:00:00Z,1866.63,1866.63,1863.31,1863.4
2022-05-03T04:15:00Z,1863.39,1863.81,1862.22,1862.91
2022-05-03T04:30:00Z,1862.97,1863.6,1859.58,1859.74
2022-05-03T04:45:00Z,1859.76,1860.63,1859.47,1859.79
2022-05-03T05:00:00Z,1859.78,1860.75,1859.64,1860.15
2022-05-03T05:15:00Z,1860.15,1862.21,1859.93,1862.17
2022-05-03T05:30:00Z,1862.17,1862.17,1861.15,1861.62
2022-05-03T05:45:00Z,1861.65,1865.22,1861.65,1865.06
2022-05-03T06:00:00Z,1865.07,1865.07,1863.33,1863.91
2022-05-03T06:15:00Z,1863.83,1864.13,1863.28,1863.7
2022-05-03T06:30:00Z,1863.71,1864.19,1862.87,1862.93
2022-05-03T06:45:00Z,1862.98,1863.37,1862.11,1862.42
2022-05-03T07:00:00Z,1862.39,1862.88,1861.88,1862.83
2022-05-03T07:15:00Z,1862.79,1863.36,1862.7,1862.96
2022-05-03T07:30:00Z,1863.02,1864.38,1860.57,1860.82
2022-05-03T07:45:00Z,1860.86,1860.88,1857.59,1858.31
2022-05-03T08:00:00Z,1858.32,1859.0,1857.23,1858.99
2022-05-03T08:15:00Z,1859.02,1860.27,1858.72,1859.24
2022-05-03T08:30:00Z,1859.23,1859.47,1857.85,1858.49
2022-05-03T08:45:00Z,1858.47,1859.64,1857.84,1859.41
2022-05-03T09:00:00Z,1859.4,1861.62,1859.15,1860.08
2022-05-03T09:15:00Z,1860.22,1860.64,1857.14,1858.22
2022-05-03T09:30:00Z,1858.18,1861.95,1857.78,1859.71
2022-05-03T09:45:00Z,1859.7,1859.7,1856.47,1858.76
2022-05-03T10:00:00Z,1858.72,1859.11,1853.27,1853.74
2022-05-03T10:15:00Z,1853.72,1860.67,1853.64,1860.62
2022-05-03T10:30:00Z,1860.6,1860.73,1857.69,1858.1
2022-05-03T10:45:00Z,1858.1,1858.12,1855.0,1855.49
2022-05-03T11:00:00Z,1855.5,1856.47,1854.46,1855.28
2022-05-03T11:15:00Z,1855.26,1855.36,1852.05,1853.68
2022-05-03T11:30:00Z,1853.66,1853.86,1851.74,1852.0
2022-05-03T11:45:00Z,1852.0,1854.05,1850.22,1853.54
2022-05-03T12:00:00Z,1853.53,1855.78,1853.43,1855.53
2022-05-03T12:15:00Z,1855.53,1857.63,1854.64,1856.24
2022-05-03T12:30:00Z,1856.26,1858.52,1856.22,1858.42
2022-05-03T12:45:00Z,1858.42,1859.63,1857.47,1857.53
2022-05-03T13:00:00Z,1857.48,1860.75,1857.48,1859.13
2022-05-03T13:15:00Z,1859.05,1859.8,1857.77,1857.81
2022-05-03T13:30:00Z,1857.81,1857.93,1854.88,1856.83
2022-05-03T13:45:00Z,1856.87,1859.58,1856.21,1858.34
2022-05-03T14:00:00Z,1858.35,1860.65,1858.33,1859.96
2022-05-03T14:15:00Z,1859.96,1860.28,1858.59,1860.21
2022-05-03T14:30:00Z,1860.22,1863.39,1859.45,1862.7
2022-05-03T14:45:00Z,1862.69,1863.78,1862.02,1863.69
2022-05-03T15:00:00Z,1863.68,1865.28,1861.23,1862.21
2022-05-03T15:15:00Z,1862.17,1863.78,1858.65,1860.94
2022-05-03T15:30:00Z,1860.93,1863.73,1856.57,1860.48
2022-05-03T15:45:00Z,1860.47,1863.54,1860.19,1863.18
2022-05-03T16:00:00Z,1863.13,1866.21,1862.5,1865.56
2022-05-03T16:15:00Z,1865.55,1865.83,1861.87,1863.78
2022-05-03T16:30:00Z,1863.78,1868.91,1863.59,1868.68
2022-05-03T16:45:00Z,1868.7,1872.17,1867.09,1871.0
2022-05-03T17:00:00Z,1870.84,1870.84,1866.44,1870.64
2022-05-03T17:15:00Z,1870.49,1874.69,1870.37,1873.85
2022-05-03T17:30:00Z,1873.79,1876.97,1872.8,1876.2
2022-05-03T17:45:00Z,1876.18,1877.88,1874.15,1874.15
2022-05-03T18:00:00Z,1874.15,1877.23,1874.1,1876.16
2022-05-03T18:15:00Z,1875.7,1876.64,1871.04,1872.88
2022-05-03T18:30:00Z,1872.87,1874.46,1871.67,1872.82
2022-05-03T18:45:00Z,1872.82,1873.17,1870.8,1871.4
2022-05-03T19:00:00Z,1871.39,1871.39,1869.26,1870.41
2022-05-03T19:15:00Z,1870.4,1872.26,1867.23,1871.61
2022-05-03T19:30:00Z,1871.63,1872.26,1870.73,1871.16
2022-05-03T19:45:00Z,1871.13,1871.13,1868.4,1869.65
2022-05-03T20:00:00Z,1869.64,1871.68,1869.47,1870.83
2022-05-03T20:15:00Z,1870.84,1871.14,1868.86,1869.91
2022-05-03T20:30:00Z,1869.89,1871.53,1869.18,1870.03
2022-05-03T20:45:00Z,1870.02,1871.18,1869.59,1871.06
2022-05-03T21:00:00Z,1871.04,1871.05,1866.88,1866.88
2022-05-03T21:15:00Z,1866.87,1867.79,1866.49,1867.61
2022-05-03T21:30:00Z,1867.63,1867.74,1865.63,1866.71
2022-05-03T21:45:00Z,1866.74,1869.82,1865.56,1869.15
2022-05-03T22:00:00Z,1869.16,1869.75,1867.97,1868.87
2022-05-03T22:15:00Z,1868.83,1869.2,1866.67,1866.94
2022-05-03T22:30:00Z,1866.93,1867.29,1865.15,1866.5
2022-05-03T22:45:00Z,1866.49,1866.53,1865.22,1865.89
2022-05-03T23:00:00Z,1866.07,1867.19,1865.54,1866.6
2022-05-03T23:15:00Z,1866.6,1867.06,1866.04,1866.97
2022-05-03T23:30:00Z,1866.95,1867.62,1866.55,1867.6
2022-05-03T23:45:00Z,1867.55,1868.64,1867.34,1868.64
2022-05-04T00:00:00Z,1868.63,1869.26,1868.52,1869.0
2022-05-04T00:15:00Z,1869.0,1869.16,1868.27,1868.38
2022-05-04T00:30:00Z,1868.38,1869.3,1867.45,1867.5
2022-05-04T00:45:00Z,1867.48,1869.1,1866.89,1868.22
2022-05-04T01:00:00Z,1868.21,1868.34,1867.53,1868.22
2022-05-04T01:15:00Z,1868.21,1868.9,1868.17,1868.61
2022-05-04T01:30:00Z,1868.61,1868.72,1867.92,1868.33
2022-05-04T01:45:00Z,1868.31,1868.64,1867.93,1868.64
2022-05-04T02:00:00Z,1868.63,1869.26,1868.52,1869.0
2022-05-04T02:15:00Z,1869.0,1869.16,1868.27,1868.38
2022-05-04T02:30:00Z,1868.38,1869.3,1867.45,1867.5
2022-05-04T02:45:00Z,1867.48,1869.1,1866.89,1868.22
2022-05-04T03:00:00Z,1868.21,1868.24,1867.04,1867.25
2022-05-04T03:15:00Z,1867.24,1867.37,1865.05,1865.68
2022-05-04T03:30:00Z,1865.68,1865.8,1864.81,1865.24
2022-05-04T03:45:00Z,1865.25,1866.37,1865.2,1865.79
2022-05-04T04:00:00Z,1865.78,1865.84,1862.81,1862.81
2022-05-04T04:15:00Z,1862.81,1864.22,1862.66,1863.27
2022-05-04T04:30:00Z,1863.25,1865.26,1863.05,1864.02
2022-05-04T04:45:00Z,1864.07,1864.15,1862.35,1862.66
2022-05-04T05:00:00Z,1862.58,1862.94,1861.96,1862.1
2022-05-04T05:15:00Z,1862.11,1863.3,1861.98,1861.98
2022-05-04T05:30:00Z,1861.95,1863.09,1861.48,1862.79
2022-05-04T05:45:00Z,1862.8,1864.74,1862.32,1863.21
2022-05-04T06:00:00Z,1863.22,1864.09,1863.05,1864.08
2022-05-04T06:15:00Z,1863.99,1865.2,1863.92,1864.91
2022-05-04T06:30:00Z,1864.95,1865.49,1864.79,1865.37
2022-05-04T06:45:00Z,1865.4,1865.5,1864.24,1864.62
2022-05-04T07:00:00Z,1864.58,1865.6,1864.44,1865.28
2022-05-04T07:15:00Z,1865.3,1865.38,1863.3,1863.32
2022-05-04T07:30:00Z,1863.35,1865.56,1863.22,1865.47
2022-05-04T07:45:00Z,1865.46,1866.05,1865.15,1865.53
2022-05-04T08:00:00Z,1865.53,1865.77,1864.91,1865.41
2022-05-04T08:15:00Z,1865.36,1865.45,1864.19,1864.38
2022-05-04T08:30:00Z,1864.4,1864.98,1864.0,1864.6
2022-05-04T08:45:00Z,1864.48,1864.57,1862.21,1863.76
2022-05-04T09:00:00Z,1863.74,1863.96,1861.2,1862.9
2022-05-04T09:15:00Z,1862.89,1865.27,1862.57,1863.63
2022-05-04T09:30:00Z,1863.69,1864.59,1863.19,1863.61
2022-05-04T09:45:00Z,1863.62,1866.56,1862.58,1866.56
2022-05-04T10:00:00Z,1866.58,1869.54,1865.88,1868.66
2022-05-04T10:15:00Z,1868.7,1869.72,1867.09,1869.36
2022-05-04T10:30:00Z,1869.37,1871.17,1869.23,1870.84
2022-05-04T10:45:00Z,1870.83,1871.71,1870.13,1870.66
