family,name,london_move_atr_min,eff_min,pullback_atr_max,ny_confirm_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.3_conf0.0_h180_e13_tp0.4_sl0.5,0.9,0.72,0.3,0.0,13,180,0.4,0.5,proxy_m15,166,0.947,0.4726,-14.804,-189.104,0.7959,0.5843,1.0238,1.0638,0.716,2022-05-09 13:15:00,2026-05-29 13:15:00,5.1064
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h90_e13_tp0.4_sl0.5,0.9,0.6,0.3,0.0,13,90,0.4,0.5,proxy_m15,283,0.9191,0.4486,-37.7259,-334.8759,0.7563,0.5654,1.1205,1.2507,0.6679,2022-05-02 13:15:00,2026-06-02 13:15:00,5.0752
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h90_e13_tp0.4_sl0.5,0.9,0.6,0.1,0.15,13,90,0.4,0.5,proxy_m15,100,0.986,0.3942,-1.7824,-106.7824,0.8216,0.57,1.304,2.7511,0.6735,2022-05-02 13:15:00,2026-05-20 13:15:00,4.9687
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h90_e13_tp0.4_sl0.5,0.9,0.6,0.3,0.15,13,90,0.4,0.5,proxy_m15,100,0.986,0.3942,-1.7824,-106.7824,0.8216,0.57,1.304,2.7511,0.6735,2022-05-02 13:15:00,2026-05-20 13:15:00,4.9687
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.15_h180_e13_tp0.4_sl0.5,0.9,0.6,0.1,0.15,13,180,0.4,0.5,proxy_m15,100,0.985,0.3939,-1.916,-106.916,0.8216,0.57,1.304,2.7511,0.6724,2022-05-02 13:15:00,2026-05-20 13:15:00,4.9653
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.15_h180_e13_tp0.4_sl0.5,0.9,0.6,0.3,0.15,13,180,0.4,0.5,proxy_m15,100,0.985,0.3939,-1.916,-106.916,0.8216,0.57,1.304,2.7511,0.6724,2022-05-02 13:15:00,2026-05-20 13:15:00,4.9653
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.3_conf0.0_h180_e13_tp0.4_sl0.5,0.9,0.6,0.3,0.0,13,180,0.4,0.5,proxy_m15,283,0.8787,0.4391,-59.9372,-357.0872,0.754,0.5583,1.0147,1.1801,0.638,2022-05-02 13:15:00,2026-06-02 13:15:00,4.8492
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h180_e15_tp0.6_sl0.65,0.9,0.6,0.1,0.0,15,180,0.6,0.65,proxy_m15,186,0.8052,0.5317,-105.7851,-301.0851,-2.0395,0.4892,0.9073,0.5103,0.5697,2022-05-02 15:15:00,2026-05-26 15:15:00,4.6191
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.72_pb0.1_conf0.15_h180_e15_tp0.6_sl0.65,0.9,0.72,0.1,0.15,15,180,0.6,0.65,proxy_m15,79,0.9383,0.6284,-13.4945,-96.4445,1.1706,0.5063,1.0269,0.5502,0.5799,2022-05-09 15:15:00,2026-05-04 15:15:00,4.60555
london_oneway_continuation,london_oneway_cont_mv0.9_eff0.6_pb0.1_conf0.0_h90_e15_tp0.6_sl0.65,0.9,0.6,0.1,0.0,15,90,0.6,0.65,proxy_m15,186,0.7983,0.5247,-108.6004,-303.9004,-2.0395,0.4839,0.9073,0.5103,0.5697,2022-05-02 15:15:00,2026-05-26 15:15:00,4.5983
