ts_utc,year,close,candidate,family,side,horizon_hours,signed_forward_bps
2023-01-05 09:00:00+00:00,2023,1849.2,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-59.593337659528125
2023-01-17 04:00:00+00:00,2023,1910.53,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-34.49304643214135
2023-01-18 06:00:00+00:00,2023,1899.33,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,54.28229954773656
2023-01-25 09:00:00+00:00,2023,1928.52,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,73.83900607719873
2023-01-26 18:00:00+00:00,2023,1925.77,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,19.161166702150734
2023-01-31 11:00:00+00:00,2023,1903.65,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,111.57513198329471
2023-02-02 21:00:00+00:00,2023,1913.1,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-248.28811876012713
2023-02-03 21:00:00+00:00,2023,1865.6,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,0.32161234991612275
2023-02-05 23:00:00+00:00,2023,1865.33,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,11.84776956356215
2023-02-15 08:00:00+00:00,2023,1843.41,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-38.407082526406015
2023-02-24 16:00:00+00:00,2023,1812.8,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,27.52647837599209
2023-02-27 05:00:00+00:00,2023,1807.87,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,38.498343354334
2023-03-06 21:00:00+00:00,2023,1846.05,RET_Z_DOWNSIDE_EXTREME_REV_LONG_L24_T1.5,RETURN_ZSCORE_REVERSAL,LONG,24,-174.5348175834893
