variant,family,side,bias_min,horizon_bars,horizon_minutes,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,london_open,london_close,london_low,london_high,london_bias,signal_close
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-06-22 15:45:00+00:00,2023-06-22 16:00:00+00:00,2023-06-22 22:00:00+00:00,1924.4,m15_exact_open,1915.24,9.16,8.81,8.46,7.76,11.7,2.91,new_york,15,1932.85,1926.31,1924.83,1933.01,-6.539999999999964,1924.37
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-06-27 13:15:00+00:00,2023-06-27 13:30:00+00:00,2023-06-27 19:30:00+00:00,1923.43,m15_exact_open,1915.88,7.55,7.2,6.85,6.15,12.0,7.16,new_york,13,1929.01,1924.17,1924.06,1929.66,-4.839999999999918,1923.45
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-06-28 13:00:00+00:00,2023-06-28 13:15:00+00:00,2023-06-28 19:15:00+00:00,1907.94,m15_exact_open,1910.11,-2.17,-2.52,-2.87,-3.57,5.18,5.29,new_york,13,1915.31,1908.64,1908.18,1916.6,-6.669999999999845,1907.95
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-07-06 15:30:00+00:00,2023-07-06 15:45:00+00:00,2023-07-06 21:45:00+00:00,1907.47,m15_exact_open,1910.3,-2.83,-3.18,-3.53,-4.23,4.85,7.52,new_york,15,1918.06,1916.61,1915.98,1921.36,-1.4500000000000455,1907.54
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-07-20 15:30:00+00:00,2023-07-20 15:45:00+00:00,2023-07-20 21:45:00+00:00,1975.66,m15_exact_open,1971.03,4.63,4.28,3.93,3.23,10.35,4.42,new_york,15,1985.55,1983.39,1977.83,1985.97,-2.1599999999998545,1975.64
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-07-21 16:15:00+00:00,2023-07-21 16:30:00+00:00,2023-07-21 22:30:00+00:00,1960.2,m15_exact_open,1962.12,-1.92,-2.27,-2.62,-3.32,3.41,5.13,new_york,16,1970.5,1963.14,1961.55,1972.16,-7.3599999999999,1960.21
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-01 14:15:00+00:00,2023-08-01 14:30:00+00:00,2023-08-01 20:30:00+00:00,1954.01,m15_exact_open,1941.94,12.07,11.72,11.37,10.67,12.69,1.88,new_york,14,1961.87,1956.52,1954.27,1962.68,-5.349999999999909,1954.01
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-04 13:30:00+00:00,2023-08-04 13:45:00+00:00,2023-08-04 19:45:00+00:00,1931.68,m15_exact_open,1943.09,-11.41,-11.76,-12.11,-12.81,8.71,15.12,new_york,13,1935.71,1932.9,1931.91,1937.27,-2.8099999999999454,1931.68
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-07 13:45:00+00:00,2023-08-07 14:00:00+00:00,2023-08-07 20:00:00+00:00,1933.89,m15_exact_open,1934.3,-0.41,-0.76,-1.11,-1.81,2.57,7.6,new_york,13,1939.87,1936.43,1934.32,1939.94,-3.439999999999827,1933.88
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-08 14:45:00+00:00,2023-08-08 15:00:00+00:00,2023-08-08 21:00:00+00:00,1929.7,m15_exact_open,1925.25,4.45,4.1,3.75,3.05,7.06,2.17,new_york,14,1934.14,1932.88,1930.06,1934.68,-1.259999999999991,1929.68
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-09 12:45:00+00:00,2023-08-09 13:00:00+00:00,2023-08-09 19:00:00+00:00,1927.1,m15_exact_open,1916.34,10.76,10.41,10.06,9.36,11.65,0.3,new_york,12,1929.89,1928.05,1927.61,1932.17,-1.8400000000001455,1927.1
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-15 14:15:00+00:00,2023-08-15 14:30:00+00:00,2023-08-15 20:30:00+00:00,1902.27,m15_exact_open,1903.88,-1.61,-1.96,-2.31,-3.01,6.05,9.18,new_york,14,1906.89,1904.25,1902.91,1907.25,-2.6400000000001,1902.25
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-18 15:30:00+00:00,2023-08-18 15:45:00+00:00,2023-08-18 21:45:00+00:00,1890.15,m15_exact_open,1888.71,1.44,1.09,0.74,0.04,3.54,6.54,new_york,15,1893.02,1891.3,1890.95,1893.87,-1.7200000000000273,1890.13
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-21 13:30:00+00:00,2023-08-21 13:45:00+00:00,2023-08-21 19:45:00+00:00,1886.81,m15_exact_open,1891.25,-4.44,-4.79,-5.14,-5.84,1.71,11.96,new_york,13,1891.59,1888.79,1887.23,1893.85,-2.7999999999999545,1886.81
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-08-29 13:30:00+00:00,2023-08-29 13:45:00+00:00,2023-08-29 19:45:00+00:00,1921.25,m15_exact_open,1934.69,-13.44,-13.79,-14.14,-14.84,6.97,16.45,new_york,13,1925.31,1923.47,1921.61,1925.54,-1.8399999999999181,1921.28
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-04 12:30:00+00:00,2023-09-04 12:45:00+00:00,2023-09-04 18:45:00+00:00,1942.12,m15_exact_open,1938.11,4.01,3.66,3.31,2.61,5.41,0.56,new_york,12,1945.24,1943.29,1943.03,1946.18,-1.9500000000000455,1942.12
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-05 12:30:00+00:00,2023-09-05 12:45:00+00:00,2023-09-05 18:45:00+00:00,1931.59,m15_exact_open,1926.86,4.73,4.38,4.03,3.33,6.33,3.1,new_york,12,1936.72,1932.84,1932.16,1938.83,-3.880000000000109,1931.59
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-06 16:15:00+00:00,2023-09-06 16:30:00+00:00,2023-09-06 22:30:00+00:00,1921.64,m15_exact_open,1917.22,4.42,4.07,3.72,3.02,6.44,7.45,new_york,16,1925.98,1923.74,1922.48,1928.34,-2.240000000000009,1921.67
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-08 15:00:00+00:00,2023-09-08 15:15:00+00:00,2023-09-08 21:15:00+00:00,1923.05,m15_exact_open,1919.97,3.08,2.73,2.38,1.68,5.79,6.55,new_york,15,1925.08,1923.56,1923.31,1927.17,-1.5199999999999818,1923.05
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-12 13:45:00+00:00,2023-09-12 14:00:00+00:00,2023-09-12 20:00:00+00:00,1915.95,m15_exact_open,1912.42,3.53,3.18,2.83,2.13,8.46,-0.74,new_york,13,1923.62,1920.66,1918.52,1924.4,-2.959999999999809,1915.93
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-14 15:30:00+00:00,2023-09-14 15:45:00+00:00,2023-09-14 21:45:00+00:00,1902.07,m15_exact_open,1909.04,-6.97,-7.32,-7.67,-8.37,1.12,9.9,new_york,15,1909.73,1906.65,1905.12,1910.88,-3.0799999999999272,1902.12
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-18 16:00:00+00:00,2023-09-18 16:15:00+00:00,2023-09-18 22:15:00+00:00,1924.61,m15_exact_open,1931.66,-7.05,-7.4,-7.75,-8.45,1.85,8.82,new_york,16,1929.2,1925.19,1925.06,1930.5,-4.009999999999991,1924.61
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-21 12:00:00+00:00,2023-09-21 12:15:00+00:00,2023-09-21 18:15:00+00:00,1922.86,m15_exact_open,1919.25,3.61,3.26,2.91,2.21,9.01,3.14,new_york,12,1928.19,1925.45,1925.03,1930.41,-2.740000000000009,1922.86
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-09-27 12:45:00+00:00,2023-09-27 13:00:00+00:00,2023-09-27 19:00:00+00:00,1894.52,m15_exact_open,1880.82,13.7,13.35,13.0,12.3,14.84,1.71,new_york,12,1900.21,1896.35,1894.98,1900.22,-3.8600000000001273,1894.52
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-10-02 12:15:00+00:00,2023-10-02 12:30:00+00:00,2023-10-02 18:30:00+00:00,1837.71,m15_exact_open,1833.69,4.02,3.67,3.32,2.62,10.73,2.72,new_york,12,1844.12,1841.48,1838.99,1846.11,-2.6399999999998727,1837.7
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-10-05 15:45:00+00:00,2023-10-05 16:00:00+00:00,2023-10-05 22:00:00+00:00,1815.04,m15_exact_open,1820.23,-5.19,-5.54,-5.89,-6.59,1.07,6.61,new_york,15,1828.25,1820.62,1819.71,1829.0,-7.630000000000109,1815.01
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-10-06 15:30:00+00:00,2023-10-06 15:45:00+00:00,2023-10-06 21:45:00+00:00,1814.87,m15_exact_open,1833.07,-18.2,-18.55,-18.9,-19.6,4.62,19.81,new_york,15,1823.79,1820.72,1818.43,1824.36,-3.0699999999999363,1814.94
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-10-09 15:45:00+00:00,2023-10-09 16:00:00+00:00,2023-10-09 22:00:00+00:00,1845.2,m15_exact_open,1857.1,-11.9,-12.25,-12.6,-13.3,1.18,12.29,new_york,15,1850.57,1849.39,1847.78,1854.25,-1.1799999999998363,1845.17
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-10-10 16:00:00+00:00,2023-10-10 16:15:00+00:00,2023-10-10 22:15:00+00:00,1854.45,m15_exact_open,1858.8,-4.35,-4.7,-5.05,-5.75,1.26,8.14,new_york,16,1863.26,1857.93,1854.98,1863.3,-5.329999999999927,1854.43
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-10-24 12:15:00+00:00,2023-10-24 12:30:00+00:00,2023-10-24 18:30:00+00:00,1970.84,m15_exact_open,1964.1,6.74,6.39,6.04,5.34,17.26,-2.83,new_york,12,1977.0,1971.4,1971.22,1979.16,-5.599999999999909,1970.83
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-11-07 13:45:00+00:00,2023-11-07 14:00:00+00:00,2023-11-07 20:00:00+00:00,1963.81,m15_exact_open,1964.03,-0.22,-0.57,-0.92,-1.62,7.16,3.46,new_york,13,1971.72,1967.01,1964.16,1974.2,-4.710000000000036,1963.8
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-11-08 12:15:00+00:00,2023-11-08 12:30:00+00:00,2023-11-08 18:30:00+00:00,1963.05,m15_exact_open,1956.18,6.87,6.52,6.17,5.47,12.1,3.6,new_york,12,1967.47,1966.36,1964.91,1969.04,-1.1100000000001273,1963.06
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-11-10 12:45:00+00:00,2023-11-10 13:00:00+00:00,2023-11-10 19:00:00+00:00,1952.85,m15_exact_open,1939.71,13.14,12.79,12.44,11.74,15.66,0.87,new_york,12,1957.66,1955.22,1953.51,1958.12,-2.4400000000000546,1952.86
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-11-20 12:45:00+00:00,2023-11-20 13:00:00+00:00,2023-11-20 19:00:00+00:00,1975.52,m15_exact_open,1974.5,1.02,0.67,0.32,-0.38,10.08,0.76,new_york,12,1982.12,1978.28,1975.86,1983.3,-3.839999999999918,1975.52
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-11-28 15:15:00+00:00,2023-11-28 15:30:00+00:00,2023-11-28 21:30:00+00:00,2011.89,m15_exact_open,2040.04,-28.15,-28.5,-28.85,-29.55,-4.08,31.17,new_york,15,2016.77,2014.96,2012.17,2016.84,-1.8099999999999454,2011.88
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-11-30 12:15:00+00:00,2023-11-30 12:30:00+00:00,2023-11-30 18:30:00+00:00,2038.07,m15_exact_open,2038.27,-0.2,-0.55,-0.9,-1.6,7.0,6.03,new_york,12,2043.28,2041.27,2039.74,2046.94,-2.009999999999991,2038.06
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-12-04 16:00:00+00:00,2023-12-04 16:15:00+00:00,2023-12-04 22:15:00+00:00,2057.11,m15_exact_open,2031.71,25.4,25.05,24.7,24.0,36.94,-3.71,new_york,16,2084.92,2071.95,2057.74,2090.44,-12.970000000000255,2057.14
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-12-05 12:15:00+00:00,2023-12-05 12:30:00+00:00,2023-12-05 18:30:00+00:00,2026.66,m15_exact_open,2015.15,11.51,11.16,10.81,10.11,16.74,4.21,new_york,12,2032.41,2029.95,2028.6,2039.55,-2.4600000000000364,2026.67
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-12-08 15:30:00+00:00,2023-12-08 15:45:00+00:00,2023-12-08 21:45:00+00:00,2017.93,m15_exact_open,2001.18,16.75,16.4,16.05,15.35,23.3,8.14,new_york,15,2030.6,2028.87,2026.53,2031.91,-1.7300000000000182,2017.76
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-12-11 16:30:00+00:00,2023-12-11 16:45:00+00:00,2023-12-11 22:45:00+00:00,1990.71,m15_exact_open,1980.69,10.02,9.67,9.32,8.62,14.74,-1.18,new_york,16,1996.25,1992.82,1991.38,2000.56,-3.4300000000000637,1990.6
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-12-21 14:15:00+00:00,2023-12-21 14:30:00+00:00,2023-12-21 20:30:00+00:00,2033.68,m15_exact_open,2039.33,-5.65,-6.0,-6.35,-7.05,1.55,12.27,new_york,14,2037.09,2035.09,2033.89,2038.14,-2.0,2033.68
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-12-26 16:00:00+00:00,2023-12-26 16:15:00+00:00,2023-12-26 22:15:00+00:00,2058.53,m15_exact_open,2062.84,-4.31,-4.66,-5.01,-5.71,4.11,5.73,new_york,16,2064.13,2061.64,2060.54,2064.92,-2.4900000000002365,2058.52
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2023-12-29 12:00:00+00:00,2023-12-29 12:15:00+00:00,2023-12-29 18:15:00+00:00,2065.33,m15_exact_open,2066.33,-1.0,-1.35,-1.7,-2.4,7.16,3.52,new_york,12,2069.41,2067.79,2067.7,2074.81,-1.6199999999998909,2065.37
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-01-03 12:30:00+00:00,2024-01-03 12:45:00+00:00,2024-01-03 18:45:00+00:00,2054.14,m15_exact_open,2032.48,21.66,21.31,20.96,20.26,22.95,1.79,new_york,12,2065.01,2056.57,2054.35,2065.9,-8.440000000000055,2054.11
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-01-05 12:00:00+00:00,2024-01-05 12:15:00+00:00,2024-01-05 18:15:00+00:00,2038.65,m15_exact_open,2055.49,-16.84,-17.19,-17.54,-18.24,14.13,25.27,new_york,12,2045.29,2041.16,2040.76,2046.98,-4.129999999999882,2038.67
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-01-08 13:15:00+00:00,2024-01-08 13:30:00+00:00,2024-01-08 19:30:00+00:00,2025.59,m15_exact_open,2029.34,-3.75,-4.1,-4.45,-5.15,7.4,11.25,new_york,13,2035.95,2029.58,2026.61,2036.38,-6.370000000000118,2025.6
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-01-16 14:15:00+00:00,2024-01-16 14:30:00+00:00,2024-01-16 20:30:00+00:00,2036.34,m15_exact_open,2027.82,8.52,8.17,7.82,7.12,11.83,8.65,new_york,14,2049.3,2039.53,2038.48,2050.89,-9.77000000000021,2036.33
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-02-01 12:15:00+00:00,2024-02-01 12:30:00+00:00,2024-02-01 18:30:00+00:00,2038.37,m15_exact_open,2060.61,-22.24,-22.59,-22.94,-23.64,8.56,22.9,new_york,12,2046.19,2040.61,2039.01,2046.39,-5.580000000000155,2038.39
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-02-05 15:30:00+00:00,2024-02-05 15:45:00+00:00,2024-02-05 21:45:00+00:00,2017.71,m15_exact_open,2026.33,-8.62,-8.97,-9.32,-10.02,3.06,9.57,new_york,15,2031.46,2021.43,2020.41,2032.12,-10.029999999999973,2017.68
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-02-09 14:45:00+00:00,2024-02-09 15:00:00+00:00,2024-02-09 21:00:00+00:00,2029.91,m15_exact_open,2023.38,6.53,6.18,5.83,5.13,9.86,7.25,new_york,14,2033.5,2032.24,2030.49,2034.95,-1.259999999999991,2029.93
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,1.0,24,360,4,2024-02-12 12:00:00+00:00,2024-02-12 12:15:00+00:00,2024-02-12 18:15:00+00:00,2020.33,m15_exact_open,2013.97,6.36,6.01,5.66,4.96,8.62,7.02,new_york,12,2023.2,2021.5,2021.18,2027.1,-1.7000000000000455,2020.34
