candidate_id,base_candidate_id,context_variant,cw,pct,buffer_bps,m30_sma,horizon_m5_bars,params,trade_count,oos_trade_count,mean_stress_bps,median_stress_bps,win_rate,t_stat,is_mean_stress_bps,is_win_rate,oos_mean_stress_bps,oos_win_rate,positive_year_count,negative_year_count,worst_year_mean_stress_bps,cost_x15_mean_stress_bps,cost_x2_mean_stress_bps,declustered_trade_count,declustered_mean_stress_bps,declustered_win_rate,max_direction_share,max_day_share,first_entry_utc,last_entry_utc,span_days,status,failures
S58A_S51_VSQ_CW48_P20_B5_M3020_H24_CTX_NO_ASIA_LATEUS,S51_VSQ_CW48_P20_B5_M3020_H24,CTX_NO_ASIA_LATEUS,48,20.0,5.0,20,24,"{""session_filter"": ""exclude_asia_late_us""}",1358,272,2.0357186204237396,-1.4990049759308133,0.4683357879234168,1.8856811680609442,0.5889459371817639,0.4548802946593002,7.812171318956041,0.5220588235294118,3,2,-3.1543727318595516,0.5447167538468785,-0.9462851127299823,887,1.7269209882756955,0.4746335963923337,0.5279823269513991,0.005891016200294551,2022-05-02T12:05:00Z,2026-06-18T08:35:00Z,1507.8541666666667,NO_PASS,median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H24_CTX_LONDON_OVERLAP_NY,S51_VSQ_CW48_P20_B5_M3020_H24,CTX_LONDON_OVERLAP_NY,48,20.0,5.0,20,24,"{""session_filter"": ""london_overlap_new_york""}",1358,272,2.0357186204237396,-1.4990049759308133,0.4683357879234168,1.8856811680609442,0.5889459371817639,0.4548802946593002,7.812171318956041,0.5220588235294118,3,2,-3.1543727318595516,0.5447167538468785,-0.9462851127299823,887,1.7269209882756955,0.4746335963923337,0.5279823269513991,0.005891016200294551,2022-05-02T12:05:00Z,2026-06-18T08:35:00Z,1507.8541666666667,NO_PASS,median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H24_CTX_LON_OV_NY_NO_ROLLOVER,S51_VSQ_CW48_P20_B5_M3020_H24,CTX_LON_OV_NY_NO_ROLLOVER,48,20.0,5.0,20,24,"{""combo_filter"": ""CTX_LONDON_OVERLAP_NY+CTX_NO_ROLLOVER""}",1358,272,2.0357186204237396,-1.4990049759308133,0.4683357879234168,1.8856811680609442,0.5889459371817639,0.4548802946593002,7.812171318956041,0.5220588235294118,3,2,-3.1543727318595516,0.5447167538468785,-0.9462851127299823,887,1.7269209882756955,0.4746335963923337,0.5279823269513991,0.005891016200294551,2022-05-02T12:05:00Z,2026-06-18T08:35:00Z,1507.8541666666667,NO_PASS,median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H12_CTX_OVERLAP_NY,S51_VSQ_CW48_P20_B5_M3040_H12,CTX_OVERLAP_NY,48,20.0,5.0,40,12,"{""session_filter"": ""overlap_new_york""}",903,181,1.5889636022213802,-0.05526051678218069,0.4983388704318937,1.7385846353708183,0.06053693442233224,0.4806094182825485,7.685781580955703,0.569060773480663,3,2,-0.47521826088753283,0.09796173564451927,-1.3930401309323415,640,1.9162692007014641,0.496875,0.5182724252491694,0.007751937984496124,2022-05-02T12:05:00Z,2026-06-12T20:50:00Z,1502.3645833333333,NO_PASS,mean_stress_lt_min;median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H12_CTX_SPREAD_LE90,S51_VSQ_CW48_P20_B5_M3040_H12,CTX_SPREAD_LE90,48,20.0,5.0,40,12,"{""spread_filter"": ""spread_le_90""}",2096,420,3.6075184179227997,0.9999518658485518,0.5243320610687023,5.376451134683176,2.63956345334577,0.5149164677804295,7.47011965752066,0.5619047619047619,5,0,0.35780858392144027,2.1165165513459376,0.6255146847690769,1127,3.3067501885893815,0.5164152617568767,0.5534351145038168,0.005248091603053435,2022-05-30T17:50:00Z,2026-06-19T02:05:00Z,1480.34375,NO_PASS,win_rate_lt_min
S58A_S51_VSQ_CW96_P20_B5_M3040_H24_CTX_LON_OV_NY_SPREAD_LE90,S51_VSQ_CW96_P20_B5_M3040_H24,CTX_LON_OV_NY_SPREAD_LE90,96,20.0,5.0,40,24,"{""combo_filter"": ""CTX_LONDON_OVERLAP_NY+CTX_SPREAD_LE90""}",938,188,2.7664221273945566,-0.30268766409736303,0.4946695095948827,1.9978070672232338,1.5874649276474861,0.4866666666666667,7.469708828513185,0.526595744680851,5,0,0.23254362986343313,1.275420260817694,-0.21558160575916663,627,2.891225724348681,0.5023923444976076,0.5735607675906184,0.009594882729211088,2022-05-30T17:50:00Z,2026-06-18T18:50:00Z,1480.0416666666667,NO_PASS,median_stress_lt_min;win_rate_lt_min;cost_x2_mean_lt_min
S58A_S51_VSQ_CW96_P20_B5_M3040_H24_CTX_NO_ASIA_LATEUS_SPREAD_LE90,S51_VSQ_CW96_P20_B5_M3040_H24,CTX_NO_ASIA_LATEUS_SPREAD_LE90,96,20.0,5.0,40,24,"{""combo_filter"": ""CTX_NO_ASIA_LATEUS+CTX_SPREAD_LE90""}",938,188,2.7664221273945566,-0.30268766409736303,0.4946695095948827,1.9978070672232338,1.5874649276474861,0.4866666666666667,7.469708828513185,0.526595744680851,5,0,0.23254362986343313,1.275420260817694,-0.21558160575916663,627,2.891225724348681,0.5023923444976076,0.5735607675906184,0.009594882729211088,2022-05-30T17:50:00Z,2026-06-18T18:50:00Z,1480.0416666666667,NO_PASS,median_stress_lt_min;win_rate_lt_min;cost_x2_mean_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H24_CTX_LON_OV_NY_SPREAD_LE90,S51_VSQ_CW48_P20_B5_M3040_H24,CTX_LON_OV_NY_SPREAD_LE90,48,20.0,5.0,40,24,"{""combo_filter"": ""CTX_LONDON_OVERLAP_NY+CTX_SPREAD_LE90""}",1145,229,2.488721040040798,-0.7029812584865636,0.4873362445414847,2.0749789522789444,1.247296513068993,0.4759825327510917,7.454419147928015,0.5327510917030568,3,2,-3.0838279075299355,0.9977191734639375,-0.4932826931129233,735,2.188095979669227,0.49115646258503404,0.5449781659388646,0.00611353711790393,2022-05-30T17:50:00Z,2026-06-18T08:35:00Z,1479.6145833333333,NO_PASS,median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H24_CTX_NO_ASIA_LATEUS_SPREAD_LE90,S51_VSQ_CW48_P20_B5_M3040_H24,CTX_NO_ASIA_LATEUS_SPREAD_LE90,48,20.0,5.0,40,24,"{""combo_filter"": ""CTX_NO_ASIA_LATEUS+CTX_SPREAD_LE90""}",1145,229,2.488721040040798,-0.7029812584865636,0.4873362445414847,2.0749789522789444,1.247296513068993,0.4759825327510917,7.454419147928015,0.5327510917030568,3,2,-3.0838279075299355,0.9977191734639375,-0.4932826931129233,735,2.188095979669227,0.49115646258503404,0.5449781659388646,0.00611353711790393,2022-05-30T17:50:00Z,2026-06-18T08:35:00Z,1479.6145833333333,NO_PASS,median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW96_P20_B5_M3040_H24_CTX_ALL,S51_VSQ_CW96_P20_B5_M3040_H24,CTX_ALL,96,20.0,5.0,40,24,"{""range_filter"": ""all"", ""session_filter"": ""all"", ""spread_filter"": ""all""}",2193,439,3.236465907727461,0.1608209306639341,0.5015959872321022,3.9306445336943883,2.204964734384254,0.492018244013683,7.35777127912606,0.5398633257403189,4,1,-1.1201366343984382,1.7454640411506004,0.25446217457373965,1207,3.0562380163721095,0.5020712510356256,0.5672594619243047,0.006839945280437756,2022-05-02T12:05:00Z,2026-06-19T03:35:00Z,1508.6458333333333,NO_PASS,win_rate_lt_min;worst_year_lt_min
