ts_utc,family,candidate,side,horizon_h,entry_close,raw_return_bps,cost_return_bps,slip16_return_bps,hour_utc,weekday,session_utc,year,quarter,mae_bps,mfe_bps,touch_stop_100bps
2022-11-25 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1751.22,0.17130914448104662,-7.828690855518953,-23.828690855518953,18,Friday,NY_LATE,2022,2022Q4,-67.61000902228088,70.17964618951433,False
2022-12-02 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1785.55,-73.59077035087202,-81.59077035087202,-97.59077035087202,17,Friday,NY_LATE,2022,2022Q4,-111.22623281341836,135.92450505446553,True
2022-12-12 21:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1781.42,131.91723456568383,123.91723456568383,107.91723456568383,21,Monday,NY_LATE,2022,2022Q4,-11.5076736536035,240.93139181102563,False
2022-12-19 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1787.95,158.50555105008544,150.50555105008544,134.50555105008544,18,Monday,NY_LATE,2022,2022Q4,-19.519561508990478,199.6700131435447,False
2023-01-03 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1834.09,-19.355647759924377,-27.355647759924377,-43.35564775992438,18,Tuesday,NY_LATE,2023,2023Q1,-50.05206941862128,168.20330518131587,False
2023-01-05 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1835.88,191.89707388282295,183.89707388282295,167.89707388282295,20,Thursday,NY_LATE,2023,2023Q1,-33.06316316970648,247.4017909667281,False
2023-01-11 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1871.9,222.44778033014612,214.44778033014612,198.44778033014612,17,Wednesday,NY_LATE,2023,2023Q1,-26.44372028420383,237.61953095785105,False
2023-01-23 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1922.82,52.110962024527474,44.110962024527474,28.110962024527474,17,Monday,NY_LATE,2023,2023Q1,-30.476071603166012,101.46555579825467,False
2023-01-26 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1925.77,-9.035346900201358,-17.035346900201358,-33.03534690020136,18,Thursday,NY_LATE,2023,2023Q1,-48.084662239000764,47.14997118035802,False
2023-01-30 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1924.15,6.756230023645671,-1.2437699763543293,-17.24376997635433,19,Monday,NY_LATE,2023,2023Q1,-122.13185042746156,46.098277161343844,True
2023-02-02 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1926.01,-312.7709617291707,-320.7709617291707,-336.7709617291707,17,Thursday,NY_LATE,2023,2023Q1,-344.07921038831614,0.6749705349395896,True
2023-02-06 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1866.3,48.86674168140148,40.86674168140148,24.86674168140148,18,Monday,NY_LATE,2023,2023Q1,-15.59234849702551,107.48539891764386,False
2023-02-13 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1851.47,-89.7665098543321,-97.7665098543321,-113.7665098543321,19,Monday,NY_LATE,2023,2023Q1,-113.47739903968201,102.08104911232584,True
2023-02-22 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1833.07,-126.78184684709271,-134.7818468470927,-150.7818468470927,19,Wednesday,NY_LATE,2023,2023Q1,-131.90985614297213,5.673542199697845,True
2023-03-27 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1954.16,76.45228640438705,68.45228640438705,52.45228640438705,17,Monday,NY_LATE,2023,2023Q1,-25.893478527859727,107.66774470872376,False
2023-04-14 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1999.48,37.809830555943776,29.809830555943776,13.809830555943776,19,Friday,NY_LATE,2023,2023Q2,-91.92390021405595,77.57016824374352,False
2023-04-21 19:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1977.41,66.09656065257097,58.09656065257097,42.09656065257097,19,Friday,NY_LATE,2023,2023Q2,-17.04249498080901,118.64003924325183,False
2023-04-26 20:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1988.26,11.668494060133039,3.668494060133039,-12.331505939866961,20,Wednesday,NY_LATE,2023,2023Q2,-71.06716425417159,74.93989719654425,False
2023-05-05 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,2010.58,76.69428722060445,68.69428722060445,52.69428722060445,17,Friday,NY_LATE,2023,2023Q2,-14.025803499487788,110.21695232221518,False
2023-05-18 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1955.95,84.10235435466262,76.10235435466262,60.10235435466262,18,Thursday,NY_LATE,2023,2023Q2,-10.634218666122353,143.81758224903507,False
2023-05-25 18:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1945.39,2.8271966032522577,-5.172803396747742,-21.172803396747742,18,Thursday,NY_LATE,2023,2023Q2,-45.18374207742482,60.55341088419208,False
2023-06-02 17:00:00+00:00,41B_NY_IMPULSE_EXHAUSTION_REVERSAL,NY_EXHAUST_REV_LONG_L12_M1.0,LONG,48,1964.95,-25.395048220056005,-33.395048220056005,-49.395048220056005,17,Friday,NY_LATE,2023,2023Q2,-136.84826585918296,6.717728186467209,True
