family,name,london_move_atr_min,eff_min,ny_cont_atr_min,entry_hour,horizon_min,tp_atr,sl_atr,stage,events,pf_x1,pf_x4,total_x1,total_x4,median_x1,win_rate_x1,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,first_entry,last_entry,proxy_rank_score
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.2_h90_e13_tp0.4_sl0.5,0.9,0.6,0.2,13,90,0.4,0.5,proxy_m15,80,0.5487,0.1792,-59.2112,-143.2112,0.6346,0.525,0.5964,0.2636,0.4137,2022-05-02 13:15:00,2026-05-04 13:15:00,2.7867
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.2_h180_e13_tp0.4_sl0.5,0.9,0.6,0.2,13,180,0.4,0.5,proxy_m15,80,0.5487,0.1792,-59.2112,-143.2112,0.6346,0.525,0.5964,0.2636,0.4137,2022-05-02 13:15:00,2026-05-04 13:15:00,2.7867
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.2_h90_e13_tp0.4_sl0.5,1.2,0.6,0.2,13,90,0.4,0.5,proxy_m15,79,0.5343,0.1744,-61.1035,-144.0535,0.6011,0.519,0.5922,0.2636,0.4118,2022-05-02 13:15:00,2026-05-04 13:15:00,2.74075
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.2_h180_e13_tp0.4_sl0.5,1.2,0.6,0.2,13,180,0.4,0.5,proxy_m15,79,0.5343,0.1744,-61.1035,-144.0535,0.6011,0.519,0.5922,0.2636,0.4118,2022-05-02 13:15:00,2026-05-04 13:15:00,2.74075
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e13_tp0.6_sl0.65,1.2,0.6,0.0,13,90,0.6,0.65,proxy_m15,147,0.4526,0.2207,-207.2661,-361.6161,-1.8436,0.449,0.3554,0.0242,0.2837,2022-05-02 13:15:00,2026-05-04 13:15:00,2.68375
london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h180_e13_tp0.6_sl0.65,1.2,0.6,0.0,13,180,0.6,0.65,proxy_m15,147,0.4393,0.2286,-239.5224,-393.8724,-2.1277,0.4626,0.3507,0.0634,0.2977,2022-05-02 13:15:00,2026-05-04 13:15:00,2.67435
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.0_h90_e13_tp0.6_sl0.65,0.9,0.6,0.0,13,90,0.6,0.65,proxy_m15,151,0.4177,0.2063,-243.0723,-401.6223,-1.9351,0.4437,0.2802,0.0189,0.3322,2022-05-02 13:15:00,2026-05-20 13:15:00,2.59785
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.0_h180_e13_tp0.6_sl0.65,0.9,0.6,0.0,13,180,0.6,0.65,proxy_m15,151,0.3896,0.2061,-298.6748,-457.2248,-2.1505,0.457,0.2515,0.0456,0.3296,2022-05-02 13:15:00,2026-05-20 13:15:00,2.51015
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.2_h90_e13_tp0.6_sl0.65,0.9,0.6,0.2,13,90,0.6,0.65,proxy_m15,80,0.4451,0.2013,-108.4038,-192.4038,-2.1391,0.4625,0.3558,0.0,0.3818,2022-05-02 13:15:00,2026-05-04 13:15:00,2.3291
london_oneway_fade,london_oneway_fade_mv0.9_eff0.6_cont0.2_h180_e13_tp0.6_sl0.65,0.9,0.6,0.2,13,180,0.6,0.65,proxy_m15,80,0.4426,0.2027,-111.2112,-195.2112,-2.1649,0.4625,0.3558,0.0,0.3832,2022-05-02 13:15:00,2026-05-04 13:15:00,2.3269
