stage,decision_scope,promotion,candidate,family,side,horizon_hours,lookback_hours,trigger_type,threshold,entry_idx,entry_utc,exit_idx,exit_utc,year,entry_close,exit_close,final_bps,mfe_bps,mae_bps,max_adverse_hour,max_favorable_hour,source_stage39a_residual_bps,source_stage39a_event_clock_n
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,19807,2025-07-08T17:00:00+00:00,19879,2025-07-11T17:00:00+00:00,2025,3296.4,3360.92,195.7286737046471,203.52505763863604,-42.136876592646644,18,72,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,20199,2025-07-30T22:00:00+00:00,20271,2025-08-04T21:00:00+00:00,2025,3269.21,3375.69,325.70559860027436,355.19284475454384,-3.640023124853453,0,67,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,20388,2025-08-11T17:00:00+00:00,20460,2025-08-14T17:00:00+00:00,2025,3346.1,3340.4,-17.03475688114464,86.48874809479734,-45.5156749648844,24,58,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,20535,2025-08-19T19:00:00+00:00,20607,2025-08-22T19:00:00+00:00,2025,3317.26,3370.59,160.7652098418577,185.60498724851104,-17.87619903173221,9,71,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,21641,2025-10-22T13:00:00+00:00,21713,2025-10-27T11:00:00+00:00,2025,4034.59,4039.48,12.12019065134129,297.0809921206352,-59.08902763353985,4,28,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,21735,2025-10-28T09:00:00+00:00,21807,2025-10-31T09:00:00+00:00,2025,3932.15,4020.96,225.8560838218271,288.51900359853965,-116.37399387103842,2,63,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,22085,2025-11-17T21:00:00+00:00,22157,2025-11-20T21:00:00+00:00,2025,4010.92,4084.35,183.07520469119208,302.69863273263866,-32.311788816531404,12,44,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,22776,2025-12-29T17:00:00+00:00,22848,2026-01-02T17:00:00+00:00,2025,4325.15,4335.35,23.58299712148959,182.72198652069972,-117.70690033871657,39,22,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,23344,2026-02-02T05:00:00+00:00,23416,2026-02-05T05:00:00+00:00,2026,4646.01,4880.75,505.250742034562,959.2316848220306,-522.5128658784639,3,53,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,23611,2026-02-17T07:00:00+00:00,23683,2026-02-20T07:00:00+00:00,2026,4888.75,5011.7,251.49578113014437,272.6054717463566,-93.33674252109402,9,58,12.930408592169847,87
