decision,filter_name,rule,retained_events,removed_events,retained_ratio,pf_x1,pf_x4,pf_x6,total_x1,total_x4,total_x6,win_rate_x4,median_x4,improvement_pf_x4
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,london_eff_drop_low20,keep rows satisfying london_eff_drop_low20,375,93,0.8013,6.2931861381807535,3.15067760780958,1.8747339407254475,954.2384999999999,560.4885,297.98850000000016,0.7813333333333333,1.0780000000000003,0.2710986650608316
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,london_eff_middle_20_80,keep rows satisfying london_eff_middle_20_80,285,183,0.609,6.087586946887272,3.0430917159345996,1.815316796168654,726.54308,427.29308000000003,227.7930800000001,0.7614035087719299,1.0870000000000002,0.16351277318585122
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,london_eff_drop_high30,keep rows satisfying london_eff_drop_high30,330,138,0.7051,6.058899976451286,3.030483542954003,1.791940085235418,818.27611,471.77611,240.77611000000007,0.7848484848484848,1.0312900000000005,0.15090460020525454
STAGE25A_REJECT,keep_london_aligned,trade direction aligned with London move,468,0,1.0,5.86384088059708,2.8795789427487484,1.6681425688004845,1102.9809300000002,611.58093,283.98093000000017,0.7799145299145299,1.0094300000000005,0.0
STAGE25A_REJECT,keep_entry_hour_13,entry hour equals 13,468,0,1.0,5.86384088059708,2.8795789427487484,1.6681425688004845,1102.9809300000002,611.58093,283.98093000000017,0.7799145299145299,1.0094300000000005,0.0
STAGE25A_REJECT,diagnostic_drop_year_2024,diagnostic only: exclude year 2024,339,129,0.7244,5.518154437747019,2.8136258597731763,1.7182496583414284,849.68697,493.73697000000004,256.4369700000001,0.7522123893805309,0.8534299999999999,-0.06595308297557212
STAGE25A_REJECT,london_eff_drop_high20,keep rows satisfying london_eff_drop_high20,378,90,0.8077,5.6237561992929495,2.746492670714973,1.587709232344739,875.2855099999999,478.38551,213.78551000000013,0.7645502645502645,0.92286,-0.13308627203377554
STAGE25A_REJECT,keep_prior_day_aligned,trade direction aligned with prior-day direction,237,231,0.5064,5.203780343640717,2.6252643942711913,1.5533775122073663,542.97452,294.12452,128.2245200000001,0.7763713080168776,1.0870000000000002,-0.2543145484775571
STAGE25A_REJECT,diagnostic_drop_year_2025,diagnostic only: exclude year 2025,375,93,0.8013,5.593675387437584,2.4940813145510123,1.297218993174073,752.69567,358.94567,96.4456700000001,0.784,0.84829,-0.38549762819773603
STAGE25A_REJECT,diagnostic_drop_year_2026,diagnostic only: exclude year 2026,450,18,0.9615,4.522828322542521,2.003059481984676,1.0267683886358825,798.87738,326.37738,11.377380000000155,0.7711111111111111,0.9065750000000001,-0.8765194607640723
