timeframe,group,key,n,min,p10,median,p90,p95,p99,max,mean
M15,quarter,2022Q4,370,2.0073877953863537,2.3255005971696194,2.4344703744471667,2.6594533974751573,2.856128636852791,3.7794757805058667,6.217823476561943,2.498192590636698
M15,quarter,2023Q1,367,1.1042236554822196,1.221261359978104,1.3478505826758067,2.252193118330296,2.293552939196107,3.4419798994252924,8.209304425636017,1.7239878080912825
M15,quarter,2023Q2,370,1.1034344396935463,1.1983718620896209,1.7170904155593008,1.9235973849677326,2.0946837891438217,3.3847646379183525,4.989557935454667,1.6471670514302656
M15,quarter,2023Q3,373,0.7804989729934346,1.7344509659396443,1.9122385853569037,2.2951392778884916,2.4337102178782732,3.429064269403339,4.362831789462203,1.9680673474601573
M15,quarter,2023Q4,383,1.4454810648211027,1.9465496979984929,2.0414412575278145,2.554373323035798,2.819693730393595,4.342240831730286,7.453208301961411,2.2062297703086693
M15,quarter,2024Q1,392,1.3870667583671914,1.8157545067996932,1.9658362311458495,2.024213087926905,2.3280669961832263,4.052379696084308,4.469451300362025,1.9907522890370482
M15,quarter,2024Q2,387,1.046332930059183,1.2752784468587168,1.3746649254244276,1.7840075069675574,2.0110738149450933,3.8296765752792767,3.8792100204305062,1.545097860165887
M15,quarter,2024Q3,389,1.1262688122087539,1.1923649000310916,1.2866300906323682,1.753844603594522,1.9997774830404922,3.1830403844280353,6.630988486646648,1.4252135077040902
M15,quarter,2024Q4,380,1.0955102338914349,1.1291712848212372,1.1702054446439525,1.4291171155002085,1.6380200340799398,2.6921960067048554,6.825873492540159,1.2643493376546482
M15,quarter,2025Q1,374,0.9925748993817218,1.0246571347601687,1.0682900338324728,1.2601453162212926,1.5778559482085743,3.299101525461125,4.617466026993706,1.1594568255427304
M15,quarter,2025Q2,372,0.8678020410036466,0.9160580546024328,0.9351083811083241,0.9959598592876355,1.0389756209607153,1.6070488029995218,5.917355371900827,0.9730117218927616
M15,quarter,2025Q3,375,0.673772810286956,0.7238290312283833,0.7935114276666576,0.8814688234849088,1.044654520548582,1.0510055915507512,1.0516795322129442,0.8058806610758792
M15,quarter,2025Q4,379,0.5795996526860544,0.6482376733777976,0.7124388131752046,0.8300353917482293,0.8831957916669412,1.7643554859312125,2.1017043735380927,0.7430552796138769
M15,quarter,2026Q1,388,0.6232550077079115,0.7594279425338084,0.8713754653066762,1.014408149835768,1.224956475171573,1.3897479420932117,2.4534271839731985,0.901743161044525
M15,quarter,2026Q2,326,0.7856811674808634,0.823458832804005,0.9327030951899944,0.9689175707721172,0.9736861344217145,1.1814140617793718,1.1854050298491574,0.9213052139970047
H1,session,ASIA_00_07,986,0.5958953126530921,0.7706938719001615,1.2708371050369554,2.434722628344711,2.5811556558953406,2.7461137697210964,2.7683959913626044,1.477589549064903
H1,session,LONDON_07_12,0,,,,,,,,
H1,session,LONDON_NY_OVERLAP_12_16,0,,,,,,,,
H1,session,NY_16_21,0,,,,,,,,
H1,session,ROLLOVER_OTHER_21_24,318,0.5790932846894974,0.7710139912950308,1.2097489951550084,2.44640264704823,2.6916197345881794,2.998338103518856,3.0411859519326736,1.4264914837858005
H1,hour_utc,0,986,0.5958953126530921,0.7706938719001615,1.2708371050369554,2.434722628344711,2.5811556558953406,2.7461137697210964,2.7683959913626044,1.477589549064903
H1,hour_utc,1,0,,,,,,,,
H1,hour_utc,2,0,,,,,,,,
H1,hour_utc,3,0,,,,,,,,
H1,hour_utc,4,0,,,,,,,,
H1,hour_utc,5,0,,,,,,,,
H1,hour_utc,6,0,,,,,,,,
H1,hour_utc,7,0,,,,,,,,
H1,hour_utc,8,0,,,,,,,,
H1,hour_utc,9,0,,,,,,,,
H1,hour_utc,10,0,,,,,,,,
H1,hour_utc,11,0,,,,,,,,
H1,hour_utc,12,0,,,,,,,,
H1,hour_utc,13,0,,,,,,,,
H1,hour_utc,14,0,,,,,,,,
H1,hour_utc,15,0,,,,,,,,
H1,hour_utc,16,0,,,,,,,,
H1,hour_utc,17,0,,,,,,,,
H1,hour_utc,18,0,,,,,,,,
H1,hour_utc,19,0,,,,,,,,
H1,hour_utc,20,0,,,,,,,,
H1,hour_utc,21,3,1.748033462354851,1.8591197838033913,2.303465069597552,2.4665967533343793,2.4869882138014825,2.5033013821751653,2.507379674268586,2.186292735406996
H1,hour_utc,22,15,0.6366572555664658,0.8053571349192422,1.097293343087052,1.8489478189826414,2.001340499457956,2.006603388917857,2.0079191112828325,1.2544177849477214
H1,hour_utc,23,300,0.5790932846894974,0.7685049583563031,1.2062378649405494,2.453493039512453,2.6978474396376204,2.9998896148803262,3.0411859519326736,1.4274971562114924
H1,weekday,Friday,197,0.5958953126530921,0.7654841710215953,1.27832011692368,2.403626499383768,2.538160035831218,2.741181686955131,2.7683959913626044,1.482081560490737
H1,weekday,Monday,232,0.6130141730055673,0.7719641744311152,1.2536092830653804,2.4336078669411867,2.6451940745892686,2.903130220529921,3.0411859519326736,1.471913786968111
H1,weekday,Sunday,226,0.5924170616113744,0.7687051425606632,1.2367440537579553,2.4496270958042246,2.7163285485497854,2.9977012289861675,3.0388293324382603,1.4532135055596234
H1,weekday,Thursday,218,0.5790932846894974,0.7719149371082387,1.2564088478651518,2.4309692351164163,2.5416209704937938,2.7262304683082035,2.753262271634102,1.4576707002462046
H1,weekday,Tuesday,216,0.5960141553361893,0.7755816969695164,1.2427618793302826,2.4287879706091537,2.5579388360323505,2.741879638927068,2.764053484434924,1.4610540582771305
H1,weekday,Wednesday,215,0.6247503251404937,0.7674911094607775,1.2579565753390194,2.4346302065536785,2.5737201532048877,2.7468493783324264,2.762476726133582,1.466452928979508
H1,quarter,2022Q2,55,2.634744107065462,2.6751369246430485,2.722206947616572,2.9707521374293386,2.9923317489393466,3.0163961409269286,3.0362039721828515,2.762241501932484
H1,quarter,2022Q3,81,1.9161703644527857,2.2910163521292137,2.4435546156274044,2.690753682969104,2.764053484434924,3.0393006563371427,3.0411859519326736,2.448693188479172
H1,quarter,2022Q4,78,1.8316492336213093,2.317242202132501,2.3976520153066296,2.5463345221556235,2.571739159919886,2.581498835135027,2.5822992608168365,2.4103912971500336
H1,quarter,2023Q1,77,1.1174986316991187,1.215441968949808,1.3146920950029375,2.2476203326773927,2.268312310209727,2.2966698636870695,2.303465069597552,1.647701327198511
H1,quarter,2023Q2,79,1.097563409231506,1.1952551999819987,1.6877406736815457,1.7526684511697521,1.76757093743946,1.780598161907277,1.7817115173238693,1.5395351258209475
H1,quarter,2023Q3,80,0.7805812207769905,1.2011860032934165,1.7333596255476698,1.7771241655446186,1.7961016812171386,1.8412035334829946,1.998495868898671,1.581242682388004
H1,quarter,2023Q4,78,0.9932717662500443,1.8198108403083166,2.000426906003087,2.0565152107433495,2.0789452936432795,2.0995267149729284,2.1484584810398544,1.950400973329764
H1,quarter,2024Q1,78,1.4925001865625231,1.6180471190347698,1.9605670204526913,1.9798790971409033,1.9866079641323895,2.1628257542545843,2.6814444047193424,1.898046565379578
H1,quarter,2024Q2,80,0.9147975030384345,1.2617931406529261,1.290319135169645,1.7223003459203068,1.7408181809062735,1.778838530324456,1.7827695324686903,1.4020391503218452
H1,quarter,2024Q3,81,1.1224751324988353,1.1595446468171948,1.2190600031492385,1.2730123503414859,1.290471054196558,1.5243808486191208,1.721440845988092,1.2282671545155424
H1,quarter,2024Q4,80,1.0768126346015794,1.096303402133251,1.1326476726919807,1.1545247875261513,1.166391177184579,1.1989355328920757,1.2073660649015856,1.1295231578778975
H1,quarter,2025Q1,79,1.002961973182091,1.0247443326735357,1.0633508414621073,1.1275883102109283,1.1362633718171828,1.1807135446396795,1.313240749860468,1.0716627413914575
H1,quarter,2025Q2,79,0.8629931923113944,0.9148475126932191,0.9346231132295902,0.9725564915631866,0.9954407363207304,1.03980944189563,1.0405320811145107,0.9396314037108804
H1,quarter,2025Q3,80,0.6785668146899276,0.7048493937620642,0.7716341446649324,0.7878476990901214,1.0442338726507434,1.051007344210468,1.0512436212038843,0.7732984398441101
H1,quarter,2025Q4,80,0.5790932846894974,0.6211797684420332,0.6533833083228835,0.7612799882858758,0.76843705983295,0.8753419642383993,0.875388957774577,0.680552423302856
H1,quarter,2026Q1,79,0.6213290616960342,0.7483571150520465,0.8523824931851458,1.0020333300854058,1.231891136436729,1.3792669240727022,1.3817003129364493,0.8780505187410933
H1,quarter,2026Q2,60,0.7854107879272028,0.7965890656149667,0.8197505926916819,0.9385244280683508,0.9495137774397079,0.9847385657694862,0.9860495895294682,0.8415685626573464
M5,session,ASIA_00_07,12139,0.5953198699455053,0.7927599085563114,1.3109322814094908,2.499456739927687,2.6974794348074123,2.8276283902677366,6.40699257021518,1.5565474349152741
M5,session,LONDON_07_12,9,0.8233657476418289,0.8238617638761324,1.1898726960160335,1.918707163573328,2.205110802297778,2.434233713277338,2.491514441022228,1.3598570924100306
M5,session,LONDON_NY_OVERLAP_12_16,13,0.8856480729774012,1.1535666954624118,1.4586691311228939,1.600474997596506,1.6007754385645088,1.6010343493479853,1.6010990770438545,1.415643266511391
M5,session,NY_16_21,14,0.8239692659463802,1.0910824072756669,1.4683215945326975,2.657412865525925,2.661861255539503,2.668251552568575,2.6698491268258433,1.7301137635499344
M5,session,ROLLOVER_OTHER_21_24,4687,0.5795066392515449,0.7956098836511981,1.3968550584389834,2.751671063092152,3.03756183694334,4.469359879979464,9.858266987468834,1.6626798872187853
M5,hour_utc,0,11864,0.5953198699455053,0.7897685342885935,1.3072726712136329,2.474639001584702,2.6965034777874433,2.8272051935073628,6.40699257021518,1.5491122563997075
