candidate_id,family_id,direction,hold_bars,news_mode,entry_time,entry_close,exit_close,gross_bps,round_trip_cost_bps,net_bps,year,quarter,is_news_blackout
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-23T21:00:00Z,1853.39,1855.75,12.733423618342954,0.0,12.733423618342954,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-23T22:00:00Z,1855.75,1852.85,-15.627104944093695,0.0,-15.627104944093695,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-23T23:00:00Z,1852.85,1853.44,3.1842836711026834,0.0,3.1842836711026834,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T00:00:00Z,1866.05,1865.5,-2.9474022668196653,200.0,-202.94740226681967,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T01:00:00Z,1865.5,1866.05,2.9482712409545364,200.0,-197.05172875904546,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T02:00:00Z,1866.05,1866.09,0.2143565284962179,0.0,0.2143565284962179,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T03:00:00Z,1866.09,1862.33,-20.14908176990349,0.0,-20.14908176990349,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T04:00:00Z,1862.33,1862.81,2.577416462172799,0.0,2.577416462172799,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T05:00:00Z,1862.81,1860.58,-11.971161846887624,0.0,-11.971161846887624,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T06:00:00Z,1860.58,1862.03,7.79326876565456,0.0,7.79326876565456,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T07:00:00Z,1862.03,1861.18,-4.564910339790451,0.0,-4.564910339790451,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T08:00:00Z,1861.18,1857.96,-17.30085214756261,0.0,-17.30085214756261,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T09:00:00Z,1857.96,1858.63,3.6061056212188802,0.0,3.6061056212188802,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T10:00:00Z,1858.63,1857.4,-6.617777610390396,0.0,-6.617777610390396,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T11:00:00Z,1857.4,1857.59,1.0229352858814877,0.0,1.0229352858814877,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T12:00:00Z,1857.59,1854.1,-18.78778417196525,0.0,-18.78778417196525,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T13:00:00Z,1854.1,1854.51,2.2113154630276632,0.0,2.2113154630276632,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T14:00:00Z,1854.51,1853.73,-4.205962761052451,0.0,-4.205962761052451,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T15:00:00Z,1853.73,1850.83,-15.644133719582287,0.0,-15.644133719582287,2022,2022Q2,False
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,2022-05-25T16:00:00Z,1850.83,1850.05,-4.214325464790836,0.0,-4.214325464790836,2022,2022Q2,False
