candidate_id,family_id,direction,hold_bars,news_mode,params_json,event_count,mean_gross_bps,mean_cost_bps,mean_net_bps,median_net_bps,win_rate,total_net_bps,train_event_count,train_mean_net_bps,oos_event_count,oos_mean_net_bps,quarter_count,worst_quarter_mean_net_bps,best_quarter_mean_net_bps,max_year_event_pct,benchmark_mean_net_bps,residual_vs_benchmark_bps,bootstrap_mean_p05_bps,classification
EXTCTX_D_LONG_H4_T2_REAL0_exclude,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,exclude,"{""threshold"": 2, ""use_real_yield"": false}",4880,-0.33237845211377465,11.55905067574885,-11.891429127862624,-0.7455917726956196,0.4788934426229508,-58030.174143969605,3100,-11.907560535375024,1780,-11.863335103543276,17,-20.95568742005827,-6.982077825314051,0.2651639344262295,-11.487330142005401,-0.4040989858572228,-13.074380221651626,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_D_LONG_H4_T2_REAL0_tag_only,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,tag_only,"{""threshold"": 2, ""use_real_yield"": false}",4880,-0.33237845211377465,11.55905067574885,-11.891429127862624,-0.7455917726956196,0.4788934426229508,-58030.174143969605,3100,-11.907560535375024,1780,-11.863335103543276,17,-20.95568742005827,-6.982077825314051,0.2651639344262295,-11.487330142005401,-0.4040989858572228,-13.120731388447497,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.25_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.25}",3759,-0.08622901114546722,11.87241090124214,-11.958639912387607,-0.5670727703599443,0.48629954775206174,-44952.52743066502,2432,-12.400817719449181,1327,-11.148258279551328,17,-20.827830459433077,-6.047047882311248,0.2561851556264964,-11.487330142005401,-0.4713097703822058,-13.52286899136528,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.25_confirm_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,tag_only,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.25}",3759,-0.08622901114546722,11.87241090124214,-11.958639912387607,-0.5670727703599443,0.48629954775206174,-44952.52743066502,2432,-12.400817719449181,1327,-11.148258279551328,17,-20.827830459433077,-6.047047882311248,0.2561851556264964,-11.487330142005401,-0.4713097703822058,-13.398728632473935,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_D_LONG_H4_T3_REAL1_exclude,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,exclude,"{""threshold"": 3, ""use_real_yield"": true}",4371,-0.5244232797683767,11.472815600067303,-11.997238879835681,-0.826395058156626,0.4776938915579959,-52439.93114376176,2736,-11.810877395806722,1635,-12.309095161366706,17,-21.43894050925215,-6.911846807950254,0.2685884237016701,-11.487330142005401,-0.5099087378302798,-13.374276947537101,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_D_LONG_H4_T3_REAL1_tag_only,EXTCTX_D_COMPOSITE_CONTEXT_SCORE,long,4,tag_only,"{""threshold"": 3, ""use_real_yield"": true}",4371,-0.5244232797683767,11.472815600067303,-11.997238879835681,-0.826395058156626,0.4776938915579959,-52439.93114376176,2736,-11.810877395806722,1635,-12.309095161366706,17,-21.43894050925215,-6.911846807950254,0.2685884237016701,-11.487330142005401,-0.5099087378302798,-13.170859099228169,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.50_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.5}",18806,-0.5055527124558976,11.574640199998807,-12.080192912454706,-1.5879277051866758,0.45310007444432626,-227180.1079116232,12247,-12.382246371151629,6559,-11.516197073354043,17,-18.193670782377634,-9.479903077897735,0.25949165160055304,-12.193059299741574,0.11286638728686782,-12.758974274743801,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_SHORT_H4_Q0.50_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,short,4,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.5}",18806,-0.5055527124558976,11.574640199998807,-12.080192912454706,-1.5879277051866758,0.45310007444432626,-227180.1079116232,12247,-12.382246371151629,6559,-11.516197073354043,17,-18.193670782377634,-9.479903077897735,0.25949165160055304,-12.193059299741574,0.11286638728686782,-12.7329479568989,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H8_Q0.50_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,8,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.5}",9416,0.6226612790038439,12.722083495444384,-12.09942221644054,-0.8582306967080955,0.481839422259983,-113928.15959000413,5949,-13.369087191085695,3467,-9.92081335166868,17,-21.304285484250034,-7.632465489952607,0.2659303313508921,-11.19327076142473,-0.9061514550158112,-13.089553270385323,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H8_Q0.50_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,8,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.5}",9416,0.6226612790038439,12.722083495444384,-12.09942221644054,-0.8582306967080955,0.481839422259983,-113928.15959000413,5949,-13.369087191085695,3467,-9.92081335166868,17,-21.304285484250034,-7.632465489952607,0.2659303313508921,-11.19327076142473,-0.9061514550158112,-13.091146867769002,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
