trades,total_x4,pf_x4,median_x4,wr,dd_x4,variant,period_type,period,start_utc,end_utc
14,45.76,1.559413,1.8,0.714286,-34.96,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-08,2023-08-02T02:00:00+00:00,2023-08-21T05:00:00+00:00
11,124.08,5.203252,5.96,0.727273,-16.24,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-09,2023-09-07T12:00:00+00:00,2023-09-29T10:00:00+00:00
4,5.52,1.32243,1.76,0.5,-13.16,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-10,2023-10-03T12:00:00+00:00,2023-10-05T23:00:00+00:00
10,-112.04,0.155562,-2.82,0.3,-127.16,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-11,2023-11-01T14:00:00+00:00,2023-11-14T11:00:00+00:00
8,11.68,1.125376,3.54,0.75,-73.48,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2023-12,2023-12-05T02:00:00+00:00,2023-12-19T10:00:00+00:00
11,-4.28,0.952508,-8.8,0.181818,-72.88,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-01,2024-01-03T05:00:00+00:00,2024-01-26T04:00:00+00:00
7,-36.92,0.229549,-3.28,0.428571,-37.96,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-02,2024-02-05T21:00:00+00:00,2024-02-15T11:00:00+00:00
6,-151.52,0.18274,-10.26,0.166667,-151.52,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-03,2024-03-13T13:00:00+00:00,2024-03-20T15:00:00+00:00
4,110.32,5.804878,16.94,0.5,-16.16,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-04,2024-04-23T02:00:00+00:00,2024-04-25T11:00:00+00:00
7,-120.08,0.116799,-4.52,0.428571,-120.08,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-05,2024-05-01T18:00:00+00:00,2024-05-30T13:00:00+00:00
9,-224.72,0.113321,-22.44,0.111111,-224.72,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-06,2024-06-03T10:00:00+00:00,2024-06-27T05:00:00+00:00
5,-62.64,0.301828,-0.36,0.4,-89.36,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-07,2024-07-22T02:00:00+00:00,2024-07-26T12:00:00+00:00
7,-170.44,0.321713,-39.0,0.142857,-239.68,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-08,2024-08-05T20:00:00+00:00,2024-08-29T04:00:00+00:00
3,31.08,2.094366,20.2,0.666667,-28.4,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-09,2024-09-02T01:00:00+00:00,2024-09-04T14:00:00+00:00
11,34.48,1.184385,-12.48,0.454545,-124.88,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-10,2024-10-01T04:00:00+00:00,2024-10-28T08:00:00+00:00
13,-57.28,0.813784,8.56,0.538462,-186.2,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-11,2024-11-04T02:00:00+00:00,2024-11-27T08:00:00+00:00
10,-242.96,0.094379,-20.94,0.1,-242.96,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2024-12,2024-12-03T01:00:00+00:00,2024-12-31T10:00:00+00:00
2,-61.28,0.107746,-30.64,0.5,-68.68,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-01,2025-01-28T01:00:00+00:00,2025-01-28T11:00:00+00:00
3,39.88,2.515198,-8.64,0.333333,-26.32,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-02,2025-02-17T05:00:00+00:00,2025-02-28T12:00:00+00:00
8,-127.92,0.284564,-0.78,0.5,-158.64,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-03,2025-03-03T03:00:00+00:00,2025-03-26T03:00:00+00:00
9,-118.24,0.697441,1.6,0.555556,-305.36,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-04,2025-04-04T01:00:00+00:00,2025-04-30T17:00:00+00:00
13,-9.36,0.981387,-22.2,0.461538,-247.48,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-05,2025-05-01T15:00:00+00:00,2025-05-29T15:00:00+00:00
17,35.32,1.095532,-1.68,0.470588,-115.72,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-06,2025-06-01T23:00:00+00:00,2025-06-30T19:00:00+00:00
9,167.84,3.689744,-4.2,0.333333,-36.12,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-07,2025-07-09T17:00:00+00:00,2025-07-31T05:00:00+00:00
7,-184.16,0.072896,-24.0,0.285714,-184.16,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-08,2025-08-01T05:00:00+00:00,2025-08-20T08:00:00+00:00
1,10.96,999.0,10.96,1.0,0.0,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-09,2025-09-19T07:00:00+00:00,2025-09-19T07:00:00+00:00
7,372.12,2.18949,22.12,0.571429,-199.44,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-10,2025-10-22T09:00:00+00:00,2025-10-30T06:00:00+00:00
6,-384.8,0.0,-51.38,0.0,-384.8,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-11,2025-11-05T06:00:00+00:00,2025-11-24T11:00:00+00:00
6,-172.36,0.411258,-46.56,0.333333,-180.84,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2025-12,2025-12-04T11:00:00+00:00,2025-12-31T16:00:00+00:00
8,344.68,1.854268,8.52,0.5,-364.2,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2026-02,2026-02-02T11:00:00+00:00,2026-02-18T06:00:00+00:00
14,1439.76,3.437957,60.9,0.642857,-121.4,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2026-03,2026-03-04T03:00:00+00:00,2026-03-24T12:00:00+00:00
8,161.92,1.616134,8.02,0.625,-141.4,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2026-04,2026-04-07T11:00:00+00:00,2026-04-28T20:00:00+00:00
10,188.64,1.476219,-16.14,0.5,-173.44,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2026-05,2026-05-05T04:00:00+00:00,2026-05-28T19:00:00+00:00
5,212.76,4.957589,14.04,0.6,-41.08,short_rally_rejection_h4sma20_slope3_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,month,2026-06,2026-06-03T14:00:00+00:00,2026-06-09T04:00:00+00:00
68,-106.04,0.887888,-2.84,0.426471,-244.04,short_rally_rejection_h4sma20_slope2_look12_comp6_1.8_rej6_imp1.2_h6_cool1_all,year,2022,2022-05-10T06:00:00+00:00,2022-12-27T04:00:00+00:00
