candidate,family,entry_time,entry_hour,direction,entry_price,atr,horizon_min,tp_atr,sl_atr,exit_time,exit_price,exit_reason,gross,net_x1,net_x4,net_x6,reason,london_range,prior_day_range,asia_range,london_q,prior_q,confirm_atr_min,pullback_atr_max,breakout_atr_min,asia_q
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-01 13:00:00+00:00,13,1,1652.48,2.497500000000025,180,0.6,0.65,2022-11-01 13:01:00+00:00,1650.856625,sl,-1.6233750000001237,-1.9733750000001238,-3.0233750000001236,-3.7233750000001233,passed_high_range_regime,15.150000000000091,13.779999999999973,9.440000000000055,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-03 13:00:00+00:00,13,-1,1620.72,2.5854999999999904,180,0.6,0.65,2022-11-03 13:23:00+00:00,1619.1687,tp,1.551300000000083,1.2013000000000829,0.15130000000008303,-0.5486999999999167,passed_high_range_regime,18.699999999999818,37.6099999999999,9.11999999999989,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-04 13:00:00+00:00,13,1,1652.0,2.6854999999999905,180,0.6,0.65,2022-11-04 13:01:00+00:00,1650.254425,sl,-1.745574999999917,-2.095574999999917,-3.145574999999917,-3.8455749999999167,passed_high_range_regime,8.700000000000045,24.37999999999988,18.419999999999845,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-09 13:00:00+00:00,13,1,1709.53,2.3739999999999783,180,0.6,0.65,2022-11-09 13:27:00+00:00,1707.9868999999999,sl,-1.543100000000095,-1.893100000000095,-2.943100000000095,-3.6431000000000946,passed_high_range_regime,11.860000000000127,52.25,6.430000000000064,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-14 13:00:00+00:00,13,-1,1754.49,2.633999999999992,180,0.6,0.65,2022-11-14 13:01:00+00:00,1756.2021,sl,-1.712099999999964,-2.062099999999964,-3.112099999999964,-3.8120999999999636,passed_high_range_regime,11.839999999999918,5.449999999999818,7.4099999999998545,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-23 13:00:00+00:00,13,1,1737.03,2.1420000000000075,180,0.6,0.65,2022-11-23 13:29:00+00:00,1738.3152,tp,1.2852000000000317,0.9352000000000317,-0.11479999999996826,-0.814799999999968,passed_high_range_regime,12.180000000000064,12.740000000000009,10.009999999999991,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-28 13:00:00+00:00,13,1,1761.26,2.3445000000000276,180,0.6,0.65,2022-11-28 13:01:00+00:00,1759.736075,sl,-1.523924999999963,-1.873924999999963,-2.923924999999963,-3.6239249999999625,passed_high_range_regime,15.220000000000027,5.539999999999964,9.789999999999964,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-11-30 13:00:00+00:00,13,1,1759.04,1.8800000000000523,180,0.6,0.65,2022-11-30 13:22:00+00:00,1760.168,tp,1.127999999999929,0.7779999999999291,-0.27200000000007085,-0.9720000000000706,passed_high_range_regime,10.210000000000036,19.48999999999978,7.899999999999864,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-12-09 13:00:00+00:00,13,-1,1793.76,1.8470000000000026,180,0.6,0.65,2022-12-09 13:01:00+00:00,1794.96055,sl,-1.200550000000021,-1.5505500000000212,-2.600550000000021,-3.3005500000000207,passed_high_range_regime,8.789999999999964,13.490000000000009,8.980000000000018,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-12-16 13:00:00+00:00,13,1,1783.29,2.5229999999999904,180,0.6,0.65,2022-12-16 13:01:00+00:00,1781.65005,sl,-1.639949999999999,-1.989949999999999,-3.039949999999999,-3.7399499999999986,passed_high_range_regime,10.599999999999909,34.799999999999955,8.639999999999873,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-12-20 13:00:00+00:00,13,1,1806.52,2.561999999999989,180,0.6,0.65,2022-12-20 13:07:00+00:00,1804.8547,sl,-1.6652999999998883,-2.0152999999998884,-3.0652999999998882,-3.765299999999888,passed_high_range_regime,20.910000000000082,15.0,11.589999999999918,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2022-12-30 13:00:00+00:00,13,1,1816.6,1.7564999999999826,180,0.6,0.65,2022-12-30 13:23:00+00:00,1817.6538999999998,tp,1.053899999999885,0.7038999999998851,-0.34610000000011487,-1.0461000000001146,passed_high_range_regime,8.910000000000082,16.450000000000045,5.330000000000155,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-01-03 13:00:00+00:00,13,-1,1832.51,3.279500000000007,180,0.6,0.65,2023-01-03 13:08:00+00:00,1834.641675,sl,-2.1316750000000866,-2.4816750000000867,-3.5316750000000865,-4.231675000000086,passed_high_range_regime,16.24000000000001,6.660000000000082,19.40000000000009,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-01-04 13:00:00+00:00,13,1,1861.86,2.888000000000011,180,0.6,0.65,2023-01-04 13:01:00+00:00,1859.9828,sl,-1.8771999999999025,-2.2271999999999026,-3.2771999999999024,-3.977199999999902,passed_high_range_regime,20.410000000000082,26.210000000000036,12.019999999999982,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-01-18 13:00:00+00:00,13,1,1914.73,2.511999999999989,180,0.6,0.65,2023-01-18 13:55:00+00:00,1916.2372,tp,1.5072000000000116,1.1572000000000116,0.10720000000001173,-0.592799999999988,passed_high_range_regime,19.339999999999918,15.2800000000002,13.089999999999918,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-01-19 13:00:00+00:00,13,-1,1909.03,2.221499999999992,180,0.6,0.65,2023-01-19 13:37:00+00:00,1907.6970999999999,tp,1.3329000000001088,0.9829000000001088,-0.06709999999989114,-0.7670999999998909,passed_high_range_regime,10.379999999999882,29.269999999999982,9.970000000000027,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-01-26 13:00:00+00:00,13,-1,1934.82,2.563000000000011,180,0.6,0.65,2023-01-26 13:33:00+00:00,1933.2821999999999,tp,1.5378000000000611,1.187800000000061,0.1378000000000612,-0.5621999999999385,passed_high_range_regime,15.129999999999882,28.659999999999854,6.610000000000127,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-01-31 13:00:00+00:00,13,-1,1904.45,2.36700000000003,180,0.6,0.65,2023-01-31 13:28:00+00:00,1903.0298,tp,1.4202000000000226,1.0702000000000225,0.020200000000022644,-0.6797999999999771,passed_high_range_regime,19.180000000000064,13.839999999999918,8.539999999999964,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-02-03 13:00:00+00:00,13,-1,1909.91,2.5180000000000176,180,0.6,0.65,2023-02-03 13:01:00+00:00,1911.5467,sl,-1.636700000000019,-1.986700000000019,-3.036700000000019,-3.7367000000000186,passed_high_range_regime,8.599999999999909,48.44999999999982,7.269999999999982,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-02-06 13:00:00+00:00,13,-1,1871.23,2.681499999999994,180,0.6,0.65,2023-02-06 13:36:00+00:00,1869.6211,tp,1.6088999999999487,1.2588999999999486,0.2088999999999488,-0.49110000000005094,passed_high_range_regime,11.180000000000064,10.089999999999918,18.769999999999982,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-02-08 13:00:00+00:00,13,1,1880.99,2.9199999999999933,180,0.6,0.65,2023-02-08 14:07:00+00:00,1882.742,tp,1.7519999999999527,1.4019999999999526,0.3519999999999528,-0.34800000000004694,passed_high_range_regime,13.2199999999998,19.3599999999999,7.039999999999964,0.35,0.1,0.0,,,
hr_london_follow_h13_lq35_pq10_c00_tp06_sl065,high_range_london_continuation_v1,2023-02-15 13:00:00+00:00,13,-1,1834.46,3.0739999999999554,180,0.6,0.65,2023-02-15 14:12:00+00:00,1836.4581,sl,-1.9981000000000222,-2.3481000000000223,-3.398100000000022,-4.098100000000022,passed_high_range_regime,16.019999999999982,27.169999999999845,13.559999999999945,0.35,0.1,0.0,,,
