variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,comp_max,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,compression6,local_high16,signal_close
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-03-06 07:30:00+00:00,2024-03-06 07:45:00+00:00,2024-03-06 09:45:00+00:00,2127.59,m15_exact_open,2131.32,3.73,3.38,3.03,2.33,3.93,2.77,london,7,0.5667036899913467,2127.17,2127.61
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-03-15 07:45:00+00:00,2024-03-15 08:00:00+00:00,2024-03-15 10:00:00+00:00,2166.93,m15_exact_open,2167.22,0.29,-0.06,-0.41,-1.11,3.12,0.29,london,7,0.7356824811914482,2165.47,2166.94
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-03-21 08:15:00+00:00,2024-03-21 08:30:00+00:00,2024-03-21 10:30:00+00:00,2206.8,m15_exact_open,2203.58,-3.22,-3.57,-3.92,-4.62,3.33,3.43,london,8,0.571108236308746,2206.26,2206.73
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-03-21 12:30:00+00:00,2024-03-21 12:45:00+00:00,2024-03-21 14:45:00+00:00,2211.12,m15_exact_open,2205.4,-5.72,-6.07,-6.42,-7.12,-2.27,7.86,new_york,12,0.523686030428756,2210.27,2211.1
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-04-05 11:00:00+00:00,2024-04-05 11:15:00+00:00,2024-04-05 13:15:00+00:00,2288.92,m15_exact_open,2295.02,6.1,5.75,5.4,4.7,7.15,4.06,london,11,0.7314880320716958,2288.29,2288.93
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-04-08 13:45:00+00:00,2024-04-08 14:00:00+00:00,2024-04-08 16:00:00+00:00,2343.19,m15_exact_open,2329.8,-13.39,-13.74,-14.09,-14.79,-0.73,20.49,new_york,13,0.5660913600661464,2341.46,2343.05
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-04-10 07:30:00+00:00,2024-04-10 07:45:00+00:00,2024-04-10 09:45:00+00:00,2354.27,m15_exact_open,2355.42,1.15,0.8,0.45,-0.25,5.69,0.42,london,7,0.6751676889415115,2354.26,2354.28
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-04-18 09:15:00+00:00,2024-04-18 09:30:00+00:00,2024-04-18 11:30:00+00:00,2378.24,m15_exact_open,2380.12,1.88,1.53,1.18,0.48,2.47,3.46,london,9,0.64042092231507,2376.87,2378.21
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-04-18 13:30:00+00:00,2024-04-18 13:45:00+00:00,2024-04-18 15:45:00+00:00,2381.6,m15_exact_open,2384.18,2.58,2.23,1.88,1.18,5.85,2.61,new_york,13,0.6873929213154394,2380.76,2381.62
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-04-19 16:45:00+00:00,2024-04-19 17:00:00+00:00,2024-04-19 19:00:00+00:00,2385.17,m15_exact_open,2393.87,8.7,8.35,8.0,7.3,10.84,6.27,new_york,16,0.6689022889490611,2384.42,2385.19
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-04-26 07:30:00+00:00,2024-04-26 07:45:00+00:00,2024-04-26 09:45:00+00:00,2336.22,m15_exact_open,2340.77,4.55,4.2,3.85,3.15,5.23,2.5,london,7,0.5691566804793395,2336.02,2336.21
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-05-15 07:00:00+00:00,2024-05-15 07:15:00+00:00,2024-05-15 09:15:00+00:00,2360.75,m15_exact_open,2357.81,-2.94,-3.29,-3.64,-4.34,2.45,5.0,london,7,0.6592208720514816,2360.68,2360.75
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-06-05 07:00:00+00:00,2024-06-05 07:15:00+00:00,2024-06-05 09:15:00+00:00,2337.01,m15_exact_open,2331.34,-5.67,-6.02,-6.37,-7.07,4.66,5.67,london,7,0.6053252443545494,2336.79,2337.03
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-06-27 07:15:00+00:00,2024-06-27 07:30:00+00:00,2024-06-27 09:30:00+00:00,2300.71,m15_exact_open,2301.63,0.92,0.57,0.22,-0.48,1.01,4.39,london,7,0.6552244735796723,2299.98,2300.71
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-07-09 07:00:00+00:00,2024-07-09 07:15:00+00:00,2024-07-09 09:15:00+00:00,2367.74,m15_exact_open,2364.17,-3.57,-3.92,-4.27,-4.97,0.94,3.67,london,7,0.6594269265994975,2366.56,2367.75
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-07-11 07:30:00+00:00,2024-07-11 07:45:00+00:00,2024-07-11 09:45:00+00:00,2381.12,m15_exact_open,2378.93,-2.19,-2.54,-2.89,-3.59,2.1,2.64,london,7,0.6563555233960359,2380.23,2381.11
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-07-30 07:00:00+00:00,2024-07-30 07:15:00+00:00,2024-07-30 09:15:00+00:00,2385.9,m15_exact_open,2389.01,3.11,2.76,2.41,1.71,4.18,0.27,london,7,0.7391518131530387,2384.69,2385.89
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-08-15 07:15:00+00:00,2024-08-15 07:30:00+00:00,2024-08-15 09:30:00+00:00,2454.81,m15_exact_open,2457.32,2.51,2.16,1.81,1.11,4.0,4.48,london,7,0.7184314835787207,2454.35,2454.82
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-08-23 07:00:00+00:00,2024-08-23 07:15:00+00:00,2024-08-23 09:15:00+00:00,2493.79,m15_exact_open,2492.27,-1.52,-1.87,-2.22,-2.92,1.85,3.44,london,7,0.7097969264544469,2493.56,2493.76
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-09-06 07:00:00+00:00,2024-09-06 07:15:00+00:00,2024-09-06 09:15:00+00:00,2518.56,m15_exact_open,2519.44,0.88,0.53,0.18,-0.52,3.28,0.12,london,7,0.6369392185238875,2518.06,2518.6
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-09-12 07:00:00+00:00,2024-09-12 07:15:00+00:00,2024-09-12 09:15:00+00:00,2516.21,m15_exact_open,2521.0,4.79,4.44,4.09,3.39,6.09,0.6,london,7,0.6601666371210728,2515.32,2516.21
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-09-19 08:15:00+00:00,2024-09-19 08:30:00+00:00,2024-09-19 10:30:00+00:00,2567.42,m15_exact_open,2577.73,10.31,9.96,9.61,8.91,12.96,-0.17,london,8,0.5159574468085093,2566.56,2567.44
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-09-20 07:45:00+00:00,2024-09-20 08:00:00+00:00,2024-09-20 10:00:00+00:00,2594.07,m15_exact_open,2605.79,11.72,11.37,11.02,10.32,13.02,1.63,london,7,0.6800276801873868,2594.06,2594.07
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-10-01 08:15:00+00:00,2024-10-01 08:30:00+00:00,2024-10-01 10:30:00+00:00,2642.33,m15_exact_open,2642.2,-0.13,-0.48,-0.83,-1.53,3.5,0.6,london,8,0.7135955831608022,2640.29,2642.17
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-10-04 07:45:00+00:00,2024-10-04 08:00:00+00:00,2024-10-04 10:00:00+00:00,2663.69,m15_exact_open,2659.87,-3.82,-4.17,-4.52,-5.22,4.18,4.11,london,7,0.5835848785396058,2663.66,2663.7
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-10-22 07:15:00+00:00,2024-10-22 07:30:00+00:00,2024-10-22 09:30:00+00:00,2734.54,m15_exact_open,2735.03,0.49,0.14,-0.21,-0.91,2.6,5.69,london,7,0.6655231560891781,2732.94,2734.52
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-10-24 08:30:00+00:00,2024-10-24 08:45:00+00:00,2024-10-24 10:45:00+00:00,2728.13,m15_exact_open,2734.62,6.49,6.14,5.79,5.09,8.97,1.56,london,8,0.7323149433994058,2727.35,2728.13
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-11-01 07:45:00+00:00,2024-11-01 08:00:00+00:00,2024-11-01 10:00:00+00:00,2753.11,m15_exact_open,2748.41,-4.7,-5.05,-5.4,-6.1,4.38,6.25,london,7,0.722457523976438,2752.85,2753.12
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-11-25 13:00:00+00:00,2024-11-25 13:15:00+00:00,2024-11-25 15:15:00+00:00,2679.35,m15_exact_open,2684.7,5.35,5.0,4.65,3.95,9.38,2.64,new_york,13,0.6867127904914021,2675.19,2679.33
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,0.75,2024-12-02 11:15:00+00:00,2024-12-02 11:30:00+00:00,2024-12-02 13:30:00+00:00,2633.82,m15_exact_open,2637.49,3.67,3.32,2.97,2.27,9.74,1.25,london,11,0.6858537083876237,2633.43,2633.83
