candidate_id,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,gross_bps,stress_cost_bps,stress_net_bps,h1_time_utc,h1_range_bps,h1_range_percentile_rank,entry_spread_cost_bps,session_utc,year
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-18T15:05:00Z,2022-05-18T16:05:00Z,LONG,1815.97,1821.28,29.240571154809523,2.982003733153722,26.2585674216558,2022-05-18T15:00:00Z,60.773268537766235,94.44444444444444,2.753349449605445,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-19T09:05:00Z,2022-05-19T10:05:00Z,LONG,1825.84,1829.83,21.852955352057187,2.982003733153722,18.870951618903465,2022-05-19T09:00:00Z,48.54050508363333,88.88888888888889,2.7384655829645537,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-19T13:05:00Z,2022-05-19T14:05:00Z,LONG,1840.03,1843.93,21.19530659826248,2.982003733153722,18.21330286510876,2022-05-19T13:00:00Z,49.313310788033974,90.27777777777777,2.7173469997771775,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-19T14:05:00Z,2022-05-19T15:05:00Z,LONG,1843.93,1846.0,11.226022679819389,2.982003733153722,8.244018946665667,2022-05-19T14:00:00Z,40.79929779694614,79.16666666666667,2.711599681115877,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-20T13:05:00Z,2022-05-20T14:05:00Z,SHORT,1841.86,1833.85,43.48864734561797,2.982003733153722,40.506643612464245,2022-05-20T13:00:00Z,41.28225516572894,84.72222222222223,2.714647150163422,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-20T15:05:00Z,2022-05-20T16:05:00Z,LONG,1843.97,1840.2,-20.445018085977438,2.982003733153722,-23.42702181913116,2022-05-20T15:00:00Z,38.75548221807341,76.38888888888889,2.7115408602092224,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-23T08:05:00Z,2022-05-23T09:05:00Z,LONG,1857.6,1861.96,23.471145564169507,2.982003733153722,20.489141831015786,2022-05-23T08:00:00Z,38.14415266257004,79.16666666666667,2.691645133505599,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-23T18:05:00Z,2022-05-23T19:05:00Z,LONG,1854.08,1856.18,11.326372109079093,2.982003733153722,8.344368375925372,2022-05-23T18:00:00Z,31.519396551723645,75.0,2.696755264066276,new_york,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-24T07:05:00Z,2022-05-24T08:05:00Z,LONG,1855.02,1859.68,25.121022953930858,2.982003733153722,22.139019220777136,2022-05-24T07:00:00Z,46.67068134893236,91.66666666666667,2.6953887289624907,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-24T12:05:00Z,2022-05-24T13:05:00Z,LONG,1858.49,1861.43,15.81929415816095,2.982003733153722,12.837290425007229,2022-05-24T12:00:00Z,35.59216327232785,80.55555555555556,2.6903561493470503,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-24T13:05:00Z,2022-05-24T14:05:00Z,LONG,1861.43,1864.16,14.666143771186766,2.982003733153722,11.684140038033044,2022-05-24T13:00:00Z,48.19741661846925,94.44444444444444,2.686106917799756,london_ny_overlap,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-25T10:05:00Z,2022-05-25T11:05:00Z,SHORT,1855.22,1852.67,13.745000592921349,2.982003733153722,10.762996859767627,2022-05-25T10:00:00Z,29.699227820076675,77.77777777777777,2.695098155474822,london,2022
S49_MTF_H1W72_P75_M15S20_M5S20_H12,2022-05-25T13:05:00Z,2022-05-25T14:05:00Z,SHORT,1850.02,1848.81,6.540469832758761,2.982003733153722,3.5584660996050395,2022-05-25T13:00:00Z,35.20250905748116,84.72222222222223,2.7026734846109775,london_ny_overlap,2022
