candidate_id,h1_range_window,h1_range_percentile,m15_sma_window,m5_sma_window,horizon_m5_bars,max_spread_cost_bps,trade_count,is_trade_count,oos_trade_count,stress_mean_bps,stress_median_bps,stress_win_rate,stress_t_stat,stress_total_bps,stress_max_drawdown_bps,is_stress_mean_bps,is_stress_win_rate,oos_stress_mean_bps,oos_stress_win_rate,positive_year_count,negative_year_count,max_year_share,decision,notes
S49_MTF_H1W72_P85_M15S20_M5S20_H12,72,85.0,20,20,12,3.0380209087577326,1879,1503,376,24.80583615204401,20.69433293914993,0.8281000532197977,29.598336718707774,46610.16612969069,-475.36892374207673,21.541330898104984,0.8349966733200266,37.8551749729758,0.800531914893617,5,0,0.2597126130920703,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P85_M15S20_M5S20_H12,120,85.0,20,20,12,3.0380209087577326,1980,1584,396,24.531426721239573,20.224030846424746,0.8318181818181818,30.57943728556355,48572.224908054355,-473.309656229394,21.338726409242653,0.8390151515151515,37.30222796922726,0.803030303030303,5,0,0.2601010101010101,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P75_M15S40_M5S20_H48,120,75.0,40,20,48,3.0380209087577326,2844,2275,569,20.56818045785837,14.558954849259136,0.6719409282700421,19.429204220500953,58495.90522214921,-645.1560119734932,16.657772990693836,0.6641758241758242,36.202937905660335,0.70298769771529,5,0,0.2528129395218003,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P75_M15S20_M5S20_H48,120,75.0,20,20,48,3.0380209087577326,3090,2472,618,20.70407189527506,15.14569394204762,0.6750809061488673,20.274062633914667,63975.58215639994,-645.1560119734932,16.897345929171184,0.6674757281553398,35.93097575969057,0.7055016181229773,5,0,0.2537216828478964,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P75_M15S20_M5S20_H48,72,75.0,20,20,48,3.0380209087577326,3113,2490,623,19.96526014106017,14.892943789935522,0.6716993254095728,19.997019139253126,62151.85481912031,-645.1560119734932,16.44650994654088,0.6662650602409639,34.028964770840325,0.6934189406099518,5,0,0.25216832637327335,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P75_M15S40_M5S20_H48,72,75.0,40,20,48,3.0380209087577326,2858,2286,572,19.718373060318296,14.477456837753282,0.6682995101469559,18.991266589427276,56355.11020638969,-645.1560119734932,16.272724653761053,0.663167104111986,33.48891896484602,0.6888111888111889,5,0,0.2522743177046886,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P75_M15S20_M5S20_H24,72,75.0,20,20,24,3.0380209087577326,3114,2491,623,19.5269132833723,14.45980946018045,0.7196531791907514,25.059528963243334,60806.807964421336,-418.2583215518316,16.24075493344055,0.7173825772782015,32.6662719505954,0.7287319422150883,5,0,0.25208734746307,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P75_M15S40_M5S20_H24,120,75.0,40,20,24,3.0380209087577326,2845,2276,569,19.865217027207624,14.684991879664626,0.7170474516695958,24.2477549487363,56516.542442405684,-263.88037978016655,16.665417124461325,0.7139718804920914,32.66441663819281,0.7293497363796133,5,0,0.25272407732864677,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P75_M15S40_M5S20_H24,72,75.0,40,20,24,3.0380209087577326,2859,2287,572,19.610960151679762,14.435805977274711,0.7184330185379504,24.118629228211347,56067.735073652446,-236.57385501518002,16.386784559356567,0.7166593790992567,32.50202585035661,0.7255244755244755,5,0,0.2521860790486184,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P75_M15S20_M5S20_H24,120,75.0,20,20,24,3.0380209087577326,3091,2472,619,19.75947344994269,14.773201102306395,0.7172436104820447,25.076444177090455,61076.53243377285,-363.3493667183866,16.60630492480982,0.7152103559870551,32.35177166339737,0.7253634894991923,5,0,0.2536395988353284,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P75_M15S40_M5S20_H12,120,75.0,40,20,12,3.0380209087577326,2846,2276,570,19.722239072988813,15.411449459890743,0.8021784961349262,33.6240754833126,56129.49240172616,-271.1371780007248,16.864154428189536,0.8088752196836555,31.13452091783645,0.775438596491228,5,0,0.25263527758257204,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P75_M15S40_M5S20_H12,72,75.0,40,20,12,3.0380209087577326,2860,2288,572,19.69275838692405,15.474709852380292,0.8003496503496503,33.56848717954468,56321.28898660278,-271.1371780007248,16.841724812713828,0.8076923076923077,31.096892683764946,0.7709790209790209,5,0,0.2520979020979021,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W120_P75_M15S20_M5S20_H12,120,75.0,20,20,12,3.0380209087577326,3092,2473,619,19.58588913846013,15.474709852380292,0.8046571798188874,34.61118941222024,60559.56921611872,-490.341432661844,16.740325123350352,0.8087343307723412,30.954354097048952,0.7883683360258481,5,0,0.2535575679172057,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
S49_MTF_H1W72_P75_M15S20_M5S20_H12,72,75.0,20,20,12,3.0380209087577326,3115,2492,623,19.501191611267945,15.459722495773555,0.802247191011236,34.575022737128805,60746.21186909965,-473.309656229394,16.643057291890226,0.8061797752808989,30.933728888778823,0.7865168539325843,5,0,0.2520064205457464,DIAGNOSTIC_SURVIVOR_NEEDS_HARD_AUDIT,
