replay_mode,signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,exit_server_time,exit_utc_time,session_utc,entry_price,close_h1,sma10,distance_usd,tp_usd,sl_usd,time_exit_h1_bars,exit_reason,gross_usd,net_usd,ambiguous_exit
overlap_every_signal,2022-06-01 16:00:00,2022-06-01 13:00:00,2022-06-01 17:00:00,2022-06-01 14:00:00,2022-06-02 05:00:00,2022-06-02 02:00:00,london_ny_overlap,1843.83,1845.11,1834.438,10.672,24.0,15.0,12,time_exit,0.85,0.5,False
overlap_every_signal,2022-06-02 16:00:00,2022-06-02 13:00:00,2022-06-02 17:00:00,2022-06-02 14:00:00,2022-06-03 05:00:00,2022-06-03 02:00:00,london_ny_overlap,1863.79,1863.78,1853.216,10.564,24.0,15.0,12,time_exit,7.24,6.89,False
overlap_every_signal,2022-06-02 17:00:00,2022-06-02 14:00:00,2022-06-02 18:00:00,2022-06-02 15:00:00,2022-06-03 06:00:00,2022-06-03 03:00:00,london_ny_overlap,1865.22,1865.26,1855.258,10.002,24.0,15.0,12,time_exit,4.87,4.52,False
overlap_every_signal,2022-06-02 18:00:00,2022-06-02 15:00:00,2022-06-02 19:00:00,2022-06-02 16:00:00,2022-06-03 07:00:00,2022-06-03 04:00:00,london_ny_overlap,1867.77,1867.77,1857.231,10.539,24.0,15.0,12,time_exit,0.63,0.28,False
overlap_every_signal,2022-06-10 17:00:00,2022-06-10 14:00:00,2022-06-10 18:00:00,2022-06-10 15:00:00,2022-06-10 22:58:00,2022-06-10 19:58:00,london_ny_overlap,1855.74,1855.66,1842.571,13.089,24.0,15.0,12,time_exit,16.4,16.05,False
overlap_every_signal,2022-06-10 18:00:00,2022-06-10 15:00:00,2022-06-10 19:00:00,2022-06-10 16:00:00,2022-06-10 22:58:00,2022-06-10 19:58:00,london_ny_overlap,1867.07,1867.06,1844.821,22.239,24.0,15.0,12,time_exit,5.07,4.72,False
overlap_every_signal,2022-06-10 19:00:00,2022-06-10 16:00:00,2022-06-10 20:00:00,2022-06-10 17:00:00,2022-06-10 22:58:00,2022-06-10 19:58:00,new_york,1871.48,1871.5,1847.549,23.951,24.0,15.0,12,time_exit,0.66,0.31,False
overlap_every_signal,2022-06-10 20:00:00,2022-06-10 17:00:00,2022-06-10 21:00:00,2022-06-10 18:00:00,2022-06-10 22:58:00,2022-06-10 19:58:00,new_york,1869.56,1869.59,1849.974,19.616,24.0,15.0,12,time_exit,2.58,2.23,False
overlap_every_signal,2022-06-10 21:00:00,2022-06-10 18:00:00,2022-06-10 22:00:00,2022-06-10 19:00:00,2022-06-10 22:58:00,2022-06-10 19:58:00,new_york,1873.29,1873.26,1852.849,20.411,24.0,15.0,12,time_exit,-1.15,-1.5,False
overlap_every_signal,2022-06-10 22:00:00,2022-06-10 19:00:00,2022-06-13 01:00:00,2022-06-12 22:00:00,2022-06-13 05:37:00,2022-06-13 02:37:00,new_york,1875.11,1872.14,1855.799,16.341,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-06-13 01:00:00,2022-06-12 22:00:00,2022-06-13 02:00:00,2022-06-12 23:00:00,2022-06-13 05:06:00,2022-06-13 02:06:00,other,1876.03,1876.04,1859.148,16.892,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-06-13 02:00:00,2022-06-12 23:00:00,2022-06-13 03:00:00,2022-06-13 00:00:00,2022-06-13 05:02:00,2022-06-13 02:02:00,other,1876.83,1876.79,1863.357,13.433,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-06-16 18:00:00,2022-06-16 15:00:00,2022-06-16 19:00:00,2022-06-16 16:00:00,2022-06-17 07:00:00,2022-06-17 04:00:00,london_ny_overlap,1845.24,1845.09,1829.631,15.459,24.0,15.0,12,time_exit,-2.91,-3.26,False
overlap_every_signal,2022-06-16 19:00:00,2022-06-16 16:00:00,2022-06-16 20:00:00,2022-06-16 17:00:00,2022-06-17 08:00:00,2022-06-17 05:00:00,new_york,1850.09,1850.08,1831.64,18.44,24.0,15.0,12,time_exit,-4.21,-4.56,False
