feature,gate,threshold,status,retained_events,retained_ratio,pf_x4,pf_x6,total_x4,win_rate_x4,lift_pf_x4,non_null_ratio,rank_score
h1_atr20,h1_atr20_le_q60,6.227,numeric_quantile,10768.0,0.5999,0.045497,0.004451,-15349.57787,0.186664,-0.23875,0.9994,-30.936792989999997
asia_range,asia_range_le_q60,14.15,numeric_quantile,10777.0,0.6004,0.056442,0.009397,-15375.822385,0.191612,-0.227805,1.0,-30.977100519999997
asia_eff,asia_eff_le_q60,0.494759,numeric_quantile,10772.0,0.6001,0.294307,0.171296,-15601.06413,0.308763,0.01006,1.0,-31.149244260000003
asia_eff,asia_eff_ge_q40,0.342391,numeric_quantile,10780.0,0.6005,0.266993,0.150272,-15971.670005,0.288033,-0.017254,1.0,-31.92302601
london_range,london_range_ge_q40,11.36,numeric_quantile,10788.0,0.601,0.388806,0.24424,-16119.47018,0.423063,0.104559,1.0,-32.07332136
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_ge_q40,0.244,numeric_quantile,10761.0,0.5995,0.330659,0.204761,-16164.72756,0.317814,0.046412,0.9983,-32.23185287
asia_range,asia_range_ge_q40,9.23,numeric_quantile,10785.0,0.6008,0.385335,0.243119,-16223.917585,0.408716,0.101088,1.0,-32.28596742
h1_range,h1_range_ge_q40,4.34,numeric_quantile,10772.0,0.6001,0.384598,0.24248,-16251.08117,0.41515,0.100351,1.0,-32.341191339999995
h1_atr20,h1_atr20_ge_q40,4.733,numeric_quantile,10765.0,0.5997,0.386117,0.242849,-16307.64312,0.420529,0.10187,0.9994,-32.45270399
prior_day_range,prior_day_range_ge_q40,23.8,numeric_quantile,10775.0,0.6002,0.367223,0.23155,-16300.006275,0.374664,0.082976,1.0,-32.45914905
prior_day_range,prior_day_range_le_q65,37.9,numeric_quantile,11676.0,0.6504,0.116692,0.041689,-16315.72082,0.224392,-0.167555,1.0,-32.78857439
london_eff,london_eff_le_q60,0.55716,numeric_quantile,10780.0,0.6005,0.270586,0.156481,-16414.024975,0.289239,-0.013661,1.0,-32.8025907
london_eff,london_eff_ge_q35,0.345569,numeric_quantile,11682.0,0.6508,0.296267,0.172662,-16630.994485,0.297381,0.01202,1.0,-33.20680347
h1_atr20,h1_atr20_le_q65,6.9545,numeric_quantile,11671.0,0.6502,0.055643,0.00561,-16517.00151,0.207609,-0.228604,0.9994,-33.26120452
asia_range,asia_range_le_q65,16.73,numeric_quantile,11674.0,0.6503,0.064538,0.010738,-16548.44179,0.207727,-0.219709,1.0,-33.313908080000004
h1_range,h1_range_le_q65,6.92,numeric_quantile,11672.0,0.6502,0.068642,0.01243,-16580.656305,0.208191,-0.215605,1.0,-33.37381011
london_range,london_range_le_q65,18.36,numeric_quantile,11675.0,0.6504,0.064365,0.009862,-16659.12077,0.205225,-0.219882,1.0,-33.53565804
asia_eff,asia_eff_le_q65,0.529231,numeric_quantile,11683.0,0.6508,0.294573,0.171149,-16817.603415,0.306771,0.010326,1.0,-33.58209358
h1_atr20_pct_rank_250,h1_atr20_pct_rank_250_le_q65,0.516,numeric_quantile,11673.0,0.6503,0.211804,0.10466,-16775.83475,0.278335,-0.072443,0.9983,-33.597947500000004
direction_num,direction_num==1.0,,categorical_bucket,9878.0,0.5503,0.205339,0.111367,-16822.461625,0.269488,-0.078908,1.0,-33.695989499999996
asia_range,asia_range_ge_q35,8.44,numeric_quantile,11673.0,0.6503,0.371708,0.230656,-17347.66926,0.398013,0.087461,1.0,-34.55021352
london_range,london_range_ge_q35,10.57,numeric_quantile,11681.0,0.6507,0.372279,0.230252,-17423.962225,0.411694,0.088032,1.0,-34.70232945
h1_range,h1_range_ge_q35,4.01,numeric_quantile,11673.0,0.6503,0.370225,0.229588,-17429.86309,0.402896,0.085978,1.0,-34.71635118
asia_eff,asia_eff_ge_q35,0.296092,numeric_quantile,11668.0,0.65,0.267794,0.151837,-17382.42346,0.289595,-0.016453,1.0,-34.74334067
h1_atr20,h1_atr20_ge_q35,4.433,numeric_quantile,11664.0,0.6498,0.370811,0.229566,-17530.27429,0.409465,0.086564,0.9994,-34.916593080000006
