source_stage,family,reason,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,original_pf_x4,original_total_x4,mirror_minus_original_pf_x4,decision
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.77,4,0.0,0.0,0.0,0.0,-3.8343,-15.3371,0.0,inf,4.1371,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.65,6,0.0,0.0,0.0,0.0,-4.3057,-23.264,0.0,333.7059,6.464,-333.7059,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.80,8,0.0,0.0,0.0,0.0,-3.5157,-28.1257,0.0,inf,5.7257,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.82,8,0.0,0.0,0.0,0.0,-4.062,-32.496,0.0,inf,10.096,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.71,4,0.0,0.0,0.0,0.0,-8.9686,-35.8743,0.0,inf,24.6743,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.57,6,0.0,0.0,0.0,0.0,-5.1589,-37.2891,0.0,inf,20.4891,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.81,4,0.0,0.0,0.0,0.0,-9.4377,-37.7509,0.0,inf,26.5509,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.99,4,0.0,0.0,0.0,0.0,-9.4943,-37.9771,0.0,inf,26.7771,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.84,4,0.0,0.0,0.0,0.0,-10.6509,-42.6034,0.0,inf,31.4034,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.58,4,0.0,0.0,0.0,0.0,-11.1566,-44.6263,0.0,inf,33.4263,-inf,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.82,12,0.0654,0.0,0.0,0.0,-3.3331,-46.0823,0.0,2.3362,12.4823,-2.3362,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=1;london_eff=0.89,12,0.0,0.0,0.0,0.0,-3.436,-65.0743,0.0,64.75,31.4743,-64.75,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.79,8,0.0,0.0,0.0,0.0,-9.6034,-76.8274,0.0,21.1626,54.4274,-21.1626,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,bias=-1;london_eff=0.91,8,0.0,0.0,0.0,0.0,-15.81,-126.48,0.0,inf,104.08,-inf,STAGE26D_REJECT
