source,scope_type,scope_value,macro_feature,macro_gate,macro_side,macro_q,overlay_name,overlay_features_json,scope_rows,stage31b_decision,stage31b_wf_pf_x4,stage31b_wf_total_x4,wf_events,wf_pf_x1,wf_pf_x4,wf_pf_x6,wf_total_x1,wf_total_x4,wf_total_x6,win_rate_x4,median_x4,boot_p05_total_x4,years_positive_x4,years_tested,decision,rank_score
stage31b_top_diagnostic,family,london_oneway_continuation,dxy_ret_5,dxy_ret_5_le_q30,le,0.3,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_YEARS,10.162285786598956,179.55588000000006,60,26.561939108286317,14.633761279806414,9.828659233120751,257.71956,194.71956000000006,152.71956,0.9333333333333333,2.116,143.71585400000004,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,108.65774870000001
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,dxy_ret_5,dxy_ret_5_le_q30,le,0.3,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_YEARS,10.162285786598956,179.55588000000006,60,26.561939108286317,14.633761279806414,9.828659233120751,257.71956,194.71956000000006,152.71956,0.9333333333333333,2.116,143.354745,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,108.63969325000001
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,dxy_chg_5,dxy_chg_5_le_q30,le,0.3,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_YEARS,10.162285786598956,179.55588000000006,60,26.561939108286317,14.633761279806414,9.828659233120751,257.71956,194.71956000000006,152.71956,0.9333333333333333,2.116,141.7219125,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,108.558051625
stage31b_top_diagnostic,family,london_oneway_continuation,dxy_chg_5,dxy_chg_5_le_q30,le,0.3,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_YEARS,10.162285786598956,179.55588000000006,60,26.561939108286317,14.633761279806414,9.828659233120751,257.71956,194.71956000000006,152.71956,0.9333333333333333,2.116,140.420625,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,108.49298725
stage31b_top_diagnostic,family,london_oneway_continuation,real_yield_ret_1,real_yield_ret_1_le_q30,le,0.3,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,98.66116,44,14.557059709586072,9.5977073616387,7.119340066515953,225.00652000000002,178.80652000000003,148.00652,0.9090909090909091,2.1670000000000003,123.301894,3,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,104.4457467
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_ret_5,us10y_ret_5_le_q30,le,0.3,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_EVENTS,inf,118.4652,60,14.759433632584203,8.951402606145118,6.228008645166759,228.36532000000005,165.36532,123.36532,0.9333333333333333,2.1670000000000003,114.18791999999999,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,104.24592799999999
stage31b_top_diagnostic,family,london_oneway_continuation,us10y_ret_5,us10y_ret_5_le_q30,le,0.3,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_EVENTS,inf,118.4652,60,14.759433632584203,8.951402606145118,6.228008645166759,228.36532000000005,165.36532,123.36532,0.9333333333333333,2.1670000000000003,114.12019050000004,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,104.242541525
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_chg_5,us10y_chg_5_le_q30,le,0.3,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,127.10064,60,14.69136590950172,8.8970813098043,6.180133067762853,227.23560000000003,164.2356,122.2356,0.9333333333333333,2.1670000000000003,114.1770025,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,104.132410125
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_ret_1,real_yield_ret_1_le_q30,le,0.3,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,98.66116,44,14.557059709586072,9.5977073616387,7.119340066515953,225.00652000000002,178.80652000000003,148.00652,0.9090909090909091,2.1670000000000003,115.4497945,3,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,104.053141725
stage31b_top_diagnostic,family,london_oneway_continuation,us10y_chg_5,us10y_chg_5_le_q30,le,0.3,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,127.10064,60,14.69136590950172,8.8970813098043,6.180133067762853,227.23560000000003,164.2356,122.2356,0.9333333333333333,2.1670000000000003,112.078555,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,104.02748775
stage31b_top_diagnostic,family,london_oneway_continuation,us10y_ret_5,us10y_ret_5_le_q30,le,0.3,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,118.4652,56,14.046808459360129,8.584645862383999,6.023430097046237,216.53787999999997,157.73788000000002,118.53788000000002,0.9285714285714286,2.175145,113.29336150000002,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,103.03845607499998
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,us10y_ret_5,us10y_ret_5_le_q30,le,0.3,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,118.4652,56,14.046808459360129,8.584645862383999,6.023430097046237,216.53787999999997,157.73788000000002,118.53788000000002,0.9285714285714286,2.175145,107.97555799999999,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,102.77256589999999
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,spx_chg_5,spx_chg_5_ge_q70,ge,0.7,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_EVENTS,inf,125.43544,60,13.385585346749414,7.855006010482283,5.223052954268679,205.56356000000005,142.56356,100.56356000000001,0.9333333333333333,1.6244300000000005,99.94474150000002,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,101.253593075
stage31b_top_diagnostic,family,london_oneway_continuation,spx_chg_5,spx_chg_5_ge_q70,ge,0.7,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,125.43544,60,13.385585346749414,7.855006010482283,5.223052954268679,205.56356000000005,142.56356,100.56356000000001,0.9333333333333333,1.6244300000000005,95.987116,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,101.0557118
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,oil_ret_5,oil_ret_5_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_EVENTS,inf,110.63548,68,12.5504675625346,6.592565708019387,4.140385999256514,229.49624,158.09624000000002,110.49624,0.8823529411764706,2.1670000000000003,116.930905,3,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,101.01771324702607
stage31b_top_diagnostic,family,london_oneway_continuation,oil_ret_5,oil_ret_5_le_q30,le,0.3,macro_only,[],400,REJECT_TOO_FEW_EVENTS,inf,110.63548,68,12.5504675625346,6.592565708019387,4.140385999256514,229.49624,158.09624000000002,110.49624,0.8823529411764706,2.1670000000000003,116.84652400000002,3,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,101.01349419702606
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,spx_chg_5,spx_chg_5_ge_q70,ge,0.7,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_EVENTS,inf,125.43544,60,13.385585346749414,7.855006010482283,5.223052954268679,205.56356000000005,142.56356,100.56356000000001,0.9333333333333333,1.6244300000000005,94.6899175,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,100.990851875
stage31b_top_diagnostic,family,london_oneway_continuation,spx_chg_5,spx_chg_5_ge_q70,ge,0.7,london_q40_prior_q30,"[[""london_range"", ""ge"", 0.4], [""prior_day_range"", ""ge"", 0.3]]",400,REJECT_TOO_FEW_EVENTS,inf,125.43544,60,13.385585346749414,7.855006010482283,5.223052954268679,205.56356000000005,142.56356,100.56356000000001,0.9333333333333333,1.6244300000000005,93.26617650000001,3,3,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,100.919664825
stage31b_top_diagnostic,candidate_name,S23B_B_pb0.1_eff0.60_h180_tp0.6_sl0.65,real_yield_rank250,real_yield_rank250_le_q20,le,0.2,london_q60_prior_q25,"[[""london_range"", ""ge"", 0.6], [""prior_day_range"", ""ge"", 0.25]]",400,REJECT_TOO_FEW_YEARS,inf,218.50752000000008,96,inf,inf,1716.0401851852205,538.44868,437.64868,370.44868,1.0,2.29536,353.2440045,4,4,STAGE31C_EXOGENOUS_AUDIT_CANDIDATE_REVIEW_ONLY,99.027068225
